卒業者に占める就職者の割合,,,,,,,,,,,,,,,,,,,,,,,,,
"(注) 1  各年3月卒業者のうち,就職者(就職進学者を含む。)の占める割合である。",,,,,,,,,,,,,,,,,,,,,,,,,
　 　2  (  )内の数値は，中学校卒業者に中等教育学校前期課程修了者を，高等学校卒業者に中等教育学校後期課程卒業者をそれぞれ加えて算出した割合である。,,,,,,,,,,,,,,,,,,,,,,,,,
     3  平成29年度は速報値である。,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：％）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
区分,中学校:計,中学校:男,中学校:女,高等学校:計,高等学校:男,高等学校:女,高等専門学校:計,高等専門学校:男,高等専門学校:女,短期大学:計,短期大学:男,短期大学:女,大学:計,大学:男,大学:女,大学院:修士課程:計,大学院:修士課程:男,大学院:修士課程:女,大学院:博士課程:計,大学院:博士課程:男,大学院:博士課程:女,大学院:専門職学位課程:計,大学院:専門職学位課程:男,大学院:専門職学位課程:女,
1960/1/1,38.6,39.7,37.5,61.3,63.7,58.6,…,…,…,58.9,79.5,49.8,83.2,86.3,64.1,51.4,52.7,32.9,,,,…,…,…,
1961/1/1,35.7,36.6,34.8,64,65,62.9,…,…,…,62.5,84.6,54,85.6,88.4,69.1,51.5,52.7,35.2,,,,…,…,…,
1962/1/1,33.5,34.3,32.6,63.9,63.9,63.9,…,…,…,59.8,82.3,52.2,86.6,89.4,70,50.5,51.2,41,,,,…,…,…,
1963/1/1,30.7,31.2,30.1,63.4,62.5,64.5,…,…,…,62.1,82.1,55.2,86.2,88.9,70.6,43.3,43.9,36.7,63.4,63.6,60.3,…,…,…,
1964/1/1,28.7,29.1,28.4,63.9,61.4,66.7,99.4,99.4,－,64.5,81.4,58.9,85.6,88.3,71,46.4,47.8,30.9,55.3,55.3,54.9,…,…,…,
1965/1/1,26.5,26.9,26,60.4,57.9,62.9,96.1,96.1,－,63.8,84.1,57.4,83.4,86.6,66.7,47.6,48.9,32.4,61.5,62.7,41.4,…,…,…,
1966/1/1,24.5,24.6,24.4,58,56.3,59.7,99.3,99.3,－,61.3,85.1,54,79.9,83.5,61.9,51,52.4,35.7,63.7,64.3,52.1,…,…,…,
1967/1/1,22.9,23.1,22.7,58.7,56.8,60.8,93.5,93.4,100,60.8,82.6,55.9,80.5,84.3,62.1,53.7,54.7,40.2,57.5,57.8,50.4,…,…,…,
1968/1/1,20.9,21.1,20.6,58.9,56.8,61.1,95.4,95.4,96.1,63.5,82.9,59.9,81.7,85.3,64,56.6,58,38.2,63.5,63.8,58.5,…,…,…,
1969/1/1,18.7,18.9,18.4,58.9,56.6,61.4,96.1,96.1,97.8,68,82.4,65.6,79,83.1,61.5,56.5,57.8,38.9,58.8,59.2,53,…,…,…,
1970/1/1,16.3,16.5,16.1,58.2,55.4,61.2,96.7,96.8,94.4,70.3,80.5,68.8,78.1,82.8,59.9,56.4,58.1,37.1,62.9,63.6,51.7,…,…,…,
1971/1/1,13.7,13.8,13.5,55.9,52.7,59.2,96.2,96.1,98.4,70.3,76.8,69.2,79,83.4,60.8,59.3,61,39.4,66,66.8,54.8,…,…,…,
1972/1/1,11.5,11.4,11.5,53,49.5,56.5,94.8,94.7,99.1,69.8,72.8,69.3,75.7,80,57.9,59.1,61.3,34.5,61.2,61.6,54.2,…,…,…,
1973/1/1,9.4,9.4,9.4,50.4,46.8,54,93.2,93.2,92.1,73,71.5,73.2,75.3,78.9,60.3,57.4,59.6,31.5,60.2,60.6,53.5,…,…,…,
1974/1/1,7.7,7.7,7.7,48,44.5,51.6,93,92.9,96.2,75.6,75.3,75.6,76.9,80.1,63.9,61.6,63.6,37.9,66.1,67.1,51.9,…,…,…,
1975/1/1,5.9,5.9,5.9,44.6,41.1,48,90.4,90.3,93.2,73.3,75.6,73,74.3,77.5,62.8,60.4,62.6,36,64.5,65.2,53.6,…,…,…,
1976/1/1,5.2,5.2,5.2,42.2,39.1,45.2,88.1,88.1,93.3,69,70.5,68.9,70.7,74.5,57.6,55.1,57.3,32.4,60.6,61.4,48.3,…,…,…,
1977/1/1,4.8,5,4.7,42.5,39.4,45.6,89.8,89.7,95.9,71.4,73.1,71.3,72,75.9,59.4,59.2,61.5,36.1,59.3,60.1,45,…,…,…,
1978/1/1,4.4,4.6,4.2,42.8,39.9,45.8,87.6,87.6,90.8,71,71.4,70.9,71.9,75.7,60.2,61.8,64.4,33.4,57.1,58.2,40.8,…,…,…,
1979/1/1,4,4.3,3.6,42.7,39.9,45.6,88.4,88.4,88.3,72.3,71.4,72.3,73.6,77,62.9,64.2,67,38.4,60.2,61.4,43.4,…,…,…,
1980/1/1,3.9,4.5,3.2,42.9,40.2,45.6,89.1,89,92.6,76,71.8,76.4,75.3,78.5,65.7,63.8,67.2,36.2,62.1,63.9,40,…,…,…,
1981/1/1,3.9,4.7,3.2,43.1,40.4,45.7,89.5,89.5,90.7,78,73.5,78.4,76.2,79,67.6,64.8,68.2,37.6,59.2,60.4,44.7,…,…,…,
1982/1/1,4,4.7,3.2,42.9,40.1,45.6,90.3,90.2,95,77.8,74.2,78.1,76.7,79.1,69.2,66.1,69.8,37.7,61.1,62.6,42.1,…,…,…,
1983/1/1,3.9,4.8,3,41.5,38.6,44.3,89.6,89.5,93.5,78.1,73.9,78.4,76.4,78.7,69.4,67.1,71,38.4,62.5,64.3,41.9,…,…,…,
1984/1/1,3.8,4.6,3,41,38.2,43.7,89,88.9,94.3,79.1,73,79.6,76.7,78.6,70.7,69.4,73.1,43,61.6,63.9,41.4,…,…,…,
1985/1/1,3.7,4.5,2.9,41.1,38.7,43.4,89,89,89.1,80.7,72.6,81.3,77.2,78.8,72.4,69.5,73.1,44.3,64.2,65.7,50.8,…,…,…,
1986/1/1,3.6,4.4,2.7,39.5,37.4,41.5,88.9,88.8,94.3,81.3,69.9,82.2,77.5,78.9,73.4,69.8,73.2,45,64.5,66.8,43.2,…,…,…,
1987/1/1,3.1,3.9,2.3,36.6,34.6,38.6,88.6,88.5,90.3,81,66.7,82.2,77.1,78.3,73.6,70.1,73.7,44.7,63.2,65.9,42.3,…,…,…,
1988/1/1,3,3.9,2,35.9,34.2,37.7,88.1,87.9,93.1,82,68.7,83,77.8,78.8,75.2,70.6,74.2,48.3,65,66.9,50.4,…,…,…,
1989/1/1,2.9,3.8,1.9,35.6,34.2,37,86.9,86.6,92,85.1,71.6,86.1,79.6,80.1,78.5,72.2,76,48.7,63.5,65.3,49.4,…,…,…,
1990/1/1,2.8,3.7,1.8,35.2,34.2,36.2,85.9,85.6,92.3,87,72.9,88.1,81,81,81,73,76.8,49.6,65.1,67.4,48.4,…,…,…,
1991/1/1,2.6,3.4,1.7,34.4,34,34.8,84.2,84,86.8,87,73,88,81.3,81.1,81.8,72.7,76.7,50.3,66.3,68.7,49.7,…,…,…,
1992/1/1,2.3,3.1,1.5,33.1,33.3,32.9,82.9,82.6,87.9,85.7,70.6,86.8,79.9,79.7,80.4,71.2,75.3,49.1,66.6,69,51.4,…,…,…,
1993/1/1,2,2.7,1.3,30.5,31.4,29.6,80.3,79.7,86.5,79.8,66.3,80.8,76.2,76.5,75.6,69.4,74.1,46.1,66.1,68.6,50.1,…,…,…,
1994/1/1,1.7,2.4,1,27.7,29.4,26,76.1,75.6,80.3,70.1,61.7,70.7,70.5,71.8,67.6,68.3,73.1,45.9,65.7,67.6,54.5,…,…,…,
1995/1/1,1.5,2.2,0.9,25.6,27.9,23.4,74.2,73.6,78.5,65.4,57.3,66,67.1,68.7,63.7,67.3,72.1,46.6,62.6,64.9,50,…,…,…,
1996/1/1,1.4,2,0.8,24.3,26.7,21.9,71.8,71,75.9,65.7,56.1,66.5,65.9,67.1,63.5,66.7,72,46,62.8,65.5,49.6,…,…,…,
1997/1/1,1.4,2.1,0.7,23.5,25.7,21.3,69.6,68.7,74,67.9,56.9,68.9,66.6,67.5,64.8,67.9,73.1,49.1,62.9,65.3,50.7,…,…,…,
1998/1/1,1.3,1.9,0.7,22.7,25,20.5,66.2,64.9,72.4,65.7,51.7,67,65.6,66.2,64.5,67.2,72.8,48.6,60.9,63.7,48.9,…,…,…,
1999/1/1,1.1,1.6,0.6,20.2,22.4,18.1,63,61.4,69.6,59.1,44.4,60.5,60.1,60.3,59.8,64.9,70.3,47.1,58.4,60.9,48,…,…,…,
2000/1/1,1,1.5,0.5,18.6,20.7,16.5,59.7,58.4,65.1,56,41.3,57.4,55.8,55,57.1,62.9,68.3,46.6,55.9,58.6,45.2,…,…,…, 
2001/1/1,1,1.5,0.5,18.4,20.5,16.4,59.2,57.5,66,59.1,44.4,60.5,57.3,55.9,59.6,65.4,70.7,49.7,56.6,59.2,47.9,…,…,…, 
2002/1/1,0.9,1.3,0.5,17.1,19.1,15.1,56,54.4,63.2,60.3,47.2,61.6,56.9,54.9,60,66.4,71.2,52.5,56.4,59.2,47.2,…,…,…, 
2003/1/1,0.8,1.1,0.4,16.6,18.5,14.7,53.6,52.1,60.1,59.7,46.4,61.1,55.1,52.6,58.8,64.5,69.3,51.4,54.4,57.4,45.6,…,…,…,
2004/1/1,0.7,1,0.4,16.9,19.1,14.7,54.2,52.8,60.1,61.6,47.7,63.2,55.8,53.1,59.7,65.8,70.5,53.6,56.4,59.3,47.9,70,77.3,33.3, 
2005/1/1,0.7,1,0.4,17.4,19.8,14.9,53.8,52.3,60.4,65,50.6,66.8,59.7,56.6,64.1,67.7,72.6,55.2,57.2,59.9,49.8,76.9,80,67.5,
2006/1/1,0.7,1,0.4,18,20.5,15.4,53.8,51.8,63.2,67.7,52.1,69.8,63.7,60.5,68.1,70,74.8,58.2,57.4,60.3,49.3,33,34.8,27.2,
2007/1/1,0.7,1,0.4,18.5,21.2,15.8,54.3,52.3,64.2,70.2,54,72.3,67.6,64,72.3,72.5,77,61.7,58.8,61.7,50.8,26.6,28.9,20.3, 
2008/1/1,0.7,0.9,0.4,19,21.8,16.1,54.2,52.1,64.4,72,55.9,74,69.9,66.4,74.6,75.1,79.6,64.6,63.2,66.3,55,30.5,32.5,25.2, 
2009/1/1,0.5,0.7,0.3,18.2,21.1,15.2,53.6,51.6,63.6,69.9,53.1,71.9,68.4,64.6,73.4,74.8,79.4,63.9,64.3,67.8,54.7,30.5,32.1,26.5,
2010/1/1,0.4,0.6,0.2,15.8,18.4,13.1,51.5,49.2,63.9,65.4,48,67.3,60.8,56.4,66.6,71.4,76,60.7,61.9,65.4,53.2,34.8,36.1,31.2,
2011/1/1,0.4,0.6,0.2,16.3,19.4,13.3,54.3,52.9,61.8,68.2,49.5,70.1,61.6,57,67.6,72.6,77.1,61.6,63.9,67.5,55.5,37.5,38.5,34.6,
2012/1/1,0.4,0.6,0.2,16.8,20,13.6,57.6,56.1,65.5,70.8,52.1,72.9,63.9,58.9,70.2,73.3,77.9,61.5,67.3,71.8,56.5,43.1,43.6,41.7,
2013/1/1,0.4,0.6,0.2,17,20.3,13.6,58,56.2,67.5,73.5,54,75.7,67.3,62.3,73.4,73.7,78.6,62,65.9,70.2,55.9,46.1,46.5,45.1,
2014/1/1,0.4,0.6,0.2,17.5,21.1,13.9,57.6,56.4,64.1,75.2,56.3,77.4,69.8,64.9,75.8,74.4,79.2,62.8,66,69.8,57.4,48.4,49.7,44.9,
2015/1/1,0.4,0.6,0.1,17.8,21.5,14.1,58.3,56.4,67.7,78.1,61.3,80,72.6,67.8,78.5,76.2,80.8,65.3,67.2,71.5,57.3,52.8,52.9,52.4,
2016/1/1,0.3,0.5,0.1,17.9,21.7,14.1,57.9,55.4,70.4,79.2,61.2,81.2,74.7,69.7,80.7,77.5,81.9,67,67.4,71.3,58.8,54.9,55.3,53.8,
2017/1/1,0.279401999,0.432785742,0.119435551,17.79016484,21.4984344,14.049908,57.3567321,55.01680269,68.47206385,80.77641832,62.62397773,82.82295243,76.1443558,71.05007276,82.126559,78.18743853,82.37529405,68.46918304,67.69741886,71.5926845,58.8136659,59.97631735,61.16772824,57.23362659,
