"URL","Date","Value"
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:耐久消費財出荷指数:(平成22年=100)"" target=""_blank"">景気動向指数個別系列:耐久消費財出荷指数:(平成22年=100)</a>","2017年06月",87
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:所定外労働時間指数(調査産業計):(平成27年=100)"" target=""_blank"">景気動向指数個別系列:所定外労働時間指数(調査産業計):(平成27年=100)</a>","2017年06月",97.4
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:投資財出荷指数(除輸送機械):(平成22年=100)"" target=""_blank"">景気動向指数個別系列:投資財出荷指数(除輸送機械):(平成22年=100)</a>","2017年06月",111.8
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:商業販売額(小売業)(前年同月比):(%)"" target=""_blank"">景気動向指数個別系列:商業販売額(小売業)(前年同月比):(%)</a>","2017年06月",2.2
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:商業販売額(卸売業)(前年同月比):(%)"" target=""_blank"">景気動向指数個別系列:商業販売額(卸売業)(前年同月比):(%)</a>","2017年06月",4.4
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:営業利益(全産業):(億円)"" target=""_blank"">景気動向指数個別系列:営業利益(全産業):(億円)</a>","2017年03月",160991
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:有効求人倍率(除学卒):(倍)"" target=""_blank"">景気動向指数個別系列:有効求人倍率(除学卒):(倍)</a>","2017年06月",1.51
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:第3次産業活動指数(対事業所サービス業):(平成22年=100)"" target=""_blank"">景気動向指数個別系列:第3次産業活動指数(対事業所サービス業):(平成22年=100)</a>","2017年06月",107.7
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:常用雇用指数(調査産業計)(前年同月比):(%)"" target=""_blank"">景気動向指数個別系列:常用雇用指数(調査産業計)(前年同月比):(%)</a>","2017年06月",1.5
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#景気動向指数個別系列:実質法人企業設備投資(全産業):(億円)"" target=""_blank"">景気動向指数個別系列:実質法人企業設備投資(全産業):(億円)</a>","2017年03月",113196
