"Date","実質季節調整系列(前期比):国内総生産(支出側)","実質季節調整系列(前期比):民間最終消費支出","実質季節調整系列(前期比):民間最終消費支出:家計最終消費支出","実質季節調整系列(前期比):民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","実質季節調整系列(前期比):民間住宅","実質季節調整系列(前期比):民間企業設備","実質季節調整系列(前期比):民間在庫変動","実質季節調整系列(前期比):政府最終消費支出","実質季節調整系列(前期比):公的固定資本形成","実質季節調整系列(前期比):公的在庫変動","実質季節調整系列(前期比):財貨・サービス:純輸出","実質季節調整系列(前期比):財貨・サービス:輸出","実質季節調整系列(前期比):財貨・サービス:輸入"
2014-03-01,1.1,2.4,2.6,3,1.9,2.4,,0.2,-0.7,,,6.2,6.2
2014-06-01,-1.9,-4.9,-5,-6.1,-9.1,-1.7,,-0.6,-4.3,,,0.9,-4.1
2014-09-01,-0.2,0.3,0.4,0.4,-7.1,1,,0.5,1.3,,,1.4,1.6
2014-12-01,0.7,0.6,0.6,0.7,0.2,0.5,,0.2,1.6,,,3.4,1.1
2015-03-01,1.1,0.5,0.4,0.4,3,1.2,,0.9,-1.7,,,1.5,1.1
2015-06-01,-0.1,-0.4,-0.5,-0.6,1.1,-1.1,,0.1,0.5,,,-4,-2.7
2015-09-01,0.2,0.5,0.5,0.5,1.6,0.6,,0.4,-1.4,,,2.2,2.5
2015-12-01,-0.2,-0.6,-0.7,-0.9,-0.8,0.1,,0.7,-1.6,,,-0.2,-0.3
2016-03-01,0.6,0.3,0.3,0.3,1.2,-0.1,,1.4,-0.3,,,0.5,-2
2016-06-01,0.4,0.2,0.2,0.2,3.1,1.3,,-1.2,0.7,,,-1.4,-1.1
2016-09-01,0.3,0.4,0.3,0.4,2.6,-0.2,,0.2,-1.3,,,1.9,-0.2
2016-12-01,0.3,0,0,0,0.2,1.9,,0,-3,,,3.4,1.3
2017-03-01,0.3,0.3,0.3,0.3,0.3,0.6,,0,-0.1,,,2.1,1.4
