"Date","Long-NEW ZEALAND DOLLAR","Short-NEW ZEALAND DOLLAR","Net-NEW ZEALAND DOLLAR","Names","Unit"
2016-06-07,38562,30026,8536,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-06-14,29558,33376,-3818,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-06-21,30013,33058,-3045,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-06-28,29798,32624,-2826,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-07-05,30606,32009,-1403,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-07-12,31694,30683,1011,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-07-19,29156,26983,2173,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-07-26,26598,26383,215,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-08-02,27049,26832,217,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-08-09,28314,28927,-613,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-08-16,28980,29675,-695,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-08-23,29926,30804,-878,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-08-30,31747,29854,1893,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-09-06,37243,31115,6128,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-09-13,34900,29771,5129,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-09-20,34778,42694,-7916,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-09-27,34159,40952,-6793,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-10-04,32224,40054,-7830,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-10-11,30962,38698,-7736,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-10-18,29513,29666,-153,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-10-25,29504,29924,-420,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-11-01,28557,29522,-965,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-11-08,36124,33619,2505,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-11-15,33547,31504,2043,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-11-22,31779,32312,-533,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-11-29,30231,32103,-1872,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-12-06,27641,31593,-3952,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-12-13,29402,33104,-3702,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-12-20,28313,35266,-6953,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2016-12-27,25448,36449,-11001,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-01-03,25522,36935,-11413,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-01-10,22989,36949,-13960,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-01-17,25517,37805,-12288,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-01-24,25851,35734,-9883,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-01-31,32712,33734,-1022,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-02-07,34860,33015,1845,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-02-14,36565,33689,2876,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-02-21,35252,32094,3158,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-02-28,37198,34261,2937,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-03-07,27207,31632,-4425,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-03-14,19509,25114,-5605,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-03-21,16599,29209,-12610,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-03-28,16216,28845,-12629,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-04-04,17009,31733,-14724,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-04-11,19008,34161,-15153,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-04-18,18320,33326,-15006,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-04-25,18693,34097,-15404,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-05-02,19190,31160,-11970,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-05-09,12070,22856,-10786,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-05-16,11918,23872,-11954,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-05-23,14018,23235,-9217,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-05-30,16886,22425,-5539,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-06-06,19348,21133,-1785,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-06-13,27261,25666,1595,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
2017-06-20,38388,16933,21455,"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF NZD 100,000)"
