"Date","EUROPE:European_News_Index","EUROPE:Germany_News_Index","EUROPE:Italy_News_Index","EUROPE:UK_News_Index","EUROPE:France_News_Index","EUROPE:Spain_News_Index"
1995-02-01,132.6005859375,133.159225463867,,,85.1271209716797,
1995-03-01,114.968048095703,98.7619247436523,,,124.219146728516,
1995-04-01,89.5368347167969,78.1582336425781,,,92.9881896972656,
1995-05-01,72.1657104492188,57.6782341003418,,,91.0051803588867,
1995-06-01,82.4264450073242,79.876220703125,,,61.6678085327148,
1995-07-01,64.4578857421875,58.4872398376465,,,60.2346725463867,
1995-08-01,82.9582901000977,81.3525161743164,,,59.1633987426758,
1995-09-01,104.319374084473,86.2607650756836,,,122.842636108398,
1995-10-01,98.6090545654297,75.7967987060547,,,133.4619140625,
1995-11-01,87.0339050292969,74.9492263793945,,,93.4821243286133,
1995-12-01,83.2479476928711,58.7614669799805,,,128.461700439453,
1996-01-01,77.2170867919922,76.9633483886719,,,51.3209342956543,
1996-02-01,127.783470153809,123.007179260254,,,98.0869750976562,
1996-03-01,132.016815185547,136.399124145508,,,73.1959838867188,
1996-04-01,79.6182174682617,69.2792892456055,,,83.3541717529297,
1996-05-01,119.475662231445,127.698417663574,,,53.3855438232422,
1996-06-01,108.298301696777,104.271903991699,,,83.0648880004883,
1996-07-01,104.591079711914,100.255317687988,,,81.5721435546875,
1996-08-01,55.9872779846191,53.1151580810547,,,45.3301620483398,
1996-09-01,88.8724060058594,81.1396942138672,,,81.5411376953125,
1996-10-01,91.0271224975586,80.0097503662109,,,92.8728179931641,
1996-11-01,103.198318481445,100.172500610352,,,76.703742980957,
1996-12-01,86.60009765625,80.4757766723633,,,75.1955032348633,
1997-01-01,119.686851501465,86.6822204589844,147.870147705078,59.4117050170898,88.7641296386719,
1997-02-01,125.708908081055,56.2958755493164,193.498870849609,57.9327049255371,68.0046768188477,
1997-03-01,119.402252197266,47.0506362915039,164.876251220703,95.8373031616211,62.0729217529297,
1997-04-01,132.730117797852,101.568061828613,142.688812255859,95.5123672485352,93.8688507080078,
1997-05-01,110.46891784668,76.7081527709961,138.694351196289,55.2233963012695,82.8998718261719,
1997-06-01,128.707962036133,100.661979675293,155.140213012695,63.460319519043,88.1498413085938,
1997-07-01,80.4406356811523,69.2473754882812,75.0765762329102,54.9541511535645,82.0587615966797,
1997-08-01,99.4523315429688,118.193557739258,106.581405639648,32.1091766357422,32.7399864196777,
1997-09-01,95.8182754516602,64.0072021484375,107.700805664062,74.3812789916992,66.5167465209961,
1997-10-01,104.925888061523,72.8292922973633,114.756057739258,89.0250625610352,59.296329498291,
1997-11-01,85.7183151245117,68.6880874633789,80.1012344360352,68.7826385498047,79.6098480224609,
1997-12-01,91.4115753173828,88.8828201293945,92.2522048950195,50.9783592224121,62.6827201843262,
1998-01-01,75.5888290405273,49.2566795349121,78.9984130859375,70.3661804199219,51.94140625,
1998-02-01,72.00927734375,32.4665718078613,84.05859375,69.3578262329102,55.6411247253418,
1998-03-01,108.405975341797,79.8008117675781,125.538200378418,87.0931625366211,32.8284034729004,
1998-04-01,86.597282409668,42.0820045471191,105.607582092285,57.0570678710938,100.126686096191,
1998-05-01,100.443878173828,103.613166809082,82.7491607666016,82.9233016967773,59.0274047851562,
1998-06-01,79.8829879760742,73.6132278442383,65.6390228271484,75.5486679077148,52.636962890625,
1998-07-01,105.26717376709,103.734008789062,83.7528686523438,102.526763916016,52.4616203308105,
1998-08-01,109.723968505859,87.8834075927734,142.445846557617,56.5337181091309,26.0546989440918,
1998-09-01,201.669372558594,155.45719909668,243.88623046875,120.303718566895,95.31884765625,
1998-10-01,116.316635131836,77.7074279785156,109.753936767578,134.355667114258,59.1408309936523,
1998-11-01,133.053466796875,127.06005859375,112.45783996582,125.894599914551,62.611572265625,
1998-12-01,112.01244354248,127.407730102539,104.412750244141,56.4677505493164,66.0553665161133,
1999-01-01,113.213417053223,111.260284423828,106.939247131348,71.1109848022461,83.0764312744141,
1999-02-01,89.6720962524414,104.855987548828,72.1866989135742,64.7944259643555,42.2516326904297,
1999-03-01,92.0299453735352,65.6309127807617,107.497283935547,65.5021286010742,49.7475204467773,
1999-04-01,83.0440521240234,95.3292083740234,64.2514495849609,59.4479484558105,55.28369140625,
