"Date","労働力人口(万人)-男女計:原数値","労働力人口(万人)-男:原数値","労働力人口(万人)-女:原数値","就業者(万人)-男女計:原数値","就業者(万人)-男:原数値","就業者(万人)-女:原数値","雇用者(万人)-男女計:原数値","雇用者(万人)-男:原数値","雇用者(万人)-女:原数値","完全失業者(万人)-男女計:原数値","完全失業者(万人)-男:原数値","完全失業者(万人)-女:原数値","非労働力人口(万人)-男女計:原数値","非労働力人口(万人)-男:原数値","非労働力人口(万人)-女:原数値","完全失業率（％）-男女計:原数値","完全失業率（％）-男:原数値","完全失業率（％）-女:原数値"
1976-01-01,5206,3328,1878,5080,3236,1844,3659,2489,1170,125,92,34,3275,795,2480,2.4,2.8,1.8
1976-02-01,5215,3326,1889,5089,3240,1848,3682,2505,1176,126,86,41,3265,797,2468,2.4,2.6,2.2
1976-03-01,5324,3359,1965,5198,3273,1925,3741,2529,1213,126,86,40,3161,766,2395,2.4,2.6,2.1
1976-04-01,5387,3370,2016,5273,3292,1981,3712,2504,1208,114,79,35,3109,759,2349,2.1,2.3,1.8
1976-05-01,5438,3385,2052,5331,3312,2019,3698,2495,1203,107,74,33,3071,751,2321,2,2.2,1.6
1976-06-01,5451,3389,2062,5347,3319,2028,3710,2505,1205,104,69,34,3068,753,2314,1.9,2,1.7
1976-07-01,5457,3384,2073,5358,3315,2043,3720,2505,1216,99,68,30,3054,753,2301,1.8,2,1.5
1976-08-01,5447,3381,2066,5344,3314,2031,3723,2504,1219,103,68,35,3082,764,2318,1.9,2,1.7
1976-09-01,5447,3376,2071,5346,3310,2036,3707,2496,1211,101,66,35,3098,779,2319,1.9,2,1.7
1976-10-01,5441,3376,2065,5342,3307,2035,3672,2481,1191,100,70,30,3103,778,2325,1.8,2.1,1.4
1976-11-01,5394,3381,2013,5297,3313,1985,3750,2545,1205,97,68,28,3155,776,2380,1.8,2,1.4
1976-12-01,5333,3363,1970,5241,3300,1941,3771,2550,1222,92,63,29,3222,797,2426,1.7,1.9,1.5
1977-01-01,5253,3329,1924,5139,3249,1890,3726,2506,1220,114,80,34,3319,838,2480,2.2,2.4,1.7
1977-02-01,5256,3327,1928,5133,3242,1891,3747,2522,1225,122,86,37,3317,839,2478,2.3,2.6,1.9
1977-03-01,5357,3369,1987,5230,3288,1942,3781,2546,1235,127,82,45,3224,802,2422,2.4,2.4,2.3
1977-04-01,5471,3380,2090,5365,3310,2055,3798,2526,1272,106,70,35,3113,792,2321,1.9,2.1,1.7
1977-05-01,5540,3397,2143,5430,3327,2104,3778,2507,1271,109,70,39,3064,787,2277,2,2.1,1.8
1977-06-01,5551,3405,2146,5440,3334,2106,3746,2489,1257,111,71,40,3054,780,2275,2,2.1,1.9
1977-07-01,5549,3406,2143,5444,3336,2108,3753,2496,1257,105,70,35,3055,776,2279,1.9,2.1,1.6
1977-08-01,5516,3403,2113,5410,3336,2075,3752,2516,1236,106,67,39,3105,789,2316,1.9,2,1.8
1977-09-01,5520,3396,2124,5415,3329,2086,3753,2506,1247,105,67,39,3114,803,2311,1.9,2,1.8
1977-10-01,5501,3385,2117,5402,3322,2080,3758,2507,1251,100,63,37,3139,817,2322,1.8,1.9,1.7
1977-11-01,5480,3396,2084,5378,3330,2048,3808,2549,1260,103,66,37,3166,809,2357,1.9,1.9,1.8
1977-12-01,5426,3382,2044,5314,3308,2007,3826,2539,1287,111,74,37,3219,822,2397,2.1,2.2,1.8
1978-01-01,5315,3340,1976,5190,3255,1935,3766,2506,1260,126,85,41,3339,864,2475,2.4,2.5,2.1
1978-02-01,5348,3357,1991,5212,3265,1947,3761,2518,1244,136,91,44,3315,851,2464,2.5,2.7,2.2
1978-03-01,5438,3387,2051,5297,3297,2000,3774,2513,1261,141,90,50,3231,824,2407,2.6,2.7,2.4
1978-04-01,5537,3414,2123,5413,3337,2076,3800,2532,1268,123,77,46,3142,800,2342,2.2,2.2,2.2
1978-05-01,5656,3449,2207,5532,3370,2163,3794,2517,1277,123,79,44,3041,775,2266,2.2,2.3,2
1978-06-01,5676,3442,2234,5550,3362,2188,3796,2498,1298,126,81,46,3026,784,2241,2.2,2.3,2
1978-07-01,5609,3428,2182,5494,3353,2141,3790,2505,1285,115,74,41,3092,798,2294,2.1,2.2,1.9
1978-08-01,5576,3417,2159,5454,3337,2117,3792,2507,1285,121,79,42,3139,815,2324,2.2,2.3,2
1978-09-01,5585,3412,2173,5460,3334,2126,3791,2506,1284,125,79,46,3137,823,2314,2.2,2.3,2.1
1978-10-01,5591,3410,2182,5474,3332,2142,3815,2520,1294,117,77,40,3141,831,2310,2.1,2.3,1.8
1978-11-01,5558,3420,2138,5442,3340,2102,3856,2552,1303,116,80,36,3183,825,2358,2.1,2.3,1.7
1978-12-01,5491,3400,2091,5375,3322,2053,3856,2550,1306,116,78,38,3247,844,2403,2.1,2.3,1.8
1979-01-01,5422,3366,2056,5294,3283,2011,3817,2521,1296,127,83,45,3331,886,2446,2.3,2.5,2.2
1979-02-01,5405,3368,2037,5284,3289,1995,3820,2535,1285,121,79,42,3353,885,2468,2.2,2.3,2.1
1979-03-01,5488,3406,2083,5353,3320,2033,3812,2537,1275,135,85,50,3285,857,2428,2.5,2.5,2.4
1979-04-01,5606,3438,2168,5482,3362,2120,3810,2530,1280,124,76,48,3170,824,2347,2.2,2.2,2.2
1979-05-01,5692,3464,2228,5581,3397,2184,3844,2555,1290,111,67,44,3094,804,2290,2,1.9,2
1979-06-01,5709,3483,2226,5598,3414,2184,3899,2590,1310,111,70,42,3085,789,2296,1.9,2,1.9
1979-07-01,5696,3483,2213,5580,3411,2169,3913,2590,1324,116,72,44,3097,788,2309,2,2.1,2
1979-08-01,5673,3464,2209,5554,3390,2164,3904,2575,1328,118,74,44,3130,812,2318,2.1,2.1,2
1979-09-01,5641,3436,2206,5533,3368,2165,3891,2564,1327,108,68,41,3172,846,2326,1.9,2,1.9
1979-10-01,5663,3444,2218,5552,3375,2177,3919,2582,1337,111,69,41,3159,841,2317,2,2,1.8
1979-11-01,5620,3450,2170,5509,3378,2131,3952,2608,1344,111,72,40,3217,843,2374,2,2.1,1.8
1979-12-01,5539,3436,2103,5432,3367,2065,3932,2610,1321,107,70,37,3301,858,2443,1.9,2,1.8
1980-01-01,5446,3397,2049,5333,3323,2010,3907,2597,1311,113,73,40,3405,902,2503,2.1,2.1,2
1980-02-01,5450,3397,2053,5339,3323,2016,3895,2584,1311,111,74,38,3403,902,2501,2,2.2,1.9
1980-03-01,5548,3440,2109,5425,3365,2060,3886,2587,1300,124,75,49,3315,866,2450,2.2,2.2,2.3
1980-04-01,5674,3471,2204,5557,3403,2153,3902,2588,1314,118,67,50,3204,841,2363,2.1,1.9,2.3
1980-05-01,5719,3476,2244,5610,3411,2199,3948,2604,1344,109,65,44,3170,844,2326,1.9,1.9,2
1980-06-01,5763,3498,2265,5658,3435,2223,4012,2638,1374,105,63,42,3135,825,2310,1.8,1.8,1.9
1980-07-01,5754,3498,2256,5641,3429,2213,4007,2631,1375,112,69,43,3142,823,2318,1.9,2,1.9
1980-08-01,5724,3477,2246,5609,3408,2201,3986,2612,1374,115,69,45,3187,851,2336,2,2,2
1980-09-01,5730,3479,2251,5621,3414,2207,4007,2622,1385,109,65,44,3196,858,2338,1.9,1.9,2
1980-10-01,5716,3492,2223,5603,3421,2181,4022,2637,1385,113,71,42,3222,852,2370,2,2,1.9
1980-11-01,5674,3486,2188,5553,3407,2145,4046,2653,1393,121,79,42,3272,861,2412,2.1,2.3,1.9
1980-12-01,5601,3466,2135,5483,3389,2093,4037,2656,1381,118,77,41,3340,878,2463,2.1,2.2,1.9
1981-01-01,5532,3450,2082,5408,3370,2038,4021,2654,1368,123,80,44,3427,903,2524,2.2,2.3,2.1
1981-02-01,5533,3459,2073,5398,3374,2024,3990,2643,1348,135,86,49,3427,892,2535,2.4,2.5,2.4
1981-03-01,5629,3500,2129,5488,3412,2075,3985,2644,1342,142,88,54,3340,857,2483,2.5,2.5,2.5
1981-04-01,5759,3519,2239,5621,3433,2188,4035,2641,1395,137,86,51,3213,838,2375,2.4,2.4,2.3
1981-05-01,5788,3516,2272,5656,3437,2219,4034,2629,1405,132,80,52,3191,846,2345,2.3,2.3,2.3
1981-06-01,5804,3536,2268,5678,3462,2216,4055,2661,1394,126,74,52,3179,828,2351,2.2,2.1,2.3
1981-07-01,5781,3524,2258,5660,3448,2212,4024,2644,1381,121,76,45,3202,841,2360,2.1,2.2,2
1981-08-01,5756,3511,2245,5641,3439,2202,4014,2626,1388,115,72,43,3239,859,2380,2,2.1,1.9
1981-09-01,5759,3507,2252,5639,3431,2208,4044,2639,1405,120,76,44,3246,868,2378,2.1,2.2,2
1981-10-01,5759,3502,2257,5637,3424,2213,4070,2653,1417,122,79,44,3251,875,2376,2.1,2.3,1.9
1981-11-01,5728,3488,2239,5609,3414,2194,4097,2665,1432,119,74,45,3286,892,2394,2.1,2.1,2
1981-12-01,5661,3465,2196,5542,3388,2154,4078,2657,1421,119,77,42,3347,913,2434,2.1,2.2,1.9
1982-01-01,5576,3443,2133,5445,3358,2087,4053,2656,1398,131,85,46,3451,943,2508,2.3,2.5,2.2
1982-02-01,5589,3459,2130,5454,3372,2082,4028,2650,1378,135,88,47,3450,931,2520,2.4,2.5,2.2
1982-03-01,5697,3505,2192,5550,3415,2135,4047,2669,1378,147,90,57,3350,890,2460,2.6,2.6,2.6
1982-04-01,5806,3546,2260,5663,3461,2202,4102,2692,1410,143,85,58,3250,849,2400,2.5,2.4,2.6
1982-05-01,5871,3553,2318,5737,3474,2263,4113,2688,1426,134,80,54,3199,851,2348,2.3,2.3,2.3
1982-06-01,5860,3547,2313,5723,3462,2262,4102,2685,1417,137,85,52,3224,864,2360,2.3,2.4,2.2
1982-07-01,5821,3537,2284,5689,3456,2233,4099,2686,1413,132,81,51,3262,873,2389,2.3,2.3,2.2
1982-08-01,5809,3536,2273,5679,3456,2223,4090,2679,1411,130,80,50,3295,884,2411,2.2,2.3,2.2
1982-09-01,5823,3533,2290,5689,3452,2237,4085,2662,1424,134,81,54,3291,892,2399,2.3,2.3,2.4
1982-10-01,5849,3538,2311,5710,3452,2258,4116,2669,1448,139,86,53,3275,891,2384,2.4,2.4,2.3
1982-11-01,5812,3537,2275,5678,3454,2224,4161,2711,1449,134,83,51,3315,896,2419,2.3,2.3,2.2
1982-12-01,5777,3527,2249,5642,3442,2200,4174,2711,1462,135,86,49,3349,906,2443,2.3,2.4,2.2
1983-01-01,5725,3516,2209,5563,3417,2146,4148,2703,1445,162,99,63,3423,926,2496,2.8,2.8,2.9
1983-02-01,5725,3514,2211,5560,3411,2149,4138,2700,1439,165,103,62,3433,933,2500,2.9,2.9,2.8
1983-03-01,5805,3535,2270,5633,3429,2204,4170,2700,1470,172,106,66,3351,911,2440,3,3,2.9
1983-04-01,5922,3574,2348,5752,3472,2280,4186,2703,1483,170,102,67,3245,876,2369,2.9,2.9,2.9
1983-05-01,5987,3596,2392,5829,3502,2328,4201,2722,1479,158,94,64,3188,860,2329,2.6,2.6,2.7
1983-06-01,5989,3608,2381,5841,3520,2321,4209,2732,1478,148,88,60,3203,856,2347,2.5,2.4,2.5
1983-07-01,5953,3588,2364,5809,3505,2305,4240,2741,1499,144,84,60,3240,877,2363,2.4,2.3,2.5
1983-08-01,5940,3578,2362,5782,3483,2299,4255,2742,1513,158,95,63,3271,897,2374,2.7,2.7,2.7
1983-09-01,5952,3574,2378,5796,3479,2316,4217,2713,1503,157,95,62,3271,906,2365,2.6,2.7,2.6
1983-10-01,5955,3574,2381,5806,3483,2323,4216,2707,1509,149,90,58,3274,909,2365,2.5,2.5,2.4
1983-11-01,5903,3570,2333,5755,3478,2277,4263,2749,1514,147,92,55,3333,917,2417,2.5,2.6,2.4
1983-12-01,5807,3544,2262,5663,3455,2208,4257,2758,1498,143,89,54,3430,944,2486,2.5,2.5,2.4
1984-01-01,5724,3520,2204,5559,3421,2138,4205,2736,1470,165,99,66,3525,971,2554,2.9,2.8,3
1984-02-01,5736,3528,2208,5565,3424,2140,4204,2746,1458,171,104,67,3516,965,2551,3,2.9,3
1984-03-01,5835,3551,2284,5657,3446,2211,4227,2748,1480,178,105,73,3427,947,2480,3.1,3,3.2
1984-04-01,5961,3592,2369,5793,3491,2302,4241,2736,1505,168,101,67,3315,914,2402,2.8,2.8,2.8
1984-05-01,6003,3605,2399,5843,3512,2331,4260,2740,1521,160,93,67,3280,905,2375,2.7,2.6,2.8
1984-06-01,6029,3612,2417,5866,3518,2348,4282,2746,1535,163,94,69,3266,905,2361,2.7,2.6,2.9
1984-07-01,5995,3594,2401,5838,3503,2336,4282,2739,1542,157,91,66,3304,924,2380,2.6,2.5,2.7
1984-08-01,5978,3597,2381,5821,3504,2316,4268,2742,1526,157,93,64,3338,929,2409,2.6,2.6,2.7
1984-09-01,6024,3609,2415,5865,3510,2355,4276,2734,1542,159,99,60,3311,926,2385,2.6,2.7,2.5
1984-10-01,6015,3596,2419,5856,3502,2354,4289,2745,1544,159,94,65,3323,941,2382,2.6,2.6,2.7
1984-11-01,5960,3595,2365,5809,3505,2304,4328,2782,1547,151,90,61,3387,946,2441,2.5,2.5,2.6
1984-12-01,5865,3567,2298,5722,3478,2244,4317,2775,1541,142,89,53,3480,973,2507,2.4,2.5,2.3
1985-01-01,5812,3550,2262,5661,3459,2201,4280,2763,1518,152,91,61,3551,1000,2551,2.6,2.6,2.7
1985-02-01,5811,3543,2268,5647,3442,2205,4268,2760,1508,164,101,63,3559,1010,2550,2.8,2.9,2.8
1985-03-01,5884,3571,2313,5709,3465,2245,4281,2770,1512,174,106,68,3493,984,2509,3,3,2.9
1985-04-01,6005,3611,2394,5848,3519,2330,4308,2765,1543,157,93,64,3380,950,2430,2.6,2.6,2.7
1985-05-01,6054,3623,2431,5901,3537,2364,4306,2762,1544,153,87,67,3347,947,2400,2.5,2.4,2.8
1985-06-01,6039,3618,2421,5886,3530,2356,4301,2756,1545,153,88,65,3366,952,2413,2.5,2.4,2.7
1985-07-01,6031,3617,2414,5886,3534,2352,4333,2770,1563,145,84,62,3380,956,2424,2.4,2.3,2.6
1985-08-01,6005,3603,2401,5857,3518,2339,4283,2744,1539,148,85,63,3415,975,2440,2.5,2.4,2.6
1985-09-01,6038,3615,2423,5880,3522,2358,4316,2749,1568,158,93,64,3406,975,2431,2.6,2.6,2.6
1985-10-01,6031,3614,2417,5872,3519,2353,4347,2765,1581,159,96,63,3424,981,2443,2.6,2.7,2.6
1985-11-01,5980,3607,2372,5820,3510,2311,4381,2785,1597,159,98,61,3488,993,2495,2.7,2.7,2.6
1985-12-01,5871,3582,2289,5717,3486,2231,4347,2784,1563,154,96,58,3594,1018,2576,2.6,2.7,2.5
1986-01-01,5857,3570,2287,5692,3472,2220,4336,2779,1557,165,98,66,3623,1037,2587,2.8,2.7,2.9
1986-02-01,5852,3557,2295,5688,3459,2229,4334,2778,1556,164,98,65,3641,1054,2587,2.8,2.8,2.8
1986-03-01,5935,3592,2343,5752,3484,2268,4341,2783,1558,183,108,75,3570,1027,2543,3.1,3,3.2
1986-04-01,6066,3641,2425,5884,3536,2349,4383,2799,1584,182,105,77,3441,978,2463,3,2.9,3.2
1986-05-01,6084,3645,2439,5921,3552,2370,4365,2787,1578,162,94,69,3414,972,2442,2.7,2.6,2.8
1986-06-01,6093,3640,2454,5932,3545,2387,4383,2787,1596,161,95,66,3416,982,2434,2.6,2.6,2.7
1986-07-01,6112,3657,2455,5945,3555,2390,4408,2797,1612,167,102,65,3421,976,2445,2.7,2.8,2.6
1986-08-01,6088,3658,2430,5919,3561,2358,4387,2799,1588,169,97,72,3465,985,2480,2.8,2.7,3
1986-09-01,6086,3651,2435,5919,3553,2366,4395,2803,1592,167,98,69,3486,1001,2484,2.7,2.7,2.8
1986-10-01,6081,3648,2433,5921,3550,2371,4410,2810,1600,161,99,62,3501,1008,2493,2.6,2.7,2.5
1986-11-01,6033,3635,2398,5874,3536,2337,4414,2812,1601,159,99,61,3552,1023,2529,2.6,2.7,2.5
1986-12-01,5955,3613,2342,5794,3514,2280,4394,2805,1589,161,99,62,3625,1044,2581,2.7,2.7,2.6
1987-01-01,5897,3590,2307,5716,3482,2234,4351,2788,1563,182,108,74,3710,1076,2634,3.1,3,3.2
1987-02-01,5889,3582,2307,5703,3471,2232,4336,2778,1558,186,111,75,3726,1088,2638,3.2,3.1,3.3
1987-03-01,5991,3624,2367,5798,3510,2288,4363,2791,1572,194,115,79,3645,1058,2587,3.2,3.2,3.3
1987-04-01,6120,3663,2456,5930,3553,2377,4407,2796,1610,190,111,79,3524,1023,2501,3.1,3,3.2
1987-05-01,6167,3671,2495,5976,3560,2416,4429,2798,1631,191,112,79,3478,1015,2462,3.1,3.1,3.2
1987-06-01,6172,3684,2488,5996,3578,2418,4448,2814,1634,176,106,70,3482,1009,2473,2.9,2.9,2.8
1987-07-01,6147,3683,2464,5989,3586,2403,4437,2815,1622,159,97,61,3522,1018,2505,2.6,2.6,2.5
1987-08-01,6150,3689,2460,5983,3585,2398,4436,2819,1616,166,104,62,3538,1019,2519,2.7,2.8,2.5
1987-09-01,6146,3675,2471,5980,3575,2406,4441,2814,1627,166,101,65,3550,1035,2515,2.7,2.7,2.6
1987-10-01,6142,3676,2465,5980,3579,2400,4471,2836,1636,162,97,65,3570,1040,2530,2.6,2.6,2.6
1987-11-01,6121,3671,2450,5965,3574,2391,4510,2860,1650,156,97,59,3606,1055,2552,2.5,2.6,2.4
1987-12-01,6061,3649,2413,5912,3556,2356,4507,2851,1656,150,93,57,3661,1077,2584,2.5,2.5,2.4
1988-01-01,5996,3627,2369,5828,3525,2303,4461,2829,1632,168,102,66,3751,1111,2639,2.8,2.8,2.8
1988-02-01,5976,3623,2353,5803,3517,2286,4434,2823,1611,173,106,67,3775,1118,2657,2.9,2.9,2.8
1988-03-01,6068,3657,2411,5888,3551,2337,4446,2829,1618,180,106,75,3690,1085,2604,3,2.9,3.1
1988-04-01,6205,3704,2500,6038,3608,2430,4499,2844,1655,166,96,70,3569,1045,2524,2.7,2.6,2.8
1988-05-01,6262,3720,2542,6106,3631,2475,4550,2863,1687,156,89,67,3529,1040,2489,2.5,2.4,2.6
1988-06-01,6250,3725,2525,6106,3640,2466,4565,2885,1680,144,85,59,3539,1033,2506,2.3,2.3,2.3
1988-07-01,6253,3729,2525,6105,3638,2468,4573,2878,1696,148,91,57,3542,1035,2507,2.4,2.4,2.3
1988-08-01,6229,3722,2507,6073,3633,2440,4570,2886,1684,157,90,67,3581,1048,2534,2.5,2.4,2.7
1988-09-01,6215,3700,2514,6064,3616,2448,4556,2871,1685,151,84,66,3618,1079,2539,2.4,2.3,2.6
1988-10-01,6212,3704,2508,6065,3621,2445,4564,2877,1687,146,83,63,3636,1082,2553,2.4,2.2,2.5
1988-11-01,6190,3715,2475,6049,3632,2417,4612,2913,1700,141,83,58,3672,1080,2591,2.3,2.2,2.3
1988-12-01,6136,3694,2442,6002,3615,2386,4625,2916,1708,134,79,55,3713,1098,2615,2.2,2.1,2.3
1989-01-01,6051,3652,2399,5905,3567,2338,4564,2876,1688,146,84,61,3812,1144,2667,2.4,2.3,2.5
1989-02-01,6068,3661,2408,5917,3573,2344,4582,2888,1694,151,87,64,3803,1139,2664,2.5,2.4,2.7
1989-03-01,6162,3696,2466,5999,3605,2394,4604,2896,1708,163,91,72,3723,1112,2611,2.6,2.5,2.9
1989-04-01,6290,3743,2547,6134,3651,2482,4655,2905,1750,156,92,65,3597,1066,2532,2.5,2.5,2.6
1989-05-01,6358,3761,2598,6208,3673,2536,4706,2931,1775,150,88,62,3547,1057,2490,2.4,2.3,2.4
1989-06-01,6373,3765,2608,6239,3686,2553,4721,2942,1778,134,79,55,3545,1059,2486,2.1,2.1,2.1
1989-07-01,6372,3779,2593,6240,3700,2539,4711,2946,1765,132,79,53,3558,1054,2504,2.1,2.1,2
1989-08-01,6333,3765,2568,6193,3682,2510,4697,2944,1753,140,83,58,3611,1074,2538,2.2,2.2,2.3
1989-09-01,6324,3751,2574,6187,3670,2517,4684,2931,1753,138,81,57,3642,1096,2546,2.2,2.2,2.2
1989-10-01,6331,3758,2574,6194,3679,2515,4708,2942,1766,137,78,59,3643,1095,2548,2.2,2.1,2.3
1989-11-01,6312,3762,2551,6179,3682,2497,4753,2970,1783,133,79,54,3664,1091,2573,2.1,2.1,2.1
1989-12-01,6263,3752,2511,6141,3679,2462,4758,2978,1780,122,73,49,3713,1102,2611,1.9,1.9,2
1990-01-01,6177,3708,2469,6036,3627,2408,4699,2942,1757,141,80,61,3813,1155,2658,2.3,2.2,2.5
1990-02-01,6193,3710,2483,6051,3627,2424,4699,2937,1763,142,84,59,3799,1152,2647,2.3,2.3,2.4
1990-03-01,6293,3747,2547,6152,3660,2492,4738,2940,1799,141,87,54,3709,1120,2589,2.2,2.3,2.1
1990-04-01,6398,3781,2617,6257,3702,2555,4800,2976,1824,141,79,62,3609,1084,2525,2.2,2.1,2.4
1990-05-01,6476,3821,2655,6340,3749,2592,4882,3027,1855,136,73,63,3561,1061,2499,2.1,1.9,2.4
1990-06-01,6469,3816,2653,6337,3742,2595,4875,3021,1854,132,74,58,3568,1067,2501,2,1.9,2.2
1990-07-01,6460,3818,2641,6334,3747,2587,4829,2996,1832,126,71,55,3576,1066,2510,2,1.9,2.1
1990-08-01,6417,3797,2620,6287,3724,2563,4814,2986,1827,130,72,57,3637,1095,2542,2,1.9,2.2
1990-09-01,6463,3825,2638,6326,3745,2581,4892,3030,1862,138,80,57,3616,1078,2537,2.1,2.1,2.2
1990-10-01,6465,3842,2623,6326,3761,2566,4929,3058,1871,139,82,57,3626,1066,2560,2.2,2.1,2.2
1990-11-01,6424,3817,2606,6298,3745,2553,4936,3051,1885,126,72,53,3663,1091,2572,2,1.9,2
1990-12-01,6368,3804,2565,6250,3732,2518,4927,3051,1876,119,72,47,3712,1104,2608,1.9,1.9,1.8
1991-01-01,6308,3771,2536,6175,3691,2484,4888,3031,1857,133,80,52,3791,1143,2648,2.1,2.1,2.1
1991-02-01,6307,3769,2537,6171,3687,2484,4890,3029,1861,136,83,53,3794,1145,2649,2.2,2.2,2.1
