"Date","金融収支","金融収支:直接投資","金融収支:直接投資:株式資本","金融収支:直接投資:収益の再投資","金融収支:直接投資:負債性資本","金融収支:証券投資","金融収支:証券投資:株式","金融収支:証券投資:投資ファンド持分","金融収支:証券投資:中長期債","金融収支:証券投資:短期債","金融収支:金融派生商品","金融収支:その他投資","金融収支:外貨準備"
2010-01-01,10373,-3825,-8393,503,4065,-53018,-23685,,-7205,-22128,-23,65507,1733
2010-02-01,19938,11780,11911,502,-632,12237,5198,,6289,750,-1131,-3246,297
2010-03-01,38806,2066,3179,501,-1614,97349,12724,,46281,38344,-1014,-57779,-1816
2010-04-01,4079,2784,1017,1615,153,-66657,-35894,,-23308,-7455,-629,66435,2145
2010-05-01,17861,6377,3310,1618,1448,-18438,19150,,12154,-49741,352,28661,910
2010-06-01,18210,5600,4097,1624,-121,77577,15071,,54931,7575,-802,-68239,4075
2010-07-01,28052,1122,-1241,1625,738,-3835,-2374,,11265,-12726,-2243,31970,1038
2010-08-01,20733,6041,5183,1638,-779,46115,7829,,31204,7082,-2306,-31911,2794
2010-09-01,28803,5030,3485,1632,-87,41560,20461,,51390,-30291,2088,-41062,21187
2010-10-01,13365,9205,5754,1635,1816,-37617,-27478,,3688,-13827,-3074,42181,2669
2010-11-01,9930,5579,3958,1621,0,-12180,-5887,,-13641,7348,-2108,16087,2552
2010-12-01,6947,10751,8485,1619,647,43920,-397,,30231,14086,628,-48693,341
2011-01-01,16968,3532,1077,1814,641,-79218,-17269,,-3022,-58928,-499,96778,-3625
2011-02-01,14388,6811,4528,1840,443,-7252,-4827,,-387,-2037,2087,13372,-631
2011-03-01,29075,2450,2598,1855,-2002,79596,7218,,49770,22609,-195,-71357,18580
2011-04-01,-6373,6675,4444,1457,774,-94758,-33067,,-58873,-2817,-1003,82439,274
2011-05-01,8549,6657,4775,1455,427,-36144,3357,,-29897,-9604,-2297,38155,2178
2011-06-01,7388,7330,5719,1442,168,46876,10851,,50331,-14307,-2364,-44753,300
2011-07-01,12835,10657,8104,1439,1114,-37442,-6889,,-23890,-6664,-3766,43204,182
2011-08-01,13812,6048,4229,1426,393,-31907,29245,,-1330,-59822,-1234,947,39958
2011-09-01,18099,13096,10560,1429,1107,63970,25145,,57103,-18277,-1477,-57711,222
2011-10-01,11087,8124,6237,1429,458,-5694,-22253,,-15553,32111,-2008,8265,2400
2011-11-01,7439,13041,9250,1451,2341,-24144,3747,,-6093,-21799,-686,-61533,80761
2011-12-01,-6973,8680,7883,1441,-644,-9128,8387,,16748,-34264,-29,-3796,-2700
2012-01-01,3123,7188,4869,1609,710,-16178,-10850,,-256,-5073,-700,13229,-416
2012-02-01,9718,7782,5265,1601,916,11068,-4700,,22944,-7177,-952,-6141,-2040
2012-03-01,8377,2610,-527,1598,1540,72436,11749,,47640,13047,2454,-62945,-6178
2012-04-01,-3221,8626,6025,1399,1202,-87778,-26978,,-51896,-8904,3307,75478,-2854
2012-05-01,5533,10493,7284,1400,1810,7255,7192,,13845,-13783,570,-10423,-2363
2012-06-01,11498,12852,9911,1404,1537,26550,4477,,25175,-3103,-272,-20148,-7483
2012-07-01,5721,4935,2332,1386,1217,-15837,-1736,,-10169,-3932,-3078,19357,345
2012-08-01,7093,6211,2411,1220,2580,3622,6255,,11613,-14246,-2088,1107,-1758
2012-09-01,3869,7567,7521,1225,-1178,35921,13187,,28585,-5850,-330,-37166,-2125
2012-10-01,5237,10852,7928,1274,1650,-13169,-26303,,-22192,35326,84,6601,869
2012-11-01,-2752,4793,5059,1253,-1520,-32390,-4157,,7681,-35914,1078,28733,-4966
2012-12-01,-12271,9681,7416,1268,997,32935,-15056,,32709,15282,5830,-59172,-1545
2013-01-01,-4909,7793,5483,1439,871,-73736,-28823,,-21551,-23362,9925,49430,1680
2013-02-01,-5930,4217,1191,1456,1570,-43486,-18314,,-29086,3913,10291,24576,-1527
2013-03-01,4851,8562,6089,1475,998,24959,-18367,,19065,24261,9443,-35908,-2205
2013-04-01,-991,15606,10872,2857,1876,-118037,-63220,,-41492,-13325,9562,92895,-1017
2013-05-01,2251,10023,7795,2858,-630,-45287,-17610,,-11990,-15688,6058,21307,10150
2013-06-01,-10098,9855,6176,2841,838,1671,-2608,,-10779,15058,2511,-28637,4501
2013-07-01,18868,37689,32670,2857,2162,-1488,-24878,,-97,23488,939,-26813,8542
2013-08-01,7096,6450,3838,2851,-238,2925,14031,,2196,-13302,-1209,-7829,6760
2013-09-01,8675,6828,5012,2841,-1026,49282,5977,,33148,10156,3661,-60138,9041
2013-10-01,-2724,10420,5362,2781,2276,-73202,-37375,,-7403,-28424,-1536,61520,74
2013-11-01,-3329,5660,3230,2777,-348,-1829,-24935,,31503,-8396,2904,-12063,1999
2013-12-01,-17847,19358,14560,2763,2036,12576,-17059,,24749,4886,2968,-53255,506
2014-01-01,-12750,12491,7683,2594,2213,-62861,5837,4850,-29033,-44515,5419,28680,3521
2014-02-01,-1670,9655,3802,2573,3280,9011,2392,-4027,-2725,13372,994,-27135,5805
2014-03-01,2689,4235,4006,2577,-2348,17648,8020,929,-20079,28777,-502,-15701,-2992
2014-04-01,-1021,23334,18476,3007,1851,-24480,-3752,5895,-8523,-18099,-1575,1867,-167
2014-05-01,10930,8326,2587,3009,2730,-1631,905,3858,13625,-20019,1189,3033,13
2014-06-01,10545,3774,2349,3011,-1586,51904,-11202,6507,33782,22816,3202,-46693,-1641
2014-07-01,8859,10849,3513,2992,4345,-22349,-8870,8033,4750,-26262,1972,17535,852
2014-08-01,6202,7122,2347,3005,1769,15394,7832,5626,-6278,8214,270,-18322,1738
2014-09-01,18712,4033,3827,3055,-2850,38986,-378,6702,-15273,47935,4574,-29169,288
2014-10-01,10062,17261,7953,3076,6232,-36534,2837,1085,-18103,-22354,3633,24949,753
2014-11-01,4651,14468,6541,3092,4835,-30048,-27184,2832,3522,-9218,12220,7179,831
2014-12-01,5573,10330,4474,3097,2759,-3372,15,9916,-33308,20005,6249,-7530,-104
2015-01-01,-3489,13647,6009,3006,4632,18774,17150,11371,12591,-22338,5669,-40626,-953
2015-02-01,21811,12644,10303,3017,-676,10107,4245,8864,6753,-9756,2776,-5593,1877
2015-03-01,49216,8050,8454,3028,-3431,34337,1840,14101,17993,403,6330,1066,-568
2015-04-01,8398,11003,4043,3479,3480,-47015,-23535,14428,-26031,-11876,-515,45226,-301
2015-05-01,34720,22522,15877,3474,3172,10309,-10983,6334,35684,-20727,3038,-3033,1884
2015-06-01,5978,8213,6881,3503,-2171,40383,5021,13884,-21532,43010,4725,-48190,847
2015-07-01,7445,17095,4839,3522,8734,-14457,7497,12253,-8345,-25862,2035,2528,244
2015-08-01,18241,14808,8546,3516,2747,49784,21130,11869,-2310,19094,-163,-48000,1811
2015-09-01,29941,12825,10403,3007,-585,73982,45645,8231,30519,-10412,-3926,-53007,67
2015-10-01,10682,15309,9925,3009,2374,-41749,-11942,18448,-4813,-43443,-1220,38223,119
2015-11-01,20108,10050,4217,3011,2821,18315,-8031,10292,9408,6646,-478,-10519,2740
2015-12-01,12871,12310,6761,2992,2556,7524,5942,4278,15621,-18317,3167,-8613,-1516
2016-01-01,7578,10686,4350,3005,3331,11748,22845,5573,-5954,-10716,172,-16819,1790
2016-02-01,30456,13158,13134,3055,-3032,95512,35849,5222,22725,31716,-9263,-70004,1053
2016-03-01,52077,11557,16562,3076,-8081,93875,26660,4713,66860,-4357,-3107,-47586,-2663
2016-04-01,16157,8492,4146,3092,1254,-52627,-14792,-4989,-24640,-8205,-4656,65239,-292
2016-05-01,40013,5383,1515,3097,771,66788,4644,3164,12758,46223,-3139,-31097,2077
2016-06-01,13627,4652,7741,3006,-6095,30083,6473,8416,27741,-12547,-4131,-14318,-2659
2016-07-01,40236,4767,19072,3017,-17322,32147,1370,12173,42637,-24033,-3308,8702,-2073
2016-08-01,31244,-1211,-23481,3028,19242,65577,7252,8924,15425,33976,-4023,-28793,-306
2016-09-01,33480,45202,39560,3479,2163,4580,17145,-257,9753,-22061,-1687,-15786,1171
2016-10-01,7866,15546,10974,3474,1099,31254,-13704,8678,21811,14468,-925,-33063,-4946
2016-11-01,11842,6326,5165,3503,-2342,-23402,-10908,13146,607,-26247,4863,22284,1771
2016-12-01,2412,21066,13389,3522,4155,-51994,-8058,-1816,-16449,-25671,11968,22075,-704
2017-01-01,-15351,11110,4164,3516,3430,-47137,1478,6952,-32710,-22858,5916,3775,10986
2017-02-01,17752,21355,15819,3469,2067,-28642,3031,4890,-33056,-3506,3758,16762,4519
2017-03-01,50249,24228,17549,3429,3251,35134,19774,-11479,6532,20307,2287,-7559,-3841
2017-04-01,10705,4658,5087,3412,-3841,-73080,-19918,10621,-53973,-9810,-4532,80577,3083
