"Date","元号","新規求人倍率(倍)-季節調整値","有効求人倍率(倍)-季節調整値","就職率(対新規)(倍)-季節調整値","充足率(対新規)(倍)-季節調整値","新規求人数(人)-季節調整値","新規求職申込件数(件)-季節調整値","有効求人数(人)-季節調整値","有効求職者数(人)-季節調整値","就職件数(件)-季節調整値","新規求人倍率(-)-実数","有効求人倍率(-)-実数","就職率(対新規)(-)-実数","充足率(対新規)(-)-実数","新規求人数(人)-実数","新規求職申込件数(件)-実数","有効求人数(人)-実数","有効求職者数(人)-実数","就職件数(件)-実数"
2006-02-01,"2月",1.59,1.04,32.2,20.3,865769,545789,2266931,2183812,175993,1.66,1.1,29.6,17.8,917542,551253,2319197,2116746,163154
2006-03-01,"3月",1.53,1.05,32.6,21.3,844771,551045,2295562,2192399,179647,1.53,1.09,35.9,23.4,960296,626109,2494902,2279650,225037
2006-04-01,"4月",1.55,1.05,32.3,20.9,858312,554832,2300986,2184671,179083,1.15,0.99,32.3,28,841269,731005,2381173,2396132,235838
2006-05-01,"5月",1.63,1.07,33.2,20.4,869166,532794,2303655,2159809,177070,1.43,0.96,34.6,24.2,819901,573684,2247869,2333615,198708
2006-06-01,"6月",1.58,1.07,32.5,20.6,861830,546829,2305454,2150601,177936,1.59,0.98,34.8,22,849159,535569,2215597,2260488,186422
2006-07-01,"7月",1.56,1.08,32,20.4,867435,554439,2325930,2153633,177234,1.68,1.02,33.4,19.8,833193,494915,2206596,2170525,165328
2006-08-01,"8月",1.56,1.07,31.9,20.5,863916,553606,2307396,2152772,176745,1.7,1.06,31.1,18.3,867484,509752,2264754,2135287,158696
2006-09-01,"9月",1.55,1.07,31.7,20.5,857953,554967,2298455,2156070,175831,1.66,1.1,33.4,20.1,893160,537016,2341222,2119580,179288
2006-10-01,"10月",1.53,1.06,31.9,20.9,830677,543263,2272303,2144668,173470,1.63,1.12,33.8,20.7,883005,540894,2368486,2123769,182581
2006-11-01,"11月",1.58,1.06,31.9,20.2,855417,542341,2272720,2139069,173189,1.8,1.14,35.8,19.8,835069,463014,2322676,2033785,165711
2006-12-01,"12月",1.6,1.06,32.1,20.1,856829,535655,2257131,2126529,172080,1.68,1.13,32.1,19.1,730327,433868,2176097,1922987,139450
2007-01-01,"19年1月",1.52,1.06,32.1,21.1,825291,543208,2252231,2127118,174333,1.42,1.09,22.6,15.9,874578,614473,2207093,2017092,138975
2007-02-01,"2月",1.56,1.05,33.1,21.3,842244,541619,2240034,2140836,179340,1.64,1.11,30.3,18.4,876987,533761,2277838,2061352,161769
2007-03-01,"3月",1.6,1.05,33.2,20.7,844035,527675,2232815,2116776,174975,1.57,1.1,36.4,23.2,915825,583391,2401082,2191239,212605
2007-04-01,"4月",1.58,1.07,33.1,20.9,836212,528585,2237602,2089023,175122,1.17,1,32.1,27.4,813362,695167,2284334,2292480,223080
2007-05-01,"5月",1.56,1.07,33.1,21.3,823085,528458,2232406,2084757,175002,1.38,0.96,34.1,24.6,801118,579099,2180232,2263535,197447
2007-06-01,"6月",1.54,1.07,32.1,20.8,819578,531240,2227944,2081029,170512,1.57,0.97,34.7,22.1,789840,503364,2119311,2175627,174541
2007-07-01,"7月",1.53,1.06,31.6,20.6,810943,529895,2206764,2078338,167273,1.62,1,32.9,20.2,799012,492121,2119200,2115420,161718
2007-08-01,"8月",1.51,1.05,31.4,20.8,799197,530639,2179180,2075885,166523,1.67,1.04,31.1,18.6,809019,484099,2142618,2062959,150417
2007-09-01,"9月",1.42,1.03,30.3,21.4,779312,549148,2144207,2081409,166442,1.6,1.06,33,20.7,775087,485266,2154435,2023723,160200
2007-10-01,"10月",1.46,1.01,31.3,21.4,769743,525785,2098918,2085763,164759,1.54,1.07,32.9,21.3,848976,549887,2213052,2073156,181186
2007-11-01,"11月",1.46,0.98,31.3,21.5,748010,513836,2044983,2078073,161011,1.66,1.06,35.5,21.4,743772,446869,2114004,1985743,158822
2007-12-01,"12月",1.42,0.98,30.8,21.7,733423,516026,2024273,2075949,159001,1.56,1.04,31.7,20.4,620196,398770,1944419,1870519,126414
2008-01-01,"20年1月",1.43,0.97,31.2,21.9,738734,517982,1992321,2056862,161775,1.37,1,22.3,16.3,788568,577441,1956044,1948094,128804
2008-02-01,"2月",1.41,0.96,32.4,23,741011,525336,1979420,2069605,170400,1.49,1.02,29.4,19.7,789810,531187,2027935,1997178,155939
2008-03-01,"3月",1.32,0.96,30.7,23.3,687760,521494,1931098,2018392,160095,1.28,0.99,32.9,25.8,720611,563912,2050562,2072320,185708
2008-04-01,"4月",1.36,0.96,29.7,21.9,702162,516298,1917256,1999492,153560,1.01,0.89,25.4,25.2,711010,702945,1955789,2204364,178840
2008-05-01,"5月",1.32,0.95,29.5,22.4,702404,532338,1916741,2028135,157242,1.24,0.84,30.5,24.6,676470,544600,1840422,2186757,166269
2008-06-01,"6月",1.29,0.92,30.1,23.3,684611,530746,1884525,2050911,159653,1.27,0.83,31.8,25,648454,509748,1790096,2145808,162227
2008-07-01,"7月",1.26,0.89,29.9,23.7,670503,531267,1842536,2065886,159039,1.35,0.84,31.2,23.1,690886,510656,1783111,2113503,159378
2008-08-01,"8月",1.25,0.86,29.3,23.4,669081,535762,1798183,2084853,156876,1.39,0.85,29.2,21,636546,457893,1739790,2044755,133549
2008-09-01,"9月",1.2,0.83,29.2,24.4,645485,538306,1743106,2107750,157254,1.24,0.86,30.2,24.4,670953,542603,1794296,2083138,164012
2008-10-01,"10月",1.13,0.79,28.1,24.9,634327,563254,1698829,2158139,158256,1.21,0.84,29.7,24.6,695583,576298,1796122,2141913,170936
2008-11-01,"11月",1.04,0.75,26,25.1,623862,602267,1660703,2218113,156845,1.24,0.81,30.2,24.4,567502,458917,1675889,2080117,138437
2008-12-01,"12月",0.98,0.71,24,24.5,646836,659627,1632549,2298789,158152,1.06,0.75,24.6,23.2,545714,515745,1569914,2079953,126722
2009-01-01,"21年1月",0.87,0.64,24.6,28.1,603284,689577,1573556,2450024,169709,0.85,0.67,17.9,21,643207,754436,1548923,2306886,135140
2009-02-01,"2月",0.77,0.57,24.6,32,525404,683595,1478657,2584836,168096,0.8,0.61,22,27.6,552204,691461,1511227,2486006,152385
2009-03-01,"3月",0.78,0.52,24,30.9,523109,674098,1385425,2644077,161450,0.73,0.54,24.8,34.1,559966,768004,1477931,2731524,190840
2009-04-01,"4月",0.77,0.49,23.3,30.2,516148,670123,1322538,2717763,155909,0.58,0.44,19.9,34.5,522317,905670,1333969,2999947,180240
2009-05-01,"5月",0.76,0.46,24.2,31.9,493498,650460,1265807,2776107,157607,0.71,0.4,24.8,35,443386,625338,1191922,2970184,155250
2009-06-01,"6月",0.78,0.44,25.4,32.7,509473,655249,1253045,2826843,166506,0.76,0.4,26.6,35,503546,661467,1198324,2986571,176137
2009-07-01,"7月",0.78,0.43,26.1,33.4,513653,657640,1239506,2877320,171626,0.84,0.41,27.5,32.7,529071,628843,1198898,2946940,172873
2009-08-01,"8月",0.79,0.42,27.6,34.9,512577,646561,1234348,2906828,178720,0.86,0.42,27.7,32.3,482549,561136,1197944,2859399,155626
2009-09-01,"9月",0.81,0.43,27.4,33.8,525120,647734,1245315,2868275,177750,0.87,0.45,28.9,33.3,531560,612362,1266889,2809200,176944
2009-10-01,"10月",0.8,0.44,26.8,33.7,524960,658495,1243142,2839176,176665,0.87,0.47,28.5,32.9,565097,652301,1307691,2805525,186157
2009-11-01,"11月",0.79,0.44,27.4,34.5,525780,663022,1242961,2839027,181471,0.9,0.47,30.8,34.2,489010,542217,1271332,2691889,167203
2009-12-01,"12月",0.8,0.44,28,34.8,532497,661568,1250072,2821511,185351,0.87,0.47,29.1,33.2,450947,515428,1201567,2555684,149856
2010-01-01,"22年1月",0.82,0.45,27.8,34.1,529683,649483,1264503,2788709,180537,0.79,0.48,20.4,25.9,556881,704777,1248870,2613829,144002
2010-02-01,"2月",0.82,0.46,28.1,34.3,515424,629460,1284646,2764746,177005,0.85,0.5,25,29.5,540525,636721,1314200,2645578,159477
2010-03-01,"3月",0.82,0.48,27.5,33.4,537858,652241,1313036,2747714,179556,0.77,0.5,28,36.1,600828,776317,1412230,2847418,217174
2010-04-01,"4月",0.85,0.49,28,32.9,542156,637334,1339155,2731563,178635,0.64,0.45,23.7,37.2,552067,866288,1346913,3010118,205255
2010-05-01,"5月",0.86,0.5,27.7,32.3,557609,650172,1358197,2717457,180129,0.78,0.44,27.9,35.6,497959,635679,1278273,2920230,177246
2010-06-01,"6月",0.88,0.51,28,31.8,571488,649968,1389704,2700073,181925,0.88,0.47,29.7,33.9,568229,649361,1333209,2851542,192588
2010-07-01,"7月",0.89,0.53,28.3,31.9,575767,649289,1416435,2686023,183700,0.97,0.5,30.6,31.5,578023,595112,1359926,2738941,181951
2010-08-01,"8月",0.91,0.54,28.6,31.4,590956,649523,1446050,2692060,185665,0.98,0.53,28.6,29.2,574031,585888,1416946,2666115,167618
2010-09-01,"9月",0.94,0.55,28.9,30.7,599830,637486,1468529,2678334,184328,0.99,0.57,30.3,30.6,623768,629328,1512682,2639676,190736
2010-10-01,"10月",0.96,0.56,28.8,30.1,616858,643635,1499634,2660025,185590,1.05,0.6,30.6,29.2,643538,613143,1563636,2614657,187865
2010-11-01,"11月",0.96,0.58,28.5,29.7,619941,645974,1527674,2649731,184128,1.07,0.62,31.7,29.6,599677,560053,1573977,2539427,177449
2010-12-01,"12月",0.98,0.59,29.2,29.9,616063,630686,1542830,2635724,184310,1.08,0.62,31,28.8,522190,485502,1482745,2383684,150291
2011-01-01,"23年1月",1.01,0.6,29,28.6,627421,618815,1568885,2602986,179566,0.99,0.64,21.3,21.6,661795,669295,1546543,2429459,142856
2011-02-01,"2月",0.99,0.62,27.6,28,635217,642664,1603238,2602093,177684,1.02,0.66,24.6,24.2,664395,653685,1642510,2491176,160985
2011-03-01,"3月",0.98,0.62,29,29.4,599542,608843,1606821,2582831,176541,0.92,0.65,29.6,32,664022,718223,1725149,2671738,212747
2011-04-01,"4月",0.95,0.62,27.4,28.7,623808,654709,1611058,2619358,179158,0.71,0.56,23.2,32.7,619556,873881,1610497,2867380,202817
2011-05-01,"5月",0.98,0.61,27.8,28.5,635577,650144,1594735,2627588,180944,0.86,0.54,27.3,31.6,584345,677198,1528713,2845215,184884
2011-06-01,"6月",1,0.62,28.7,28.5,643256,640151,1631485,2638311,183597,1.01,0.56,30.8,30.6,639608,635265,1572886,2799246,195822
2011-07-01,"7月",1.07,0.64,29.6,27.7,667304,623252,1670166,2619889,184715,1.18,0.6,32.3,27.3,648582,549012,1597141,2652531,177310
2011-08-01,"8月",1.05,0.65,29.2,27.8,671104,638074,1707263,2610336,186302,1.13,0.65,29,25.7,679635,603064,1692201,2599759,174858
2011-09-01,"9月",1.14,0.67,31.3,27.4,675209,590220,1734221,2579768,184778,1.2,0.7,32.6,27.2,701898,585709,1779034,2550447,191144
2011-10-01,"10月",1.15,0.69,30.8,26.8,692019,603268,1760777,2561089,185559,1.23,0.72,32.3,26.3,719365,585590,1830289,2531153,189344
2011-11-01,"11月",1.17,0.71,31.2,26.5,700299,596261,1783199,2524639,185816,1.32,0.76,34.3,26,684716,519132,1831926,2418325,177858
2011-12-01,"12月",1.19,0.72,31.7,26.6,702410,589370,1806783,2500012,186584,1.34,0.77,34.4,25.7,597353,445916,1733786,2263058,153315
2012-01-01,"24年1月",1.21,0.74,32.1,26.5,706425,583053,1829768,2480066,187250,1.18,0.78,23.5,20,744046,633211,1800094,2307830,149053
2012-02-01,"2月",1.23,0.75,31.9,25.9,710037,575344,1855017,2465733,183547,1.28,0.81,28.5,22.2,772786,603182,1917405,2371713,171753
2012-03-01,"3月",1.23,0.77,32.2,26.1,716249,580851,1885474,2459421,187209,1.16,0.79,33.6,29.1,765250,662129,2006949,2529444,222652
2012-04-01,"4月",1.25,0.78,32.3,25.7,724667,578069,1917479,2443259,186433,0.93,0.72,27.4,29.4,707643,759838,1918994,2659226,208260
2012-05-01,"5月",1.29,0.79,32.2,24.9,735556,568929,1929060,2433722,183041,1.15,0.71,31.7,27.5,727377,630777,1889898,2660799,200205
2012-06-01,"6月",1.29,0.8,32.3,25,733296,567959,1955644,2429810,183462,1.31,0.73,35,26.6,716929,545261,1880123,2561352,190928
2012-07-01,"7月",1.3,0.81,32,24.7,734553,566940,1962348,2423890,181461,1.39,0.77,34.4,24.7,731724,525232,1903515,2469769,180528
2012-08-01,"8月",1.32,0.82,31.8,24.1,744934,562841,1964226,2409240,179211,1.44,0.81,31.4,21.8,751047,520751,1942886,2393670,163427
2012-09-01,"9月",1.27,0.81,30.9,24.2,738931,579574,1961789,2408644,179092,1.37,0.84,32.8,23.9,739262,538813,1983867,2364338,176905
2012-10-01,"10月",1.3,0.82,31.6,24.3,737931,567360,1973279,2409196,179295,1.38,0.86,32.6,23.7,818963,594653,2070656,2411841,193860
2012-11-01,"11月",1.32,0.82,32,24.3,742311,563796,1976040,2408836,180142,1.51,0.87,35.4,23.5,741893,492221,2035773,2328930,174058
2012-12-01,"12月",1.32,0.83,31.9,24.1,745455,563574,1993901,2403041,179771,1.52,0.88,34.9,23,628292,413926,1913502,2169320,144292
2013-01-01,"25年1月",1.34,0.84,31.8,23.7,751824,561319,2006797,2385073,178300,1.32,0.89,23.2,17.6,813874,618649,1972132,2223440,143543
2013-02-01,"2月",1.38,0.85,32.3,23.4,774027,560156,2028334,2373828,180813,1.43,0.91,29.2,20.4,809267,566456,2074313,2275178,165125
2013-03-01,"3月",1.38,0.87,33.1,24,776473,562050,2052335,2357310,186096,1.3,0.9,35.4,27.2,793120,609867,2161975,2409582,216009
2013-04-01,"4月",1.41,0.88,33,23.5,765325,544524,2066634,2336120,179599,1.04,0.82,27.9,26.9,782029,754536,2089945,2555085,210318
2013-05-01,"5月",1.43,0.9,32.7,22.9,781825,548003,2084561,2328613,179417,1.31,0.81,32.8,25.1,774496,591508,2047253,2537394,194210
2013-06-01,"6月",1.48,0.92,33.1,22.4,793768,537393,2116139,2304298,177802,1.51,0.84,36.5,24.1,744027,491647,2029896,2410986,179330
2013-07-01,"7月",1.47,0.93,32.9,22.3,797479,541548,2130884,2282764,178158,1.57,0.9,34.6,22.1,826655,527531,2094254,2332332,182784
2013-08-01,"8月",1.5,0.95,33.1,22,799634,532387,2145914,2260599,176073,1.63,0.94,32.4,19.8,783452,480039,2107117,2238265,155430
2013-09-01,"9月",1.5,0.96,32.9,22,814749,543907,2177409,2266656,178951,1.57,0.98,34.4,21.9,807361,514811,2190976,2226875,176925
2013-10-01,"10月",1.57,0.99,33.9,21.6,819580,520833,2189762,2220250,176790,1.7,1.03,35.4,20.8,907268,532501,2281520,2223658,188597
2013-11-01,"11月",1.57,1.01,34,21.7,813384,518746,2213506,2196611,176144,1.82,1.07,37.4,20.6,793007,436425,2253928,2112498,163168
2013-12-01,"12月",1.6,1.03,34.4,21.5,824676,515649,2237505,2173021,177251,1.81,1.09,37,20.5,696509,385709,2147884,1964412,142545
2014-01-01,"26年1月",1.61,1.04,33.9,21,841268,521149,2252198,2170994,176666,1.59,1.09,24.8,15.6,919073,577125,2215487,2026639,142979
2014-02-01,"2月",1.7,1.05,35.6,21,830240,489671,2248523,2134185,174540,1.72,1.12,32,18.6,866811,504353,2306384,2055336,161324
2014-03-01,"3月",1.66,1.07,35.1,21.1,834436,501671,2257582,2105966,176089,1.52,1.1,38.2,25.2,835558,550520,2378962,2155469,210300
2014-04-01,"4月",1.63,1.07,33.4,20.5,844531,516874,2269350,2112106,172872,1.21,1,28.4,23.4,860474,709260,2298448,2298735,201343
2014-05-01,"5月",1.63,1.08,33.9,20.8,829061,509180,2284712,2107570,172544,1.52,0.98,34.3,22.5,805563,529245,2235038,2280255,181289
2014-06-01,"6月",1.65,1.1,34,20.6,835899,506090,2305909,2105005,171880,1.66,1.01,36.9,22.2,804167,483145,2235100,2211063,178143
2014-07-01,"7月",1.67,1.1,33.8,20.3,833828,499655,2286740,2086111,168913,1.81,1.06,35.8,19.8,863997,478281,2252506,2124512,171077
2014-08-01,"8月",1.65,1.1,33.5,20.3,832169,503838,2283201,2079390,168972,1.79,1.09,32.8,18.3,778650,436050,2223039,2042768,142838
2014-09-01,"9月",1.66,1.1,33.7,20.2,833516,500891,2279365,2079691,168650,1.7,1.12,34.3,20.2,858232,505356,2303670,2062721,173512
2014-10-01,"10月",1.69,1.1,34.2,20.3,829615,491563,2282096,2066971,168090,1.85,1.14,35.5,19.2,917184,496907,2363217,2067430,176341
2014-11-01,"11月",1.7,1.12,33.7,19.8,840866,493508,2298371,2056330,166206,1.95,1.18,37.4,19.2,758366,388665,2300020,1956892,145379
2014-12-01,"12月",1.77,1.14,34.4,19.5,847021,479689,2300821,2013827,164814,2,1.21,36.5,18.2,735250,367745,2208920,1829069,134104
2015-01-01,"27年1月",1.73,1.15,33.7,19.5,854316,493531,2317077,2018604,166557,1.76,1.21,25,14.2,946562,538684,2281174,1886534,134768
2015-02-01,"2月",1.72,1.15,34,19.8,837562,488002,2326299,2018172,166119,1.73,1.22,30.6,17.7,881491,509482,2396097,1956321,155800
2015-03-01,"3月",1.73,1.16,33.9,19.6,830220,479740,2325454,2003786,162615,1.62,1.2,37.4,23.1,875144,540896,2478828,2070500,202536
2015-04-01,"4月",1.75,1.16,34.1,19.5,843653,482575,2327730,2002680,164711,1.32,1.08,29.3,22.3,861080,653917,2359790,2184420,191606
2015-05-01,"5月",1.77,1.18,34,19.2,851860,481031,2339861,1985529,163547,1.64,1.07,34.4,21,773440,472079,2258530,2119184,162385
2015-06-01,"6月",1.8,1.19,33.8,18.8,855967,475981,2347449,1974724,160876,1.78,1.1,36.1,20.2,858643,481113,2296733,2083737,173740
2015-07-01,"7月",1.84,1.2,34,18.5,868131,472855,2369745,1971704,160827,2,1.17,35.6,17.8,901248,449991,2334354,2002174,160398
2015-08-01,"8月",1.86,1.22,33.7,18.1,877804,472119,2410687,1970850,159092,1.95,1.21,32.7,16.7,816451,418392,2353699,1943130,136669
2015-09-01,"9月",1.84,1.23,33.1,18,863582,468375,2409614,1952840,155259,1.94,1.25,34.4,17.7,865949,446379,2402077,1924584,153433
2015-10-01,"10月",1.85,1.24,32.7,17.7,894091,483169,2417545,1948618,158185,2.03,1.28,33.9,16.8,966747,477128,2478479,1943349,161946
2015-11-01,"11月",1.91,1.26,34.1,17.8,898587,469447,2447646,1948108,160261,2.13,1.32,37.1,17.4,828806,389756,2464485,1868567,144584
2015-12-01,"12月",1.91,1.28,33.7,17.7,889861,466376,2477104,1941911,157255,2.16,1.34,35.7,16.5,780980,361637,2380616,1771225,129151
2016-01-01,"28年1月",2.01,1.29,34.4,17.1,890004,443562,2462560,1915182,152452,2.04,1.36,25.6,12.6,971986,477577,2425874,1788708,122235
2016-02-01,"2月",1.96,1.29,34.7,17.7,906683,462681,2480225,1923765,160760,1.92,1.38,30.6,15.9,966486,504182,2573991,1870622,154063
2016-03-01,"3月",1.94,1.31,35.3,18.2,876013,451566,2484368,1902873,159382,1.81,1.35,39.5,21.8,921043,508891,2645853,1964396,200847
2016-04-01,"4月",2.04,1.33,34.5,16.9,899254,441540,2503181,1876819,152194,1.54,1.24,29.6,19.2,894530,581809,2524448,2033640,172096
2016-05-01,"5月",2.06,1.35,34.5,16.8,913554,443599,2511218,1858469,153062,1.83,1.23,34,18.6,852952,466150,2450457,1995897,158632
2016-06-01,"6月",2.03,1.36,34,16.8,909715,448520,2526530,1855877,152529,2.05,1.27,36.7,17.9,907184,443594,2472437,1948063,162804
2016-07-01,"7月",2.03,1.37,33.6,16.5,913930,449819,2534776,1855442,151005,2.22,1.32,35.3,15.9,890968,400981,2460382,1863187,141648
2016-08-01,"8月",2.07,1.37,34.1,16.5,915323,443181,2543116,1852501,151281,2.15,1.36,32.8,15.3,888039,412746,2499951,1835734,135532
