"Date","AUSTRALIA:australia_epu_index"
2013-12-01,115.998138427734
2014-01-01,77.6370620727539
2014-02-01,68.173828125
2014-03-01,82.714599609375
2014-04-01,37.0905418395996
2014-05-01,82.854133605957
2014-06-01,67.3406448364258
2014-07-01,77.2598190307617
2014-08-01,95.7320022583008
2014-09-01,88.7544250488281
2014-10-01,88.3233795166016
2014-11-01,65.1724624633789
2014-12-01,91.3351669311523
2015-01-01,108.081832885742
2015-02-01,141.45085144043
2015-03-01,53.4880599975586
2015-04-01,88.4654312133789
2015-05-01,126.909637451172
2015-06-01,87.6571197509766
2015-07-01,110.421775817871
2015-08-01,77.3231735229492
2015-09-01,100.214698791504
2015-10-01,74.9229278564453
2015-11-01,48.7555465698242
2015-12-01,67.1367950439453
2016-01-01,67.0387649536133
2016-02-01,97.0506439208984
2016-03-01,86.0758666992188
