"Date","特定サービス産業動態統計調査(調査19業種)総合","対事業所サービス業(調査10業種)総合","対事業所サービス業(調査10業種)総合:物品賃貸業(リース)","対事業所サービス業(調査10業種)総合:物品賃貸業(レンタル)","対事業所サービス業(調査10業種)総合:情報サービス業","対事業所サービス業(調査10業種)総合:広告業","対事業所サービス業(調査10業種)総合:クレジットカード業","対事業所サービス業(調査10業種)総合:エンジニアリング業","対事業所サービス業(調査10業種)総合:インターネット附随サービス業","対事業所サービス業(調査10業種)総合:機械設計業","対事業所サービス業(調査10業種)総合:自動車賃貸業","対事業所サービス業(調査10業種)総合:環境計量証明業"
2013-02-01,98.8,97.2,91,109.7,97.4,104.6,116.2,76.9,118.3,112.4,97.4,101.1
2013-03-01,102.5,103.2,97.3,110.6,98.8,105.3,114.5,137,119.6,119.3,96.9,104.3
2013-04-01,101.7,101.6,100.5,112.4,98.6,107,114.1,92.2,119.5,114.5,96.2,105
2013-05-01,105.1,106.5,142.5,112.2,98.5,108.9,115.5,81.2,118.9,114.1,98.3,106.1
2013-06-01,103.2,103.4,104.8,113,98.8,107.5,116.8,93.1,121.1,111.1,97.9,99.1
2013-07-01,104.2,104.5,105.8,115.7,100.7,107.1,117.6,95.4,120.8,121.1,97.9,104.7
2013-08-01,105.5,106,105.5,115.2,100.8,110.9,118.3,103.9,119.5,119,97.2,104.8
2013-09-01,106.3,107.4,104.5,115.9,101.9,109.2,119.5,118.5,122.1,120.6,98.1,103.5
2013-10-01,104.3,105.4,106.5,116.8,100.8,108,120.6,100,118.6,120.7,98.6,104.3
2013-11-01,106.8,108.2,109.9,118.2,101.6,109.2,122,116.6,118.5,126.8,98.8,104.5
2013-12-01,104.8,105.3,101.3,118.3,101.5,110.7,123,99.9,118.5,120.1,98.3,106.1
2014-01-01,105.1,105.6,104.9,120.1,102.3,111.3,125,81.2,118.9,120.8,103,104.5
2014-02-01,105.8,107.8,106,118.3,103,112.5,124.2,129.4,119.6,119,99.3,104.4
2014-03-01,110.1,112.6,140.9,121.9,101,111.8,139.2,124.8,121.7,118,101.6,111.1
2014-04-01,106.4,108.3,89.1,117.3,101.4,106.6,125.6,192.1,123.9,119.1,99.5,98.3
2014-05-01,103.2,103.9,92.4,119.6,102.7,111.4,123.5,108,125.4,123.1,99.5,105.3
2014-06-01,106.7,109.2,97,119.3,102.6,113.1,127.1,142.8,125.8,120.4,99.9,111.2
2014-07-01,106.2,108.4,103.7,120.3,101.2,113.9,127.7,128.6,128,125.5,100.5,107.2
2014-08-01,105.6,106.8,101.9,120,101.8,111.2,129.6,96.8,132.5,123.8,100.8,106.6
2014-09-01,106.4,107.9,103.7,122,104.1,111.5,131.8,95.5,132.3,121.7,101.1,108.2
2014-10-01,106,108,102.1,122.5,105,112.3,129.6,92.8,132.4,131,101.5,110.8
2014-11-01,106.5,107.9,104.3,121.7,104,110.9,132.1,85.6,133.4,124.5,102.9,108.3
2014-12-01,106.6,108.8,105.6,124,105.4,111.3,132.6,93.8,133,128.5,103.5,110.2
2015-01-01,108.6,111.9,108.8,122.7,104.7,112,132.5,122,141.1,128.8,103.3,108.2
2015-02-01,108.2,110.6,110.9,123,104,112.1,132.9,121.6,138.5,128.6,103.1,106.4
2015-03-01,107.9,110.1,116.5,121.9,106.3,116.3,135.6,96.5,138.6,131.3,103.2,107.2
2015-04-01,106.7,108.6,105.6,122.4,105.2,113.4,134.9,89.1,139.4,130.1,103.8,109.5
2015-05-01,106.5,108.4,107.8,123.4,103.4,112.2,136.1,107.6,142.4,130.9,104.2,102.2
2015-06-01,108.9,112.1,114,123.9,107.4,112.5,135.7,97.4,140,134.1,103.9,108.7
2015-07-01,107.2,109.5,103,123.5,106.4,112.4,135.9,92,140.1,130.1,104.2,109.1
2015-08-01,107.9,111,104.6,123.3,105.8,118.5,138,101.8,141.3,129.9,104.7,107
2015-09-01,107,109.1,107.7,125.2,101.8,114.2,138.4,103.1,140.4,136.5,105.1,108.9
2015-10-01,109.4,111.9,108,122.8,106.3,115.4,138.8,103.5,141.4,134,105.4,108.7
2015-11-01,107.7,110.4,100.6,122.1,106.8,119.4,137.9,96,144,133.1,104.2,110.5
2015-12-01,111.3,115,127.1,121.8,107.7,114.7,139.6,97.5,145.6,134.8,105.3,111.1
2016-01-01,107.6,111.3,108.5,121.2,106.3,123.4,139.9,85.9,144.5,139.1,105.3,111.9
2016-02-01,106.9,109.4,104.9,122.9,106.4,116.5,141.9,83.5,145.7,134.5,106.1,110.9
2016-03-01,107.7,110.6,104.9,121.9,105,117.2,142.3,134.5,145.6,142,107.9,111.3
2016-04-01,107.8,111.8,104.9,123.1,107.7,116.1,142.7,100.1,146.8,135.6,106.4,108.3
2016-05-01,106.3,110,103.8,123.5,106.4,115.4,143.3,82.7,146.1,133.3,107,106.8
2016-06-01,108,111.8,112.4,124.7,106.9,118.2,144.2,84,146.6,135.5,107.2,106.9
2016-07-01,107.7,111.5,108.2,124.9,106.1,115.3,145.5,84.4,148.7,128.7,107.9,107.9
2016-08-01,107.1,111.2,101,123.4,109,117.7,144.9,89.1,149.6,132.9,108.2,112.2
2016-09-01,107.2,110.8,111.1,125.6,104.9,119.2,146.2,84.9,150.8,130.2,108.4,108.9
2016-10-01,108.8,112.8,100.7,123.7,108.2,119.7,148.6,105.5,150.6,131,108.7,107.2
2016-11-01,108.8,113.6,97.5,123.3,111.3,116.2,149.3,117,150.7,134.3,109,115.5
2016-12-01,110.1,114.3,98.4,123.1,107.7,118.9,150.8,145,151.3,144,109.9,107.9
2017-01-01,108.4,112,99.6,123.5,109.3,126.3,151.6,95.1,147.7,128.5,110.4,107.2
2017-02-01,106.5,110,94.5,122,108.7,116.1,152.1,85.1,150.2,133.3,110.3,107.4
2017-03-01,105.6,108.4,107.5,122.9,105.6,120.1,154.6,89.7,153.8,148.2,111.6,110.8
2017-04-01,110.1,114.9,105.3,123.5,112.2,118.8,155.6,88.8,152.4,137.1,110,115
2017-05-01,108.6,113.2,103.8,123.1,110.3,117.5,156.6,85.5,153.2,132.9,111.9,116
2017-06-01,109.2,113.1,98.9,126,110,115,156.2,100.5,153.8,134.1,112.5,112.9
