"ID","期間","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:取得","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:処分","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:ネット","1.対外証券投資【居住者による取得・処分】:中長期債:取得","1.対外証券投資【居住者による取得・処分】:中長期債:処分","1.対外証券投資【居住者による取得・処分】:中長期債:ネット","1.対外証券投資【居住者による取得・処分】:小計:ネット","1.対外証券投資【居住者による取得・処分】:短期債:取得","1.対外証券投資【居住者による取得・処分】:短期債:処分","1.対外証券投資【居住者による取得・処分】:短期債:ネット","1.対外証券投資【居住者による取得・処分】:合計:ネット","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:取得","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:処分","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:ネット","2.対内証券投資【非居住者による取得・処分】:中長期債:取得","2.対内証券投資【非居住者による取得・処分】:中長期債:処分","2.対内証券投資【非居住者による取得・処分】:中長期債:ネット","2.対内証券投資【非居住者による取得・処分】:小計:ネット","2.対内証券投資【非居住者による取得・処分】:短期債:取得","2.対内証券投資【非居住者による取得・処分】:短期債:処分","2.対内証券投資【非居住者による取得・処分】:短期債:ネット","2.対内証券投資【非居住者による取得・処分】:合計:ネット"
391,"2012．6．24～ 6．30",3301,3095,206,40027,26620,13407,13613,1100,1657,-558,13055,32799,33299,-500,15025,11249,3776,3276,29533,21712,7821,11097
392,"2012．7．1～ 7．7",2049,1946,103,37385,33880,3505,3608,2737,2425,312,3920,28619,28651,-32,12122,12329,-207,-240,46983,31618,15365,15125
393,"2012．7．8～ 7．14",2149,2709,-561,40764,29117,11648,11087,1338,1122,216,11303,30519,31857,-1338,13886,13959,-73,-1411,36264,44875,-8611,-10022
394,"2012．7．15～ 7．21",2289,2513,-224,32013,30412,1601,1377,2503,2220,283,1660,24979,25400,-421,10670,10858,-188,-609,34805,31451,3354,2745
395,"2012．7．22～ 7．28",2631,2757,-126,41579,41913,-334,-459,1651,1431,220,-240,32830,33595,-764,14403,13833,570,-194,38705,32346,6360,6166
396,"2012．7．29～ 8．4",2670,3134,-464,43772,39272,4501,4037,2549,2355,194,4230,34005,34831,-826,20671,13402,7269,6443,23697,26924,-3227,3217
397,"2012．8．5～ 8．11",2438,2671,-232,31847,30147,1701,1468,1201,1403,-202,1267,33617,34298,-681,12607,14017,-1410,-2091,47551,41447,6104,4013
398,"2012．8．12～ 8．18",2788,3225,-438,31281,39649,-8369,-8806,1880,1955,-75,-8881,29554,28658,895,12626,14477,-1851,-955,44087,31014,13072,12117
399,"2012．8．19～ 8．25",2360,2939,-579,35206,24731,10474,9895,1631,1413,217,10113,25013,26366,-1353,15994,13840,2154,801,21106,41333,-20227,-19426
400,"2012．8．26～ 9．1",2523,2869,-346,30960,22207,8754,8408,2511,1809,702,9110,28562,29010,-448,14788,10834,3954,3507,29288,21295,7993,11499
401,"2012．9．2～ 9．8",1953,2722,-769,43703,35833,7869,7100,2735,2488,247,7347,32656,31997,659,15034,12377,2656,3315,37905,29417,8487,11802
402,"2012．9．9～ 9．15",2347,5241,-2894,46560,45917,643,-2251,2120,2016,104,-2147,31734,31136,598,15510,10113,5397,5995,34203,40934,-6731,-736
403,"2012．9．16～ 9．22",3365,4034,-668,33506,34164,-659,-1327,1683,2024,-341,-1668,33524,34541,-1017,12168,18679,-6511,-7528,46477,41619,4858,-2670
404,"2012．9．23～ 9．29",3542,3551,-9,38887,23463,15424,15416,1254,943,310,15726,41129,43525,-2396,20306,17327,2979,583,35986,35643,342,926
405,"2012．9．30～ 10．6",2903,2368,535,35216,37847,-2631,-2096,937,1009,-72,-2168,35977,34790,1186,15705,12761,2944,4130,39606,36427,3179,7309
406,"2012．10．7～ 10．13",2971,3034,-63,22281,15228,7053,6990,614,637,-23,6967,31282,31549,-267,7461,6129,1332,1065,27736,49910,-22175,-21109
407,"2012．10．14～ 10．20",2903,2912,-9,29017,24267,4750,4741,2327,1511,816,5557,40455,38503,1952,15851,13125,2725,4678,28513,30169,-1656,3022
408,"2012．10．21～ 10．27",2609,2974,-365,23903,21386,2517,2152,661,1036,-375,1777,35695,35816,-121,11642,15272,-3630,-3751,28826,31131,-2305,-6056
409,"2012．10．28～ 11．3",2551,2788,-237,23927,23274,653,416,588,870,-282,135,40109,40386,-277,13648,12709,938,661,29970,29973,-3,658
410,"2012．11．4～ 11．10",2467,2856,-389,27717,24042,3675,3286,926,968,-42,3244,33666,34452,-786,12267,9175,3092,2306,47163,40435,6728,9034
411,"2012．11．11～ 11．17",2396,2813,-418,30970,26962,4008,3591,1117,884,233,3824,36541,35208,1333,13024,13628,-604,729,34258,23895,10362,11092
412,"2012．11．18～ 11．24",1747,1945,-198,16604,15415,1189,991,542,1343,-801,190,32984,30226,2758,8350,8861,-512,2247,28820,44605,-15786,-13539
413,"2012．11．25～ 12．1",4438,4595,-157,27329,22387,4942,4784,924,988,-64,4721,43834,41991,1843,13512,10009,3502,5346,38943,18347,20595,25941
414,"2012．12．2～ 12．8",3698,4326,-628,23609,29982,-6372,-7000,1450,2188,-738,-7738,38577,37412,1164,12327,12638,-311,853,43110,30994,12117,12970
415,"2012．12．9～ 12．15",2992,4035,-1043,35571,26587,8985,7942,1427,1172,255,8197,45946,42050,3896,12800,11080,1720,5615,33322,42107,-8785,-3169
416,"2012．12．16～ 12．22",3037,5354,-2317,37331,33025,4305,1989,460,1461,-1001,988,65828,58179,7649,10756,19231,-8475,-826,30627,34650,-4024,-4850
417,"2012．12．23～ 12．29",956,1403,-447,7932,9417,-1485,-1932,375,393,-18,-1950,32800,30540,2260,5704,10064,-4359,-2099,2558,18101,-15543,-17642
418,"2012．12．30～ 2013．1．5",1186,1110,76,7167,11135,-3968,-3892,472,260,212,-3680,12992,11204,1789,4267,4285,-18,1770,6070,1489,4581,6352
419,"2013．1．6～ 1．12",4441,5995,-1553,42114,38188,3926,2372,884,1443,-558,1814,62277,59943,2335,13883,12493,1390,3725,67948,39870,28079,31804
420,"2013．1．13～ 1．19",2624,4976,-2352,31018,31368,-350,-2702,1684,1312,372,-2330,56518,54561,1957,15352,10542,4810,6767,45923,56834,-10911,-4144
421,"2013．1．20～ 1．26",3111,5652,-2541,33456,26828,6628,4087,2794,3454,-660,3427,62201,59719,2481,8938,11221,-2283,198,37661,42876,-5215,-5016
422,"2013．1．27～ 2．2",4235,7764,-3529,28953,32662,-3709,-7238,2256,2171,84,-7154,67619,63425,4194,11180,13832,-2652,1543,31186,24288,6898,8440
423,"2013．2．3～ 2．9",3485,5770,-2286,30348,36802,-6455,-8741,2014,2415,-402,-9142,78257,76124,2133,12392,15009,-2617,-484,37603,34619,2984,2500
424,"2013．2．10～ 2．16",2417,6564,-4147,20401,26610,-6209,-10356,869,726,143,-10213,56750,54791,1959,9671,11472,-1801,158,27744,37920,-10176,-10018
