"ID","期間","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:取得","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:処分","1.対外証券投資【居住者による取得・処分】:株式・投資ファンド持分:ネット","1.対外証券投資【居住者による取得・処分】:中長期債:取得","1.対外証券投資【居住者による取得・処分】:中長期債:処分","1.対外証券投資【居住者による取得・処分】:中長期債:ネット","1.対外証券投資【居住者による取得・処分】:小計:ネット","1.対外証券投資【居住者による取得・処分】:短期債:取得","1.対外証券投資【居住者による取得・処分】:短期債:処分","1.対外証券投資【居住者による取得・処分】:短期債:ネット","1.対外証券投資【居住者による取得・処分】:合計:ネット","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:取得","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:処分","2.対内証券投資【非居住者による取得・処分】:株式・投資ファンド持分:ネット","2.対内証券投資【非居住者による取得・処分】:中長期債:取得","2.対内証券投資【非居住者による取得・処分】:中長期債:処分","2.対内証券投資【非居住者による取得・処分】:中長期債:ネット","2.対内証券投資【非居住者による取得・処分】:小計:ネット","2.対内証券投資【非居住者による取得・処分】:短期債:取得","2.対内証券投資【非居住者による取得・処分】:短期債:処分","2.対内証券投資【非居住者による取得・処分】:短期債:ネット","2.対内証券投資【非居住者による取得・処分】:合計:ネット"
634,"2017．2．19～2．25",9452,7878,1574,64443,66511,-2068,-494,4094,3866,228,-266,81628,84237,-2609,16293,12614,3679,1070,49683,39917,9767,10836
635,"2017．2．26～3．4",11537,10773,763,79916,91211,-11295,-10531,8053,7438,614,-9917,104073,105732,-1659,23842,17792,6050,4391,24893,42698,-17805,-13414
636,"2017．3．5～3．11",8305,11911,-3606,67610,74566,-6956,-10562,5954,4980,974,-9588,91416,98642,-7227,18198,18693,-495,-7722,45731,67143,-21413,-29135
637,"2017．3．12～3．18",9700,14351,-4651,85308,83799,1509,-3142,11193,10901,292,-2850,89545,95398,-5853,15775,21737,-5963,-11816,59930,30772,29158,17343
638,"2017．3．19～3．25",10334,13274,-2940,69545,71013,-1468,-4408,7626,7815,-188,-4596,77419,84962,-7543,11287,30524,-19237,-26780,34692,50098,-15407,-42186
639,"2017．3．26～4．1",15264,11910,3354,79469,68471,10998,14352,11908,11992,-84,14268,100832,94988,5845,18000,9100,8900,14745,12124,42283,-30159,-15415
640,"2017．4．2～4．8",11378,10528,851,81190,102950,-21759,-20908,9750,8559,1191,-19717,121681,117258,4423,21140,15268,5872,10295,64583,45279,19303,29598
641,"2017．4．9～4．15",7427,9743,-2317,51350,59309,-7959,-10276,10407,10188,220,-10056,94454,91305,3148,16460,12355,4104,7253,41762,48081,-6319,934
642,"2017．4．16～4．22",10292,8930,1362,65887,78712,-12826,-11464,9160,8855,305,-11159,86930,84346,2584,14701,21632,-6932,-4348,47376,46651,725,-3623
643,"2017．4．23～4．29",13113,7068,6045,68624,68624,1,6046,9484,8722,762,6808,104231,99340,4891,18811,11264,7548,12439,38649,38860,-212,12227
644,"2017．4．30～5．6",4437,3353,1084,35431,31173,4258,5342,2599,2809,-210,5132,39026,36647,2379,2833,3232,-399,1980,22484,36009,-13525,-11545
645,"2017．5．7～5．13",13737,11195,2541,81998,64415,17583,20124,15865,16108,-243,19881,126848,123129,3719,15609,11654,3954,7673,46116,41767,4349,12022
646,"2017．5．14～5．20",11434,11694,-261,64053,56254,7799,7538,12773,13601,-829,6709,111298,111557,-259,16614,10987,5627,5368,51050,39209,11841,17210
647,"2017．5．21～5．27",12856,6558,6298,61788,54452,7335,13634,10203,10011,192,13826,90569,89273,1296,17144,12579,4565,5861,39312,42474,-3162,2700
648,"2017．5．28～6．3",13634,9197,4437,59504,63008,-3504,933,12460,13125,-666,267,108888,103455,5433,16137,11292,4845,10278,27180,39734,-12554,-2275
