"Date","Long-GOLD","Short-GOLD","Net-GOLD","Names","Unit"
2015-06-02,194299,89889,104410,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-06-09,186813,111723,75090,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-06-16,191053,115330,75723,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-06-23,202944,107830,95114,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-06-30,194476,127321,67155,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-07-07,193776,143328,50448,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-07-14,191014,143190,47824,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-07-21,187720,159441,28279,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-07-28,182977,158512,24465,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-08-04,184792,154892,29900,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-08-11,187778,155336,32442,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-08-18,185712,144053,41659,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-08-25,189893,119160,70733,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-09-01,182753,110068,72685,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-09-08,183615,124322,59293,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-09-15,174225,134678,39547,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-09-22,182080,120955,61125,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-09-29,182792,106147,76645,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-10-06,191000,104181,86819,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-10-13,203299,86140,117159,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-10-20,233227,81926,151301,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-10-27,225985,68551,157434,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-11-03,194784,78442,116342,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-11-10,174561,106172,68389,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-11-17,173395,138996,34399,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-11-24,159440,143138,16302,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-12-01,158792,149042,9750,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-12-08,162764,143141,19623,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-12-15,155934,142278,13656,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-12-22,154276,127849,26427,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2015-12-29,150229,131127,19102,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-01-05,153532,126972,26560,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-01-12,158655,113937,44718,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-01-19,158320,114626,43694,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-01-26,170471,111431,59040,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-02-02,176968,104146,72822,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-02-09,201754,103326,98428,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-02-16,209101,91741,117360,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-02-23,227381,82403,144978,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-03-01,223186,70773,152413,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-03-08,252895,78085,174810,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-03-15,247659,78147,169512,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-03-22,258646,79815,178831,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-03-29,262082,72276,189806,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-04-05,263781,73381,190400,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-04-12,286341,72534,213807,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-04-19,291143,74306,216837,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-04-26,288173,67316,220857,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-05-03,338476,66828,271648,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-05-10,337251,72353,264898,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-05-17,340748,74460,266288,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-05-24,291266,84634,206632,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-05-31,274589,77454,197135,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-06-07,295688,67069,228619,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-06-14,347557,67695,279862,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-06-21,358825,66096,292729,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-06-28,373128,71208,301920,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-07-05,389590,73627,315963,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-07-12,378081,80618,297463,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-07-19,366871,80960,285911,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-07-26,347426,68471,278955,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-08-02,365801,71618,294183,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-08-09,356471,70024,286447,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-08-16,351535,67684,283851,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-08-23,359785,65176,294609,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-08-30,340586,64245,276341,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-09-06,370375,62515,307860,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-09-13,351776,66363,285413,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-09-20,326326,70147,256179,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-09-27,358972,67068,291904,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-10-04,324136,78628,245508,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-10-11,283386,88167,195219,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-10-18,274345,94727,179618,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-10-25,285376,88396,196980,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-11-01,288308,73177,215131,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-11-08,289860,72622,217238,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-11-15,245750,68090,177660,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-11-22,241646,74561,167085,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-11-29,229731,78161,151570,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-12-06,227675,91295,136380,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-12-13,229755,100444,129311,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-12-20,219067,104233,114834,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2016-12-27,206538,108195,98343,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-01-03,208855,112305,96550,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-01-10,214000,104518,109482,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-01-17,218144,111103,107041,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-01-24,209854,100447,109407,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-01-31,212414,93259,119155,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-02-07,216408,99259,117149,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-02-14,212259,102507,109752,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-02-21,219673,95910,123763,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-02-28,247494,83696,163798,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-03-07,229969,96284,133685,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-03-14,210315,104277,106038,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-03-21,219719,103467,116252,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-03-28,227839,90019,137820,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-04-04,239061,83625,155436,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-04-11,253004,80338,172666,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-04-18,279311,83543,195768,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-04-25,287468,86791,200677,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-05-02,276032,86398,189634,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-05-09,236115,86109,150006,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-05-16,221532,94808,126724,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-05-23,241752,81985,159767,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-05-30,250542,83452,167090,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-06-06,312240,107775,204465,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-06-13,297178,106904,190274,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-06-20,252620,101945,150675,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-06-27,236586,104914,131672,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-07-03,221681,127882,93799,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-07-11,217637,157377,60260,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
2017-07-18,217232,157094,60138,"GOLD - COMMODITY EXCHANGE INC.","(CONTRACTS OF 100 TROY OUNCES)"
