"Date","実質原系列:国内総生産(支出側)","実質原系列:民間最終消費支出","実質原系列:民間最終消費支出:家計最終消費支出","実質原系列:民間最終消費支出:家計最終消費支出:除く持ち家の帰属家賃","実質原系列:民間住宅","実質原系列:民間企業設備","実質原系列:民間在庫変動","実質原系列:政府最終消費支出","実質原系列:公的固定資本形成","実質原系列:公的在庫変動","実質原系列:財貨・サービス:純輸出","実質原系列:財貨・サービス:輸出","実質原系列:財貨・サービス:輸入","実質原系列:開差"
2009-03-01,116099.8,68794.2,67672.4,55662.5,3908.7,19738.9,-3529.7,23536.2,7361.4,-5.7,-3260.3,12844.9,16105.2,-444
2009-06-01,115065.8,68577.4,67245.9,55202.3,3449.9,15276.5,323.6,23846.5,5254.3,2.5,-1458.9,13776.7,15235.6,-206.1
2009-09-01,117244.1,70472,68904.4,56820.1,3466.2,16422,-1816,23787,5916,-25.7,-859,15436.3,16295.3,-118.4
2009-12-01,123816.9,72785.4,71119.9,58993.5,3371.4,15922.4,150.7,24302.6,7535.5,9.4,-182.2,16803.1,16985.3,-78.3
2010-03-01,121384.7,70880.4,69666.1,57507.3,3269.7,18467.1,-3561.2,24058.3,7851.6,38.4,368.3,17377.9,17009.5,12.2
2010-06-01,119177.1,70055.7,68626.8,56434,3238.6,14983.8,1160.4,24427.7,4989.3,-10.8,390.2,18079.4,17689.1,-57.9
2010-09-01,123949,72809.2,71164.3,58931,3509.3,16832.1,489.3,24172.1,5728.9,-74.5,531.5,18897.9,18366.3,-49
2010-12-01,127512.8,73620.1,71887.6,59609.4,3656,16453.6,1968.6,24665.7,6923.2,-16.5,392.1,19168.6,18776.5,-150
2011-03-01,122193.8,69908.8,68591.6,56293.7,3488.5,19340.4,-2387.6,24787.2,7033.1,7.2,0.3,18603.3,18603,16
2011-06-01,118311.4,69784.4,68188.8,55904.9,3332.6,15136.7,1490.3,24842.9,4893.2,2.9,-1127.5,17158.8,18286.3,-44
2011-09-01,123485.8,72342.1,70541.5,58212,3766.9,17124,439.6,24564.7,5500.5,-9,-270.6,18974.5,19245.1,27.7
2011-12-01,127464.5,74219.7,72327.9,59954.5,3750,17805.4,1482.6,25009.8,6466.3,1.1,-1270.6,18606.1,19876.8,0.3
2012-03-01,125791.9,72200.4,70741.4,58324.6,3452.3,20414.8,-1961.2,25345.1,7339.2,7.9,-1007,18831.8,19838.8,0.4
2012-06-01,121743.9,71766.7,70045.2,57584.7,3473,16291.1,1382.2,25193.6,4895.3,19,-1277.5,18679.2,19956.7,0.3
2012-09-01,123486.8,73172.4,71253.3,58748.2,3812.3,17868.4,350.9,24892.1,5523.7,9.4,-2142.2,18125.7,20268,-0.1
2012-12-01,127780.3,74923.4,72893,60341.2,3960.4,17652.9,1447.2,25438.2,6768.3,9.1,-2418.5,17641.1,20059.6,-0.7
2013-03-01,126622.8,73866.8,72259.1,59662.2,3783.3,20330.4,-2329.4,25547.3,7316,-19.6,-1929.9,17941.6,19871.5,57.9
2013-06-01,123988.7,73446.9,71707.4,59065.1,3678,16774.2,900.9,25724.1,5012,4.4,-1542.3,18560.8,20103.1,-9.6
2013-09-01,126967.2,75006.7,73072.5,60374.5,4094.8,18840.6,-182.7,25339.7,6171,-25.6,-2280.4,18594.5,20874.9,3
2013-12-01,131202.7,76660.3,74607.2,61857.6,4321.1,18947.6,978.3,25771.1,7682.2,17.7,-3157.7,18738.8,21896.5,-17.8
2014-03-01,130492.9,76568.6,74919.7,62121.1,4185.6,22614,-3229.7,25996,7740.2,39.4,-3299.2,19687.9,22987.1,-122
2014-06-01,123666.2,71418.5,69791.5,56968.9,3646.2,17430.3,2127.2,25679.8,5045.8,-0.3,-1699.3,19795.1,21494.4,17.8
2014-09-01,125576.5,73086.5,71290.8,58423.4,3654.9,19369.7,50.6,25401.7,6061.2,34.7,-2066.2,20117.2,22183.5,-16.5
2014-12-01,130753.6,75361.4,73408.1,60491.7,3715.5,19348.9,743.3,25852.4,7527,-1.6,-1827.3,21095,22922.3,34
2015-03-01,130305.4,73836.1,72313.7,59369.3,3648.4,22893.7,-2113,26301.2,7422.7,39,-1748.2,21192.8,22941,25.4
2015-06-01,125825.9,72210.5,70445,57480.2,3537.1,17680.4,2620.9,26113.5,5151.7,-19.1,-1504.5,20183,21687.5,35.4
2015-09-01,128098,74031.8,72089.2,59067.8,3881.4,19541.7,669,25802.8,6056,-10.5,-1879.6,20696.9,22576.6,5.5
2015-12-01,131942.2,75361.7,73252,60180.8,3892.4,19529.6,1616,26413.6,7186.5,-10.8,-2062.1,20998.5,23060.5,15.3
2016-03-01,130925.6,73769.2,72108,59014.4,3758.5,22780.2,-2243.4,27017.7,7171.2,62.2,-1494.3,20895.2,22389.4,104.2
2016-06-01,126973.4,72472.8,70653.4,57543.5,3726.9,18030.1,2424.6,26439.2,5039.7,-6.6,-1111.2,20328.9,21440.1,-41.9
2016-09-01,129474,74268.8,72272.7,59104,4136.5,19720.9,155.7,26068.2,5944.3,-0.1,-891.3,20867.9,21759.2,70.9
2016-12-01,134124.1,76089.8,73928,60700.6,4172,20167,848.6,26504.3,6885.1,-4.1,-651.5,21956.4,22607.9,112.9
2017-03-01,132902,74544.6,72840.9,59591.3,4020.8,23587.1,-2828.9,26731.6,6877.3,30.8,-395.9,22268.7,22664.6,334.7
2017-06-01,129498.2,73808,71948.9,58674.5,3935,19070.5,1456.7,26562.6,5187.9,-3.7,-587.9,21678.8,22266.7,69.2
