"Date","名目季節調整系列:国内総生産(支出側)_兆円","株式時価総額:一部_兆円","Warren Buffett Indicator"
2000-01-01,,439.935742,
2000-02-01,,443.836677,
2000-03-01,527.3027,446.480767,0.85
2000-04-01,,433.264274,
2000-05-01,,407.333848,
2000-06-01,526.6486,425.867395,0.81
2000-07-01,,389.022705,
2000-08-01,,408.340262,
2000-09-01,525.5639,399.327176,0.76
2000-10-01,,377.053827,
2000-11-01,,373.768457,
2000-12-01,528.8971,352.784685,0.67
2001-01-01,,358.225962,
2001-02-01,,343.399319,
2001-03-01,533.0299,342.851534,0.64
2001-04-01,,382.00793,
2001-05-01,,366.894623,
2001-06-01,525.9002,364.237943,0.69
2001-07-01,,333.318923,
2001-08-01,,309.406628,
2001-09-01,518.2624,287.018726,0.55
2001-10-01,,298.016683,
2001-11-01,,295.456763,
2001-12-01,515.9045,290.668537,0.56
2002-01-01,,275.178205,
2002-02-01,,287.258073,
2002-03-01,516.6305,299.623522,0.58
2002-04-01,,308.611489,
2002-05-01,,320.111719,
2002-06-01,515.5426,292.955508,0.57
2002-07-01,,275.909733,
2002-08-01,,269.379844,
2002-09-01,515.7895,262.497632,0.51
2002-10-01,,247.479258,
2002-11-01,,254.409401,
2002-12-01,516.4322,242.939136,0.47
2003-01-01,,236.772387,
2003-02-01,,236.244082,
2003-03-01,511.3879,228.307326,0.45
2003-04-01,,230.934518,
2003-05-01,,243.096603,
2003-06-01,516.1686,262.34995,0.51
2003-07-01,,272.854166,
2003-08-01,,292.540917,
2003-09-01,516.56,297.698938,0.58
2003-10-01,,305.691099,
2003-11-01,,294.25174,
2003-12-01,518.3997,309.290031,0.6
2004-01-01,,310.79616,
2004-02-01,,323.046162,
2004-03-01,521.846,353.067645,0.68
2004-04-01,,357.510755,
2004-05-01,,344.433724,
2004-06-01,520,359.842961,0.69
2004-07-01,,345.337043,
2004-08-01,,342.623242,
2004-09-01,521.913,334.728565,0.64
2004-10-01,,331.106377,
2004-11-01,,336.26298,
2004-12-01,520.5417,353.558256,0.68
2005-01-01,,352.734531,
2005-02-01,,362.680725,
2005-03-01,520.9068,365.533967,0.7
2005-04-01,,350.885113,
2005-05-01,,355.748112,
2005-06-01,523.3939,366.490824,0.7
2005-07-01,,375.820227,
2005-08-01,,391.713649,
2005-09-01,526.4255,435.735912,0.83
2005-10-01,,454.381424,
2005-11-01,,484.449088,
2005-12-01,526.478,522.068129,0.99
2006-01-01,,541.630842,
2006-02-01,,526.364199,
2006-03-01,525.5272,548.191873,1.04
2006-04-01,,546.380489,
2006-05-01,,503.314035,
2006-06-01,526.5244,504.568355,0.96
2006-07-01,,499.068227,
2006-08-01,,517.780573,
2006-09-01,524.6765,510.93066,0.97
2006-10-01,,515.600386,
2006-11-01,,513.128927,
2006-12-01,530.7956,538.629548,1.01
2007-01-01,,551.315656,
2007-02-01,,561.27001,
2007-03-01,533.9216,548.786873,1.03
2007-04-01,,545.774619,
2007-05-01,,561.146891,
2007-06-01,533.6478,567.72849,1.06
2007-07-01,,545.053572,
2007-08-01,,514.652578,
2007-09-01,529.5396,516.657674,0.98
2007-10-01,,521.225679,
2007-11-01,,492.67505,
2007-12-01,529.5987,475.629039,0.9
2008-01-01,,431.475182,
2008-02-01,,425.503569,
2008-03-01,530.4683,389.305204,0.73
2008-04-01,,433.128151,
2008-05-01,,449.844381,
2008-06-01,525.9698,422.569184,0.8
2008-07-01,,415.890955,
2008-08-01,,401.332995,
2008-09-01,515.7822,347.70883,0.67
2008-10-01,,279.396092,
2008-11-01,,270.219179,
2008-12-01,510.8172,278.988813,0.55
2009-01-01,,258.003146,
2009-02-01,,246.693667,
2009-03-01,486.5029,251.673055,0.52
2009-04-01,,271.906998,
2009-05-01,,291.304814,
2009-06-01,492.0668,303.74369,0.62
2009-07-01,,311.615262,
2009-08-01,,317.087279,
2009-09-01,487.9108,300.21011,0.62
2009-10-01,,296.616665,
2009-11-01,,278.470501,
2009-12-01,491.5929,302.712168,0.62
2010-01-01,,301.680788,
2010-02-01,,299.204276,
2010-03-01,496.7493,325.002095,0.65
2010-04-01,,332.481742,
2010-05-01,,297.052788,
2010-06-01,499.5437,285.345271,0.57
2010-07-01,,288.107989,
2010-08-01,,273.458887,
2010-09-01,505.4993,281.595909,0.56
2010-10-01,,275.153787,
2010-11-01,,292.239014,
2010-12-01,500.2319,305.69303,0.61
2011-01-01,,309.780016,
2011-02-01,,324.193339,
2011-03-01,491.8883,296.474251,0.6
2011-04-01,,290.750796,
2011-05-01,,286.74758,
2011-06-01,485.3807,290.426163,0.6
2011-07-01,,287.89329,
2011-08-01,,264.457114,
2011-09-01,495.0078,261.671225,0.53
2011-10-01,,262.775289,
2011-11-01,,250.818599,
2011-12-01,494.3341,251.395748,0.51
2012-01-01,,260.1471,
2012-02-01,,287.078517,
2012-03-01,500.265,293.741343,0.59
2012-04-01,,277.626576,
2012-05-01,,248.885004,
2012-06-01,495.27,265.833,0.54
2012-07-01,,254.881454,
2012-08-01,,254.050931,
2012-09-01,492.4484,256.059767,0.52
2012-10-01,,257.801732,
2012-11-01,,271.002872,
2012-12-01,492.7854,296.442945,0.6
2013-01-01,,324.714528,
2013-02-01,,337.490278,
2013-03-01,498.1518,359.766497,0.72
2013-04-01,,404.650096,
2013-05-01,,394.641859,
2013-06-01,502.7073,393.957453,0.78
2013-07-01,,396.506736,
2013-08-01,,387.439882,
2013-09-01,506.8674,417.303078,0.82
2013-10-01,,418.973677,
2013-11-01,,441.904562,
2013-12-01,506.1144,458.484253,0.91
2014-01-01,,431.693051,
2014-02-01,,429.176802,
2014-03-01,512.3539,427.23162,0.83
2014-04-01,,414.201211,
2014-05-01,,427.851548,
2014-06-01,512.7097,449.921599,0.88
2014-07-01,,459.765395,
2014-08-01,,455.629079,
2014-09-01,512.2666,472.898885,0.92
2014-10-01,,478.096766,
2014-11-01,,505.296302,
2014-12-01,517.0677,505.897342,0.98
2015-01-01,,510.004356,
2015-02-01,,547.883283,
2015-03-01,527.9251,556.220164,1.05
2015-04-01,,571.945454,
2015-05-01,,599.939987,
2015-06-01,529.604,586.140861,1.11
2015-07-01,,598.043519,
2015-08-01,,554.258455,
2015-09-01,531.9517,509.811839,0.96
2015-10-01,,562.701194,
2015-11-01,,583.879269,
2015-12-01,530.5037,571.832889,1.08
2016-01-01,,530.878134,
2016-02-01,,481.82114,
2016-03-01,535.3066,500.285171,0.93
2016-04-01,,496.956249,
2016-05-01,,512.117884,
2016-06-01,536.613,464.087116,0.86
2016-07-01,,492.020121,
2016-08-01,,491.640271,
2016-09-01,536.9577,490.17645,0.91
2016-10-01,,516.207641,
2016-11-01,,541.846881,
2016-12-01,539.1796,560.246997,1.04
2017-01-01,,560.628734,
2017-02-01,,565.825277,
2017-03-01,539.016,558.610633,1.04
2017-04-01,,565.356969,
