"Date","原子力原動機","火水力原動機","内燃機関","発電機","その他重電機","電子計算機","通信機","電子応用装置","電気計測器","半導体製造装置","風水力機械","運搬機械","産業用ロボット","金属加工機械","化学機械","冷凍機械","合成樹脂加工機械","繊維機械","建設機械","鉱山機械","農林用機械","その他","工作機械","鉄道車両","道路車両","航空機","船舶","合計"
2007-03-01,733.2,4005.86,769.53,123.08,1747.89,6350.03,2665.89,560.55,791.27,1654.21,895.44,1214.75,357.86,332.87,2514.12,486.85,231.7,187.09,1548.59,23.4,692.7,1532.51,1122.17,1343.75,861.75,2470.09,1757.89,36975.04
2007-04-01,342.59,824.45,564.18,82.87,1500.88,3394.17,1844.41,598.42,430.25,1522,556.34,869.34,514.36,313.26,1090.35,352.96,188.83,215.62,1700.45,21.96,453.11,606.02,1037.32,310.26,684.12,387.48,2145.86,22551.86
2007-05-01,340.77,715.81,587.05,159.84,1294.11,3089.95,1914.29,433.84,502.95,1293.94,680.11,1021.58,503.3,238.34,1965.38,385.13,234.01,198.08,1670.78,28.99,420.9,687.6,1078.57,391.21,730.23,265.96,1493.04,22325.76
2007-06-01,190.76,973,784.86,127.35,1533.98,4621.46,2033.97,448.48,504.56,1535.12,854.46,968.72,438.24,255.12,1441.43,509.19,226.28,236.57,1746.84,25.35,459.34,736.3,1080.71,290.85,812.44,955.87,2444.03,26235.28
2007-07-01,167.09,428.33,610.47,94.04,1441.56,3160.22,1813.9,401.58,439.88,1244.83,696.72,956.47,405.88,249.75,1337.2,401.72,205.02,192.69,1748.06,20.36,458.47,608.89,1118.4,247.49,860.06,490.11,2244.73,22043.92
2007-08-01,259.15,1458.05,654.44,86.65,1295.86,3165.09,1438.62,392.47,467.18,1317.93,799.48,812.11,344.14,316.39,1445.47,372.13,201.5,151.72,1739.49,22.95,513.36,573.57,1102.28,339.73,1041.5,405.83,1746.29,22463.38
2007-09-01,1071.23,927.31,735.01,221.26,1859.45,5149.75,1999.89,518.11,523.68,1409.3,887.61,1065.68,330.11,330.87,1756,477.63,231.49,222.1,1662.7,22.2,531.28,865.42,1183.79,763.75,842.04,1793.88,2287.36,29668.9
2007-10-01,531.75,743.3,860.01,120.44,1623.91,3091.98,1653.53,478.88,380.2,1384.15,829.89,845.41,318.29,259.56,633.99,325.56,224.99,192.16,1662.01,28.66,379.62,655.07,1140.07,533.04,804.59,771.07,2135.7,22607.83
2007-11-01,442.19,312.27,1020.02,96.19,1582.64,3097.31,1473.68,450.74,455.75,1615.24,776.06,896.77,390.45,267.97,535.52,379.01,203.45,184.5,1883.49,16.69,405.85,830.05,1091.76,378.52,765.13,649.38,2898.46,23099.09
2007-12-01,376.29,683.41,660.46,82.34,1396,4406.86,1742.29,426.91,464.78,2061.83,794.61,931.61,365.99,277.34,1518.5,398.97,224.67,196.08,1773.38,11.32,414.04,901.31,1098.03,384.53,853.4,765.27,3440.02,26650.24
2008-01-01,256.14,2150.01,828.11,94.39,1343.26,2815.72,1605.86,469.87,336.78,1983.25,569.91,806.33,346.76,266.82,821.4,312.28,188.95,139.94,1578.15,25.74,373.85,770.31,1014.21,841.01,742.79,528.58,2196.77,23407.19
2008-02-01,228.64,1354.5,869.06,177.83,1161.98,3450.61,1968.59,539.7,429.73,1508.55,759.24,882.89,424.67,276.53,517.93,397.78,193.47,125.9,1740.37,21.91,474.98,726.71,1071.02,144.08,807.28,837.64,2054.35,23145.94
2008-03-01,2849.87,1837.59,805.88,256.53,2047.26,5773.32,2718.74,532.03,576.3,2083.92,922.16,1407.26,453.28,443.23,1066.97,488.39,177.49,113.4,1918.78,30.91,709.57,1351.17,1200.97,575.86,885.23,3950.83,3260.55,38437.49
2008-04-01,599.83,793.39,865.95,154.11,1802.94,3474.45,1870.26,539.84,306.18,1312.68,750.19,920.45,436.19,256.15,459.39,332.19,164.16,122.14,1841.58,24.5,568.94,646.34,1041.83,366.83,793.12,370.18,1788.2,22602.01
2008-05-01,259.36,1159.97,629.22,133.57,1342.61,3019.03,1344.09,421.66,335.77,1671.41,673.76,854.23,440.22,295.59,1317.15,369.3,215.59,76.86,1699.27,18.82,436.8,601.3,1116.58,1197.52,827.13,255.82,2476.58,23189.21
2008-06-01,449.7,1521.21,758.03,191.15,1568.26,4473.59,1810.34,466.32,420.64,1490.25,719.13,1016.8,324.61,306.68,1528.55,517.4,199.28,71.53,1712.88,56.61,613.43,699.62,1062.76,502.06,823.01,813.27,3074.64,27191.75
2008-07-01,444.2,820.96,494.22,142.11,1444.81,3087.59,1683.67,402.38,377.31,1338.58,727.99,925.31,316.73,281.02,978.09,473.58,171.36,52.29,1679.52,19.47,559.2,652.2,1020.24,380.72,825.7,311.19,1737.1,21347.54
2008-08-01,348.25,1561.55,609.89,149.26,1339.23,3312.96,1335.86,392.45,339.6,817.72,704.41,785.22,243.07,258.48,544.5,351.4,136.26,42.01,1490.67,40.51,511.08,511.87,949.29,143.3,782.46,567.86,2266.19,20535.35
2008-09-01,1014.49,1731.04,635.29,280.98,2253.86,5453.99,2151.81,362.36,423.05,1432.88,755.07,1136.55,277.6,289.37,1505.22,467.49,159.68,81.44,1724.79,11.7,495.63,729.89,950.83,886.74,816.15,1224.31,1619.57,28871.78
2008-10-01,425.62,387.91,570.97,90.66,1564.51,3048.47,1586.37,353.41,287.96,557.96,695.07,683.99,218.39,149.95,529.61,296.62,105.55,24.83,1191.62,9.57,369.87,552.09,699.01,285.17,620.68,589.96,602.6,16498.42
2008-11-01,321.65,379.91,449.04,109.74,1205.89,3052.64,1248.25,271.92,259.51,693.3,597.62,489.57,150.58,143.21,316.35,288.65,70.41,25.58,811.56,8.53,357.14,382.56,443.78,365.85,607.47,629.9,1659.37,15339.98
2008-12-01,582.53,1481.13,447.87,197.24,1151.38,3853.03,1852.15,262.09,281.16,473.18,580.93,671.25,110.13,86.57,2075.9,335.03,75.1,38.65,707.99,8.1,472.33,887.3,302.71,400.89,511.48,1870.99,733.46,20450.57
2009-01-01,543.16,431.94,325.74,85.88,1042.56,2612.3,1105.64,300.75,211.63,184.79,445.09,428.17,92.32,57.65,256.63,249.95,51.45,54.43,506.36,10.68,281.58,294.55,176.9,278.9,420.83,410.5,722.27,11582.65
2009-02-01,502.04,322.84,314.61,148.6,941.25,2939.91,1317.8,238.99,266.03,176.6,534.63,489.86,72.12,47.49,705.37,263.76,32.2,22.88,397.1,2.76,524.64,351.71,173.98,414.88,388.02,550.26,479.92,12620.25
2009-03-01,2740.43,923.44,783.52,148.98,1894.51,5273.61,2504.87,541.84,325.65,531.38,714.79,686.14,83.62,89.5,839.61,375.41,36.66,60.98,528.15,4.01,657.71,803.57,171.86,1446.95,355.58,3162.53,1133.8,26819.1
2009-04-01,482.72,285.17,335.74,84.99,1030.24,3252.14,1537.57,413.52,179.68,448.21,438.11,527.14,101.04,73.29,477.92,256.53,53,61.83,515.36,14.28,431.33,409.36,236.54,390.06,277.31,300.17,380.3,12993.55
2009-05-01,336.54,1757.38,382.62,65.24,838.85,2761.76,1092.35,211.85,228.3,392.27,349.21,408.68,105.17,63.04,265.22,265.64,67.63,72.31,386.09,16.61,398.21,540.55,249.29,432.9,349.01,300.53,143.3,12480.55
2009-06-01,934.88,646.86,482.77,87.17,1093.69,3384.75,1649.29,266.64,277.5,543.22,398.93,523.16,139.74,108.22,1247.73,376.66,94.37,53.12,463.77,11.5,398.45,591,291.78,516.91,435.37,386.24,354.36,15758.08
2009-07-01,335.3,606.6,312.45,135.38,1028.73,2623.44,1238.38,257.03,259.06,952.58,407.01,455.19,148.25,102.2,1058.09,350,84.92,81.43,662.54,7.46,462.85,509.98,279.66,317.25,485.21,704.93,299.22,14165.14
2009-08-01,533.01,844.55,284.7,193.84,1135.01,2698.11,1265,262.2,270.69,841.05,475,470.77,147.42,63.97,389.67,255.89,93.56,59.1,593.85,7.65,485.95,345.32,263.89,177.71,545.26,389.72,837.31,13930.2
2009-09-01,1003.59,874.45,400.7,165.5,1665.59,4349.53,1885.75,381.48,308.07,995.19,569.36,865.8,170.63,134.51,742.04,339.36,134.29,103.65,849.57,15.96,652.15,791.56,351.31,500.3,609.4,1430.58,640.25,20930.57
2009-10-01,340.88,867.71,315.61,109.02,1188.28,2404.15,1248.7,323.05,231.14,716.69,460.52,511.53,203.38,91.19,922.89,239.5,117.38,79.44,766.61,13.5,437.09,541.18,358.25,269.22,610.74,543.12,517.84,14428.61
2009-11-01,311.62,250.92,386.78,55.86,1160.09,2524.36,1223.62,398.07,291.7,971.49,496.77,416.05,197.81,106.42,892.03,273.32,114.45,93.8,990.66,7.94,382.61,419.86,400.05,313.9,587.4,362.04,690.69,14320.31
2009-12-01,592.07,717.7,378.63,90.37,1319.89,3648.89,1728.51,428.68,359.69,1460.7,720.88,552.4,196.52,159.14,2947.56,303.4,151.92,86.11,831.06,13.65,419.15,663.44,481.25,354.3,508.77,599.2,1101.53,20815.41
2010-01-01,367.86,466.3,469.78,46.9,999.22,2498.43,1228.16,305.49,293.59,1370.66,481.75,519.25,258.17,234.77,290.46,270.56,143.84,123.89,962.07,13.15,362.74,417.82,420.26,209.23,556.35,287.38,381.89,13979.97
2010-02-01,691.56,700.6,557.48,90.56,1408,2620.83,1422,425.6,315.68,1308.47,556.55,565.05,301.27,143.12,304.68,267.32,130.36,102.45,934.11,11.71,508.3,536.64,502.33,152.13,666.86,758.19,462.26,16444.11
2010-03-01,1615.07,2015.66,976.93,279.42,1604.73,4847.67,3248.65,567.45,465.73,1406.3,989.35,989.44,310.41,190.09,1376.69,379.81,177.27,128.14,1140.36,20.39,792.61,1095.73,610.35,942.18,644.96,2336.65,1401.18,30553.22
2010-04-01,497.43,369.33,372.19,50.14,1341.54,3038.33,1685.43,507.8,302.76,1219.52,569.35,684.74,402.53,127.16,303.5,241.69,179.51,170.79,1269.04,14.06,490.92,564.8,590.83,465.23,784.26,402.38,438.34,17083.6
2010-05-01,318.45,306.29,375.27,115.67,1039.05,2635.27,1003.21,385.76,305.34,1188,420.57,499.42,377.03,165.75,256.4,279.39,165.65,173.87,1282.99,11.19,420.88,448.6,651.62,433.96,739.24,335.48,607.84,14942.19
2010-06-01,690.52,955.39,529.4,57.75,1297.56,3450.64,1516.52,446.19,412.6,1640.73,648.13,673.49,314.31,245,439.21,410.7,203.53,139.88,1351.43,15.3,455.76,636.43,679.01,706.97,778.66,719.98,910.61,20325.7
2010-07-01,558.56,541.85,443.12,78.74,1367.36,2680.85,1166.48,436.32,370.46,1357.56,603.28,602.26,293.25,558.34,435.58,414.04,197.61,148.18,1418.06,13.05,483.38,529.18,680.83,233.38,733.35,403.75,869.16,17617.98
2010-08-01,657.81,2029.71,449.44,98.08,1269.44,2661.33,1214.08,361.63,310.67,1357.39,627.97,638.27,236.14,143.68,1084.88,330.11,167.93,178.1,1221.71,10,487.59,470.47,679.65,295.87,735.72,460.44,1239.9,19418.01
2010-09-01,743.68,823.08,530.54,120.08,1857.03,4734,1688.38,398.02,345.44,1605.62,743.71,825.37,277.68,232.63,1106.56,334.39,159.14,152,1421.08,10.14,575.49,645.64,739.98,457.94,660.52,1671.28,1622.59,24482.01
2010-10-01,380.87,1192.49,485.54,109.96,1226.54,2623.35,1246.71,393.28,306.05,1547.79,674.87,599.06,268.7,162.65,457.67,261.26,150.61,103.7,1380.5,21.09,350.39,363.13,666.6,414.04,639.92,697.7,1104.75,17829.22
2010-11-01,485.04,421.59,479.59,113.69,1197.68,2711.34,1215.48,385.23,278.13,1374.42,680.27,653.44,257.21,194.33,516.54,293.16,166.28,140.6,1348.21,29.16,384.82,648.11,756.15,295.4,651.93,396.68,659.84,16734.32
2010-12-01,2629.2,852.45,515.93,178.36,1624.19,3503.55,1339.5,447.54,365.86,1560.54,673.07,760.36,312.39,209.53,502.24,348.25,190.5,161.99,1613.29,11.25,372.29,652.65,781.13,258.92,696.93,561.97,1650.22,22774.1
2011-01-01,289.22,1158.79,681.81,69.51,1041.05,2459.53,1470.57,432.21,328.98,1465.47,614.5,581.73,323.44,220.95,1245.58,279.54,175.25,128.81,1159.47,14.64,348.52,378.15,818.61,484.83,749.93,423.99,1082.99,18428.07
2011-02-01,1511.54,1329.5,634.8,130.23,1596.52,2877.07,1651.69,448.81,417.3,1252.22,644.89,602.5,354.82,196.22,1002.96,322.48,175.82,105.25,1755.77,14.1,457.09,431.18,865.52,423.57,805.01,991.56,976.7,21975.12
2011-03-01,853.06,1162.22,793.16,125.03,1851.07,5532.17,2583.6,620.74,451.55,1922.42,952.52,942.74,358.02,371.61,2016.69,392.11,157.77,163.59,1660.35,9.18,620.07,733.31,964.64,1221.66,724.6,3579.25,1272.19,32035.32
2011-04-01,275.54,608.47,332.55,51.5,1310.94,3032.04,1655.24,495.62,417.83,1290.77,629.24,675.89,394.48,208.55,448.3,271.57,163.05,146.78,1590.46,12.94,498.51,484.46,886.32,278.66,552.32,311.25,688.02,17711.3
2011-05-01,298.48,397.53,448.4,208.15,1819.16,2523.44,1167.14,582.51,470.48,1386.96,585.18,630.42,442.09,237.71,294.68,290.1,150.78,145.28,1638.28,10.31,454.95,473.43,901.34,230.94,583.9,309.84,459.44,17140.92
2011-06-01,680.86,1195.02,626.72,234.38,1934.17,3601.85,1653.87,456.72,474.91,1500.15,759.95,795.37,398.06,272.8,661.49,412.23,196.54,116.79,1743.99,11.44,483.79,588.51,1009.36,550.5,730.52,690.66,651.49,22432.14
2011-07-01,300.07,661.24,558.25,73.58,1186.5,2563.52,1190.45,438.75,294.89,763.81,772.66,596.7,333.12,167.14,499.99,377.93,164.21,95.51,1661.6,9.6,508.6,478.55,1004.86,451.24,762.38,443.33,222.36,16580.84
2011-08-01,397.06,2109.55,552.15,83.91,1101.71,2778.18,1287.99,485.89,408.69,1198.77,666.19,635.17,274.37,194.39,631.07,310.42,190.6,80.71,1542.15,23.45,521.45,610.51,862.11,207.82,719.04,483.65,413.25,18770.25
2011-09-01,708.63,1657.71,639.03,283.24,1842.59,4613.81,2019.73,417.14,339.68,1040.5,727.78,870.95,226.53,342.06,1357.38,337.79,143.51,91.84,1502.26,11.93,573.87,644.58,954.07,476.73,964.6,1412.86,443.15,24643.95
2011-10-01,553.1,323.63,546.19,136.71,1178.39,2406.67,1265.55,346.5,333.71,824.55,611.91,606.93,279.17,235.82,595.34,236.41,136.35,82.14,1801.55,13.42,327.94,475.71,854.09,154.53,858.94,569.8,866.95,16622
2011-11-01,415,561.14,532.79,83.28,1381.92,2568.59,1225.73,338.56,287.7,1079.89,725.29,630.08,265.36,203.95,485.06,278.56,204.46,79.18,1633.93,10.66,480.81,929.35,929.65,264.79,826.27,278.61,1877.53,18578.14
2011-12-01,635.17,1781.11,571.42,142.19,1457.7,3539.09,1379.16,432.08,391.08,1585.45,759.15,741.91,283.66,276.07,1035.8,316.53,212.66,77.98,1830.61,15.53,417.14,657.13,962.32,218.65,914.2,1049.45,1272.61,22955.85
2012-01-01,262.37,654,530.04,146.37,998.18,2368.54,1217.18,474.65,339.5,868.07,663.45,597.94,331.59,255.28,4664.28,242.37,205.86,89.73,1640.74,12.14,366.89,496.83,789.19,150.29,836.35,565.22,470.36,20237.41
2012-02-01,566.23,1621.48,896.27,218.68,1184.82,2682.65,1536.19,549.42,370.79,838.1,643.33,673.43,315.95,275.96,815.61,294.18,176.13,70.58,1500.4,12.92,450.03,483.7,842.44,205.82,916.56,897.77,890.06,19929.5
2012-03-01,1614.18,1125.9,744.19,308.25,1808.2,5231.32,3099.33,653.57,448.31,1207.53,884.31,1026.96,339.41,306.5,2409.66,420.48,250.25,95.55,1851.14,16.77,792.15,1203.44,940.45,407.01,838.09,5440.36,1160.84,34624.15
2012-04-01,275.3,316.16,502.79,81.04,2219.28,3269.53,1904.3,430.5,342.22,993.47,564.84,649.05,332.36,199.77,507.58,253.99,182.54,102.97,1627.22,10.43,562.95,534.25,857.34,339.94,865.28,594.11,523.98,19043.19
2012-05-01,159.87,827.95,428.21,61.85,916.55,2581.63,1364.77,337.68,345.04,903.2,587.71,573.88,314.57,202.47,261.7,328.29,182.78,92.18,1531.72,9.58,460.49,450.93,904.18,238,974.75,375.67,557.58,15973.23
2012-06-01,389.17,997.56,497.45,118.04,1481.23,3628.99,2083.7,363.14,399.52,894.8,600.21,751.1,316.44,245.61,588.52,429.33,146.42,69.83,1442.81,10.34,503.31,590.53,911.02,288.25,781.61,761.6,695.56,19986.09
2012-07-01,279.99,673.04,441.17,126.75,1157.58,2462.13,1563.77,314.43,351.65,747.43,610.33,616.4,311.78,263.2,403.38,420.72,144.74,91.9,1390.72,13.02,524.07,447,838.71,1164.63,873.17,477.92,296.56,17006.19
2012-08-01,212.87,643.98,443.98,64.75,1022.09,2837.22,1368.65,307.07,297.68,611.52,555.28,676.41,193.15,200.96,268.83,309.79,157.18,97.19,1346.63,18.58,537.22,452.17,852.1,179.35,743.49,433.09,438.98,15270.21
2012-09-01,706.9,1278.74,460.62,277.46,1805.5,4511.82,1808.44,345.57,326.88,954.04,657.38,782.77,209.1,247.49,460.17,314.13,160.11,92.86,1106.69,16.41,556.09,663.04,906.88,914.99,803.26,1923.27,438.75,22729.36
2012-10-01,214.83,460.73,433.64,65.48,1147.88,2472.67,1365.1,275.31,269.74,706.88,592.51,733.49,253.28,215.75,894,249.29,129.55,125.68,1257.52,10.11,400.81,499.5,802.78,216.64,732.92,536.82,419.28,15482.19
2012-11-01,271.91,1365.4,461.83,85.96,1207.77,2689.48,1240.03,323.49,315.52,722.63,638.67,609.17,248.57,230.39,688.62,297.86,151.43,115.53,1331.17,9.05,516.13,448.92,745.78,632.73,740.4,416.45,474.3,16979.19
2012-12-01,502.41,1320.1,548.44,118.08,1624.28,3632.47,1432.56,363.4,355.47,953.01,641.49,694.58,215.29,236.4,813.47,323.36,151.45,148.93,1315.34,10.87,387.13,426.5,691.07,354.14,784.74,912.27,1118.75,20076
2013-01-01,140.61,299.47,505.03,171.22,922.4,2171.93,1056.29,342.74,339.4,682.33,567.89,551.58,247.36,188.19,1550.22,245.44,159.91,173.47,1132.85,12.77,394.85,520.87,577.57,153.06,714.3,542.11,847.5,15211.36
2013-02-01,269.81,613.19,490.57,160.4,1168.35,2370.09,1365.33,497.89,362.28,624.47,677.13,620.83,298.5,185.5,613.72,312.98,160.3,221.27,1306.97,11.63,523.32,694.05,645.87,227.27,813.62,790.34,957.4,16983.08
2013-03-01,2002.71,1926.36,820.49,270.37,2299.5,5399.84,3519.22,651.39,417.67,1636.11,946.65,1249.09,296.71,219.48,2922.22,459.47,201.17,202.18,1717.06,14.95,747.83,1179.61,684.76,902.94,892.3,4225.58,2791.98,38597.64
2013-04-01,320.94,284.32,528.82,79,1151.34,3588.97,1480.35,463.23,314.9,1397.13,603.7,659.88,371.34,198.64,544.29,215.78,163.56,150.75,1588.33,17.66,552.78,504.22,652.41,389.33,705.47,431.7,864.35,18223.19
2013-05-01,228.86,1377.03,461.11,70.97,1025.22,3675.23,1306.69,353.82,359.09,850.87,720.85,642.87,279.82,196.77,594.54,320.76,194.26,176.01,1160.72,12.1,558.64,475.31,803.08,740.98,732.01,446.97,1092.33,18856.91
2013-06-01,422.65,1005.74,503.31,80.35,1332.27,4160.98,1519.95,409.18,364.02,909.95,705.45,716.78,335.73,242.41,965.33,412.79,174.25,199.34,1413.99,10.38,567.81,481.96,770.66,346.51,821.69,893.21,751.78,20518.47
2013-07-01,389.05,569.46,513.27,83.01,1308.71,2923.34,1335.24,403.61,327.51,1019.37,715.68,719.68,287.23,213.08,404.26,453.04,164.98,229.27,1520.89,21.35,622.38,457.94,738.04,379.61,834.26,448.77,819.7,17902.73
2013-08-01,201.05,1382.16,462.06,114.08,1644.79,3308.76,1302.84,390.22,336.07,1089.53,688.05,616.21,277.85,212.42,746.71,336.16,161.96,155.93,1344.64,10.1,704.43,525.78,751.49,429.99,777,517.07,738.12,19225.47
2013-09-01,657.28,2062.67,579.73,187.53,2109.82,4785.26,1904.28,417.17,456.4,1360.25,789.42,871.49,267.53,298.35,2050.52,330.77,202.69,157.44,1407.32,8.87,627.84,835.97,813.99,604,821.87,2901.45,2117.32,29627.23
2013-10-01,506.9,330.05,609.28,55.51,1428.02,2971.86,1396.68,394.04,327.57,1362.69,816.48,739.94,295.24,233.32,478.35,298.22,154.22,117,1618.78,11.59,460.41,656.57,830.01,494.8,854.02,753.92,1099.39,19294.86
2013-11-01,250.1,609.18,533.02,60.39,1720.37,2889.9,1363.67,375.31,302.56,800.92,675.52,589.77,321.22,220.81,757.94,336.23,151.48,127.78,1412.06,22.33,568.16,489.28,872.76,495.3,818.43,658.18,1063.13,18485.8
2013-12-01,554.49,1094.07,507.03,208.1,2239.66,3767.61,1597.02,571.78,438.8,1313.68,872.36,805.04,335.01,210.27,601.1,387.73,150.83,99.11,1528.07,20.1,522.17,503.37,874.51,552.91,824.7,873.48,1661.7,23114.7
2014-01-01,378.51,939.83,580.77,51.09,1208.9,2274.15,1266.2,442.06,361.17,1846.28,653.7,610.84,343.36,199.06,723.35,318.52,207.24,109.64,1398.64,13.99,528.77,433.94,861.08,441.33,841.17,579.65,1985.2,19598.44
2014-02-01,516.92,555.75,661.13,63.21,1223.35,2755.42,1324.98,482.03,365.34,984.49,674,668.98,310.98,203.48,1444.48,376.07,152.24,83.66,1440.57,11.87,683.62,562.61,816.54,340.87,954.38,952.48,1764.66,20374.11
2014-03-01,1635.51,2118.88,1100.06,237.57,2841.72,5983.71,2438.83,758.14,541.11,1956.34,976.02,967.35,368.13,246.43,2456.7,412.3,204.35,136.71,1705.3,25.32,771.27,799.28,960.25,739.43,947.85,4855.57,2296.13,38480.26
