"Date","総数","アジア計","韓国","中国","台湾","香港","タイ","シンガポール","マレーシア","インドネシア","フィリピン","ベトナム","インド","イスラエル","トルコ","ヨーロッパ計","英国","フランス","ドイツ","イタリア","ロシア","スペイン","スウェーデン","オランダ","スイス","ベルギー","フィンランド","ポーランド","デンマーク","ノルウェー","オーストリア","ポルトガル","アイルランド","アフリカ計","北アメリカ計","米国","カナダ","メキシコ","南アメリカ計","ブラジル","オセアニア計","豪州","ニュージーランド","無国籍・その他","マカオ","モンゴル","その他アジア","その他ヨーロッパ","その他北アメリカ","その他南アメリカ","その他オセアニア"
2006-09-01,573627,402789,156451,75161,99364,22567,8750,6883,5857,3996,7600,2488,5402,1063,705,68509,17223,9421,10035,4704,5311,2654,2182,2656,2181,1149,1202,790,1030,827,1195,738,1075,2128,73430,59990,10819,2041,3149,1551,23541,19812,3444,81,,,,,,,
2006-10-01,699605,483437,187601,76381,122855,27166,13812,10453,9338,9991,8387,2747,5739,1714,1176,89670,23226,12631,13519,5410,5935,3133,3296,3639,2851,1584,1975,848,1520,1054,1627,888,1495,2334,100344,82097,14899,2168,4318,2301,19405,16424,2658,97,,,,,,,
2006-11-01,595069,420545,177298,62997,95999,24809,10546,12938,8472,5307,7197,2090,5462,987,809,71781,18655,9551,11146,4163,5881,2093,2338,2948,2068,1249,1326,1177,1284,800,1475,686,1088,1782,82931,65216,15043,2102,2640,1224,15324,12900,2205,66,,,,,,,
2006-12-01,585817,427019,184678,49883,85787,37000,11116,22551,10867,6589,6384,1689,4403,669,467,55197,16049,8212,7065,3500,4075,1766,1819,2308,1481,855,1101,523,834,527,766,1143,863,1416,74966,58379,14362,1881,3043,2083,24100,20869,3048,76,,,,,,,
2007-01-01,617885,459533,240350,63093,87853,23230,7248,5071,6254,3489,7586,2480,5800,743,607,57565,17120,8527,7710,2975,4470,1434,2085,2386,1292,892,1022,508,1208,621,799,585,1162,1907,70078,54148,13834,1631,2279,1191,26472,23075,3119,51,,,,,,,
2007-02-01,631278,490552,202365,75246,126734,41251,8175,8807,6638,3051,5693,1847,4539,610,594,57699,15941,8762,8574,2612,4256,1263,1788,2208,1438,989,1628,489,1038,1233,1043,794,921,1283,61929,48052,12196,1271,1811,931,17909,15640,2056,95,,,,,,,
2007-03-01,684654,482925,188721,84323,108855,30866,20531,10519,9750,4493,7721,3385,5342,1453,644,81675,21935,11566,12787,4754,5057,2830,3111,2848,2276,1288,2062,697,1599,1209,1359,933,1291,2210,95289,75991,15964,2770,2909,1379,19567,16824,2478,79,,,,,,,
2007-04-01,714014,514167,190558,79778,124574,38039,27133,11546,10781,4562,11284,2467,5654,1181,619,81318,20866,15199,10749,4736,5489,2436,2843,2897,2760,1401,1835,791,1272,759,1204,840,1211,1628,92386,74772,14683,2395,3230,1795,21184,17683,3217,101,,,,,,,
2007-05-01,664489,485844,211355,70212,112637,27499,13296,12235,8591,4205,9267,2224,6877,1079,596,68303,16425,11831,10030,4260,4815,2264,2251,2718,1927,1202,1657,950,970,683,923,814,957,2028,87553,72359,12213,2390,3127,1490,17582,14748,2566,52,,,,,,,
2007-06-01,631874,457946,190330,61800,115364,34394,8772,13843,5845,5312,6922,2764,5430,721,570,58368,14158,9304,7957,4131,4660,1887,2080,2190,1366,953,1201,589,914,611,749,1793,997,1548,90821,77898,10151,2313,2714,1447,20404,17483,2610,73,,,,,,,
