"Date","消費支出(円,原数値)","エンゲル係数(%)","世帯人員(人)"
2010-05-01,280714,24.6,3.09
2010-06-01,276494,23.5,3.09
2010-07-01,285274,23.5,3.09
2010-08-01,293361,23.8,3.09
2010-09-01,275367,23.9,3.09
2010-10-01,287433,23.9,3.09
2010-11-01,284212,23.1,3.08
2010-12-01,327006,25.1,3.08
2011-01-01,289191,21.7,3.08
2011-02-01,260793,23.5,3.09
2011-03-01,291900,22.6,3.09
2011-04-01,292559,21.9,3.09
2011-05-01,276159,24.3,3.09
2011-06-01,265807,24.3,3.09
2011-07-01,280046,24.2,3.08
2011-08-01,282008,24.3,3.08
2011-09-01,270010,24,3.08
2011-10-01,285605,23.9,3.08
2011-11-01,273428,23.8,3.07
2011-12-01,328080,25.1,3.07
2012-01-01,283124,22.5,3.07
2012-02-01,267855,23.6,3.07
2012-03-01,303841,22.4,3.08
2012-04-01,301948,21.8,3.07
2012-05-01,287911,23.5,3.07
2012-06-01,269810,24.1,3.07
2012-07-01,283295,23.4,3.07
2012-08-01,286036,23.9,3.06
2012-09-01,266705,24.4,3.06
2012-10-01,284238,23.6,3.06
2012-11-01,273772,23.5,3.06
2012-12-01,325492,25.4,3.06
2013-01-01,288934,22,3.06
2013-02-01,268099,23,3.06
2013-03-01,316166,21.9,3.06
2013-04-01,304382,21.8,3.06
2013-05-01,282366,24.5,3.05
2013-06-01,269418,25,3.05
2013-07-01,286098,23.9,3.05
2013-08-01,284646,24.7,3.05
2013-09-01,280692,23.9,3.05
2013-10-01,290676,23.4,3.05
2013-11-01,279546,23.8,3.04
2013-12-01,334433,25.5,3.05
2014-01-01,297070,22,3.04
2014-02-01,266610,23.6,3.04
2014-03-01,345443,21.3,3.04
2014-04-01,302141,21.5,3.04
2014-05-01,271411,26.1,3.04
2014-06-01,272791,25,3.03
2014-07-01,280293,24.4,3.03
2014-08-01,282124,25.6,3.03
2014-09-01,275226,24.9,3.03
2014-10-01,288579,24.1,3.03
2014-11-01,280271,24.6,3.03
2014-12-01,332363,25.9,3.03
2015-01-01,289847,22.7,3.02
2015-02-01,265632,24.5,3.03
2015-03-01,317579,22.7,3.02
2015-04-01,300480,22.9,3.02
2015-05-01,286433,25.7,3.02
2015-06-01,268652,25.8,3.02
2015-07-01,280471,25.5,3.02
2015-08-01,291156,25.6,3.01
2015-09-01,274309,25.7,3.01
2015-10-01,282401,25.7,3.01
2015-11-01,273268,25.7,3.01
2015-12-01,318254,27.8,3.01
2016-01-01,280973,24.5,3
2016-02-01,269774,25.6,3
2016-03-01,300889,24.5,3
2016-04-01,298520,23.7,3
2016-05-01,281827,26.6,2.99
2016-06-01,261452,26.8,2.99
2016-07-01,278067,26.2,2.99
2016-08-01,276338,26.8,2.99
2016-09-01,267119,26,2.99
2016-10-01,281961,26.1,2.99
2016-11-01,270848,25.9,2.98
2016-12-01,318488,27.5,2.98
2017-01-01,279249,24.5,2.98
2017-02-01,260644,25.2,2.98
2017-03-01,297942,24.4,2.98
2017-04-01,295929,24,2.97
