CO2 emissions from fuel combustion,million tonnes of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
OECD Asia Oceania,974.223534,1021.658983,1155.74936,1163.045784,1139.554412,1179.005214,1231.37835,1230.615782,1271.453006,1237.855431,1220.846862,1203.616815,1206.546195,1286.924425,1284.901036,1294.085764,1319.361319,1420.435824,1474.224868,1586.593651,1615.823645,1654.432236,1680.237689,1762.999609,1819.016132,1870.014753,1896.246003,1829.147783,1911.714889,1991.461771,2004.8637,2043.803277,2060.277517,2092.233965,2099.593479,2099.993341,2168.002082,2097.152439,2052.207253,2150.942813,2223.83943,2276.127499,2283.529637,2226.15295
Austria,48.597098,50.39573,53.795234,51.121934,49.476613,53.93646,51.31547,53.654927,55.90346,54.344635,51.546404,49.770238,49.392929,50.963782,52.642425,51.630678,52.37594,50.328266,50.383588,56.279591,60.449797,55.58996,55.796691,56.222633,59.589549,63.308629,62.513057,63.131234,61.49366,61.870885,66.239016,67.548845,72.855059,73.961647,74.553322,71.87628,69.480097,69.632,63.682416,68.674281,66.782082,63.902106,64.225962,60.78124
Belgium,117.921926,127.906195,133.016621,130.865178,115.50497,124.593669,123.365048,128.708865,132.27327,125.496471,115.034306,108.661049,99.901351,101.844332,100.953073,101.236867,101.300813,102.993904,104.338897,106.247122,110.922593,109.140142,107.125607,111.946214,111.634914,116.805773,113.678835,116.233273,112.557239,113.954965,114.659323,107.501454,112.328013,111.060542,107.276318,104.127717,99.736137,103.75685,96.529233,105.34927,93.616772,91.979891,93.398437,87.363581
Czech Republic,153.573602,152.514368,149.443417,148.57031,155.064087,159.915587,169.429028,165.443787,175.008702,168.100988,168.730175,171.40068,172.615137,175.295527,175.404391,175.400949,176.440255,172.992065,165.438598,150.320911,137.017424,131.779378,128.897456,122.600998,123.278271,124.727127,122.811415,116.9429,110.068171,121.332822,121.187371,117.215868,121.377454,121.9031,118.458783,118.939039,121.230573,115.931902,109.093203,111.441501,110.421045,105.668139,101.170618,96.552869
Denmark,55.402358,57.384064,56.233663,50.000012,52.628226,58.291291,59.916925,59.534082,63.061149,63.046183,52.859025,55.037149,51.67942,53.274973,61.020645,61.585607,59.804515,55.980931,50.16712,50.97446,61.194431,55.311511,57.693093,61.606878,58.37549,71.627318,61.8767,57.956827,54.770958,50.753747,52.33939,52.051377,57.44769,51.788017,48.44157,56.366027,51.605093,48.631256,46.897145,47.222754,42.02525,36.832693,38.621057,34.51313
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.974561,32.3281,23.713668,18.17213,17.632574,15.958279,16.919285,16.502619,15.923887,14.900928,14.51066,14.971222,14.566121,16.563549,16.617623,16.817026,15.530007,19.335676,17.757354,14.757965,18.65203,17.709191,16.436832,18.862848,17.515452
Finland,39.840291,43.594364,47.906848,44.193042,44.172767,50.385191,50.010929,54.619807,54.101243,54.847264,45.529531,44.069753,42.590348,43.944797,48.270348,48.435128,52.172222,51.457077,51.486988,53.816469,54.546376,51.789488,53.082913,59.545055,55.696725,62.17329,60.153914,56.797065,56.010852,54.553821,60.514297,62.869124,71.138826,67.039334,54.797937,66.29886,64.311651,55.896428,53.498627,61.853582,54.443435,48.762764,49.361228,45.252175
France,423.210644,438.602493,474.189074,456.372458,422.945178,462.911774,448.695671,467.738999,474.395811,455.060384,407.028457,389.489829,373.82281,361.392624,351.696211,341.52776,335.035335,333.454498,349.160176,345.49721,370.19002,359.203995,340.821695,335.592987,343.540501,359.413348,350.917138,372.37625,366.494743,364.547863,368.078539,362.396191,368.153357,368.949713,370.416085,360.934737,352.857746,349.144583,333.409703,340.078108,310.454461,311.700517,317.131434,285.682344
Germany,978.194112,1001.621661,1052.225151,1025.951516,973.448218,1029.340116,1013.563122,1051.894592,1099.240043,1048.372069,1016.135072,974.820174,976.387681,996.005951,1004.57926,1007.258019,997.423503,989.913883,966.109617,940.267854,917.839288,877.765118,871.955111,859.221184,856.690233,887.150463,855.00225,847.009221,815.028272,812.400147,831.573533,818.010907,820.835958,804.776554,786.757595,799.252942,766.824467,775.265612,720.306752,758.872876,731.313259,744.777345,763.861863,723.269628
Greece,25.064637,28.935668,33.72301,32.258671,34.102207,38.831409,40.202564,42.662153,44.894972,45.186224,44.668562,45.960156,49.151301,50.845212,54.509597,54.381068,59.84783,63.848396,68.800949,69.904374,70.145454,72.361912,72.264924,73.866239,76.531579,76.425049,77.399077,80.790682,81.075914,87.978044,90.09725,90.336836,93.902743,93.53754,95.212663,94.153502,97.955706,94.403375,90.211531,83.418916,82.167462,77.03925,68.891657,65.880311
Hungary,60.274548,62.116734,66.425309,68.775748,70.188778,73.357603,76.940839,84.832437,83.40495,82.633126,81.730566,82.076984,78.457217,80.498547,79.773728,78.275105,79.129354,74.468755,72.985611,65.684285,63.464452,57.156235,57.372505,56.613065,56.25588,57.353783,55.827841,56.141758,56.69714,53.289238,54.931883,54.181191,56.782242,55.065583,54.721463,54.160132,52.521785,51.752175,46.865293,47.568046,45.746518,42.181388,40.578881,40.282159
Iceland,1.403656,1.49751,1.665647,1.660928,1.613554,1.589877,1.633763,1.757288,1.826361,1.746425,1.735745,1.563085,1.594741,1.694415,1.627519,1.700978,1.743228,1.827026,1.823786,1.895371,1.865491,1.899077,1.943983,2.053465,1.963682,2.225253,2.107852,2.099553,2.054388,2.160452,2.104996,2.204949,2.193731,2.268934,2.234759,2.272007,2.319212,2.121192,2.079309,1.948648,1.868228,1.859398,2.028085,2.043861
Ireland,21.636074,21.392579,20.822976,22.593917,21.141996,21.869132,23.480092,23.197876,27.044943,25.887867,25.69319,25.268326,25.116628,24.897847,26.446201,27.457482,29.0976,28.097174,29.234028,30.105363,30.722928,30.827123,30.986696,32.043078,32.628514,33.983862,34.990737,37.595422,39.10453,40.833778,42.959074,42.076438,41.968144,42.378419,44.239178,45.209615,44.447279,44.039347,39.479707,39.326907,35.218921,35.686389,34.408801,33.863676
Italy,289.300836,306.427161,327.96215,331.308292,316.940816,341.854906,332.469057,338.147977,353.798054,355.223221,345.826913,341.027276,336.268607,341.867225,341.932085,343.173531,362.594733,366.699234,384.621687,389.288682,388.258677,385.72124,382.735928,378.375609,400.978436,398.038908,401.162359,411.706466,417.603569,420.310182,420.059361,427.057766,445.12905,454.876755,456.309171,449.062284,441.342066,428.739281,383.61261,391.888733,384.005381,366.580321,337.435652,319.713284
Luxembourg,16.450787,16.097663,17.42672,15.994239,12.726116,13.628459,12.944202,14.149525,13.25159,12.441144,10.528775,9.87327,9.233174,10.101818,10.328004,10.010628,9.418311,9.865299,10.632441,10.737778,11.230501,10.907734,11.205499,10.316881,8.221429,8.304623,7.796971,7.119525,7.452607,8.056209,8.687506,9.363879,9.84409,11.229859,11.478225,11.286987,10.694396,10.622025,10.065126,10.645934,10.509972,10.316374,9.774325,9.24589
Netherlands,127.628138,142.44408,148.387847,140.089437,131.90807,140.672207,138.472812,142.96157,153.098103,145.364046,143.215366,134.874672,130.431165,135.263331,138.349993,141.413734,145.321863,143.289623,146.358516,144.850408,152.137699,150.972063,156.146497,156.260613,163.529075,173.106568,165.771339,166.140877,160.775227,161.486448,166.450838,166.756308,169.770268,171.503552,167.013494,162.714383,163.504968,164.286716,159.52047,169.957859,158.035077,156.044245,155.717355,148.339209
Norway,22.99416,23.552003,23.361461,22.692512,23.596917,25.335818,26.575373,27.076129,28.79024,27.22775,25.461785,24.319357,24.403163,25.054654,26.408769,29.706984,27.573827,27.725517,27.085846,27.459766,25.947217,28.854458,30.522754,32.106901,31.399859,32.35623,34.107711,35.746501,37.210165,31.870256,32.880507,32.495192,35.060838,35.58412,34.49112,35.451861,36.027491,35.295477,35.672812,37.576803,36.186862,35.424099,35.103209,35.310537
Poland,287.372979,299.590842,312.803896,325.225287,338.914929,362.494251,375.056747,400.16528,406.129918,416.014134,385.805872,391.846691,394.146121,409.743157,422.44302,428.226453,443.725,432.758517,413.564955,344.831329,346.291989,337.911213,338.952689,333.186588,333.411581,349.176721,337.960842,312.153241,302.872775,289.655481,288.706319,282.674709,293.195493,296.845118,296.440726,308.323176,306.541918,301.719046,291.593002,307.576773,303.224742,296.588531,292.080589,279.043561
Portugal,14.385286,14.544468,16.18567,16.481604,18.024755,19.340764,18.745089,19.748812,21.881214,23.743915,24.867366,25.359887,26.070425,25.031096,23.91665,27.242889,27.749583,28.852837,37.126983,37.881656,39.485728,43.625428,42.586379,43.999896,47.219224,45.344397,47.359792,52.050669,58.367207,57.838521,57.742944,61.680563,56.895164,58.11115,61.371439,56.432931,54.619143,52.820227,53.064529,47.549468,47.043222,45.660027,43.732101,42.810137
Slovak Republic,38.874162,39.303738,40.98293,41.850423,43.164216,43.697969,45.424328,50.662119,51.555374,55.799103,54.454388,52.843798,52.726024,54.589429,54.435813,51.705772,53.520699,54.32133,53.669121,54.825764,47.949939,44.797785,43.298142,40.590089,41.218752,41.078377,41.059773,39.58073,38.830591,36.878044,37.362991,36.893961,37.403342,36.206699,37.252618,36.473433,35.6945,35.415089,32.601645,34.561945,32.845992,31.241703,31.775433,29.334236
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.6663423,14.1045339,13.9121601,13.8867524,13.538328,12.746065,12.450278,13.276008,13.230908,14.071437,14.860104,15.291057,15.050492,14.451696,14.057579,14.882301,15.088958,14.973087,15.241833,15.449982,15.806555,15.7601,16.804902,15.116118,15.453781,15.433093,14.865545,14.218353,12.759889
Spain,119.039259,124.95405,139.325556,150.840409,155.780628,172.446834,165.164339,164.185145,174.712515,186.203096,190.198878,184.441449,187.916684,178.711638,173.002662,177.318427,178.099346,181.288017,198.688089,202.600252,210.367588,221.895134,208.129272,216.913678,228.165271,217.943207,235.80774,242.358016,263.81641,278.52684,279.717057,297.159729,302.552289,319.200362,333.633374,324.958992,337.78208,309.68633,276.006825,261.976935,264.795418,260.437367,235.088088,231.989682
Sweden,82.016144,82.141454,83.528076,76.482444,79.008557,85.824657,82.871706,77.55362,80.07356,73.091514,66.174551,60.455747,54.945416,54.021993,58.366362,59.842832,58.009079,55.575033,52.770691,52.061824,53.082501,55.641913,55.39764,57.363632,56.919043,62.404099,56.259117,57.212598,56.108537,51.973794,51.148343,52.726781,53.977733,52.290632,49.086907,46.60998,44.970866,42.939428,40.710958,46.044975,42.420928,39.343726,37.659669,37.417469
Switzerland,38.905762,39.374607,42.971071,38.494062,36.741235,38.568505,38.983043,40.095333,38.640318,39.249747,36.91866,34.931918,39.0616,38.536385,41.760068,41.661555,40.007707,39.861832,39.463943,40.759919,43.433829,43.610809,41.556322,40.500534,41.467146,42.229995,41.156196,42.643265,42.929706,41.940509,43.366816,41.826814,43.171917,43.457469,43.900166,43.478499,41.534873,43.002758,41.699843,43.10482,39.102366,40.521946,41.551523,37.737071
Turkey,41.729836,49.051544,52.750755,55.302658,59.627872,66.673157,72.217599,73.034991,67.56093,71.529688,71.136362,77.579585,83.294166,87.73594,95.390072,103.345897,113.76955,108.7634,120.750795,127.125345,129.374297,134.266692,139.811697,138.352035,151.818966,168.153991,176.250167,176.895598,176.74478,201.242538,182.566503,192.625975,202.850445,207.083864,216.186574,239.517316,265.468137,264.89705,256.671912,265.382191,284.787863,302.668184,284.002665,307.111822
United Kingdom,620.999769,602.101379,634.089908,595.048579,575.916973,581.967178,592.784726,590.96466,623.005154,570.475964,554.34811,541.308716,533.042179,516.036439,543.443596,557.97648,562.518507,561.021806,547.308134,547.714872,560.019016,547.411429,530.504547,523.108741,513.677433,533.679785,511.766096,515.164228,512.520938,521.150635,535.54227,519.876965,532.255527,532.657577,531.151174,532.534781,521.348988,508.017333,459.315192,476.805545,438.476448,462.118872,449.740949,407.836309
OECD Europe,3624.816064,3725.544355,3929.22299,3842.17366,3732.637678,3967.526814,3960.262472,4072.789974,4223.651874,4101.084958,3919.628059,3826.979789,3792.248287,3817.351112,3886.700492,3920.514823,3966.6788,3935.38442,3941.970559,3900.643494,3931.0114,3844.603783,3790.236178,3773.250475,3824.241269,3958.790185,3885.530595,3896.820278,3859.941003,3893.173458,3938.76965,3927.186901,4032.626009,4043.635996,4027.691669,4051.772043,4017.914948,3942.577736,3672.461926,3792.932681,3648.633988,3638.637652,3560.420782,3391.649522
Albania,3.863798,4.447633,3.92474,4.112359,4.339286,4.678238,4.959537,5.621904,6.697591,6.814183,5.847151,6.107939,6.663636,7.217786,6.935072,6.956541,7.237258,7.165906,6.843421,5.674425,3.811804,2.137298,1.976129,2.03337,1.848235,1.863033,1.427356,1.759359,2.921343,3.083028,3.223766,3.74994,3.821931,4.006397,3.82441,3.791827,3.775351,3.707865,3.765137,3.929308,4.140648,3.483727,3.644976,4.121795
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.839449,20.683285,10.653333,4.917597,2.675105,3.367008,2.402797,3.155685,3.282259,2.930789,3.421398,3.457643,2.906577,3.274438,3.464624,4.128755,4.149924,4.796344,5.271915,4.268352,4.047184,4.671547,5.437058,5.242272,5.218717
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.467908,52.043759,42.424192,37.346528,33.266332,32.361656,27.063547,26.264496,26.246177,25.755559,27.295789,25.825702,25.506587,27.823324,27.395787,29.00915,29.387268,26.687737,28.803264,24.51521,23.526125,26.442959,28.887194,29.454247,30.785499
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.81985,96.209522,86.833414,75.352355,64.008653,56.939416,57.812039,58.1909,56.294524,54.079154,52.112065,50.904005,50.777508,51.368426,54.458451,55.006697,57.230986,55.719641,58.435458,55.912583,59.864246,56.925967,57.779262,58.243977,57.427865
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.998395,21.470115,15.931247,13.365979,3.066882,3.282261,4.129998,8.419741,10.651434,10.407414,13.720644,13.503367,14.220733,14.549995,15.189857,15.861284,17.466313,18.419407,20.244555,20.207367,20.485535,23.40357,21.647296,21.512422,21.624662
Bulgaria,63.84176,65.883302,67.739457,68.785236,73.32272,73.203327,75.960539,79.03037,82.261781,85.047591,81.07311,82.722788,81.301384,79.399461,82.225558,83.188393,84.246578,83.178642,82.583401,74.572178,56.612601,54.111969,54.511697,52.09183,52.736231,53.176833,51.298066,49.023183,43.04297,42.188356,45.028445,42.485173,46.732891,45.799525,46.496668,47.645391,50.986107,48.528256,42.402851,44.395508,49.209354,44.451127,39.344914,42.13038
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.31773,14.624846,14.142287,14.81679,13.988091,14.779307,14.653123,16.258507,17.617605,17.382551,16.778002,17.748776,18.849858,20.175603,19.599355,19.910887,19.971146,21.216048,20.160394,19.059974,18.243155,17.946132,16.414535,15.897828,15.14106
Cyprus,1.743835,2.169599,2.274639,1.734806,1.657628,1.938623,2.114516,2.232835,2.427771,2.573552,2.527068,2.570674,2.620273,2.738298,2.764096,3.032788,3.593886,3.648693,3.813038,3.890077,4.44296,4.747148,4.939643,5.143293,5.046684,5.346563,5.46989,5.812596,6.070793,6.302901,6.186807,6.341041,7.015319,6.905102,7.045688,7.111547,7.422936,7.576995,7.5,7.258212,6.998443,6.507541,5.619087,5.762909
FYR of Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.600639,8.393406,8.342069,8.648986,8.360984,8.316183,9.873,8.796108,9.663524,8.890078,8.531715,8.681775,8.138621,8.839792,8.553233,8.903419,8.897011,9.338802,9.132824,8.51769,8.336297,9.164082,8.807528,7.868106,7.432384
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.481418,25.500633,19.864764,15.967855,10.40103,8.134771,6.327736,5.481184,4.908533,4.383614,4.631596,3.381136,2.819207,3.01948,3.204222,4.064714,4.524515,5.452191,4.665874,5.291254,4.993824,5.952713,6.609192,6.685507,7.719252
Gibraltar,0.068505,0.059208,0.05898,0.059024,0.062013,0.06206,0.058964,0.055807,0.077731,0.093506,0.087135,0.096539,0.087072,0.083861,0.090064,0.115414,0.127488,0.142779,0.136348,0.142716,0.202484,0.239803,0.2429,0.287011,0.2807,0.28695,0.29631,0.311921,0.324374,0.339922,0.349282,0.355529,0.361782,0.393016,0.405513,0.42422,0.421006,0.43029,0.470867,0.474021,0.458414,0.467818,0.498978,0.536399
Kazakhstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,237.237482,246.352801,252.386307,216.235561,194.436072,170.516837,148.262307,125.62054,128.264264,115.895146,112.003758,109.235502,119.567148,134.794692,146.406654,156.890761,172.925812,187.190911,230.241705,202.702375,221.087015,234.81244,233.832976,249.235313,223.686003
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.112297,6.483593,6.4457,6.783874,6.853029,6.64897,6.711107,7.040653,7.581417,8.40988,8.709192,8.618245,8.129385,8.309031,7.403247
Kyrgyzstan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.765639,20.425888,13.298038,9.796066,6.365693,4.458602,5.52773,5.398963,5.72015,4.620114,4.450476,3.762237,4.738071,5.260859,5.187438,4.892146,4.877302,5.963325,7.006552,6.522336,6.041078,7.212454,9.565578,8.876345,8.362195
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.772198,17.196509,13.829032,11.738298,10.143988,8.899961,8.9009,8.41847,8.025564,7.408125,6.839469,7.245341,7.232778,7.462358,7.477586,7.578474,8.028435,8.357897,7.935946,7.184188,8.085184,7.336916,6.993375,6.91104,6.723223
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.205192,34.276428,19.221439,15.36742,14.426139,13.430157,13.910566,13.553492,14.29021,11.896169,10.218488,10.866712,10.9277,10.934572,11.559531,12.274408,12.395065,12.531408,12.457954,11.278779,12.189358,11.351023,11.363058,10.729485,10.31242
Malta,0.654838,0.827991,0.794112,0.725612,0.651097,0.740023,0.780727,0.91683,0.891784,0.99188,1.125163,1.292407,0.970178,1.326649,1.157795,1.874258,1.964039,2.137632,2.318241,2.314012,2.209982,2.168414,2.805479,2.506183,2.378026,2.323458,2.468665,2.373598,2.408331,2.128325,2.488096,2.317512,2.606981,2.596964,2.724645,2.594957,2.748114,2.584483,2.47306,2.57025,2.566546,2.699527,2.365134,2.343533
Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.524924,24.594256,19.842638,17.004021,13.806714,11.890109,10.207099,9.307881,8.431788,7.139658,6.53505,6.841868,6.961276,7.517882,7.491245,7.703284,7.513966,7.374493,7.333454,7.267622,7.853888,7.803287,7.630425,6.698231,7.245392
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.981738,2.251285,2.10879,2.713115,1.723911,2.522685,2.535561,2.337427,2.273031,2.221145
Romania,114.646895,118.321184,129.090859,129.771355,140.572384,153.47546,160.70988,174.344746,178.720867,177.341813,178.67981,176.454093,178.698624,174.896828,174.867466,179.996378,188.872603,193.79307,189.861484,168.311168,139.646728,123.897326,114.852751,112.3632,117.617586,120.889502,110.428209,96.48322,82.871525,86.243118,91.359171,90.916521,97.001236,93.75892,92.658975,95.318476,92.475074,91.252186,77.466902,74.757057,80.901124,78.612332,68.996883,68.164004
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2163.233609,2136.15635,1959.108458,1799.580218,1596.211476,1547.986747,1521.382233,1414.573224,1406.352762,1442.788318,1474.220213,1474.477311,1465.633767,1493.685363,1487.965476,1481.655603,1537.438128,1533.438169,1553.560136,1440.38782,1528.919657,1604.40287,1550.819035,1534.639211,1467.552142
Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.981669,52.26868,48.055848,42.780309,38.961663,44.617022,51.719869,56.386406,56.286467,40.066785,43.003515,45.064181,48.64577,52.213287,56.415908,49.55328,51.742106,50.151618,48.328206,45.672321,45.881883,50.045535,44.632072,45.437804,38.109698
Tajikistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.017291,10.170339,7.489016,5.019632,2.936482,2.458925,2.21508,2.495104,2.75637,2.529535,2.176151,2.115436,2.08455,2.093486,2.501988,2.346863,2.548104,3.114223,2.947487,2.309382,2.302494,2.417769,2.843829,3.530399,4.660858
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.633086,37.778134,27.64413,26.179412,32.574631,33.246482,29.498909,29.751891,30.404503,35.577121,36.65572,37.894872,39.722184,44.221594,46.585786,48.089223,49.197559,55.816861,56.444491,49.94451,56.903338,61.776726,64.075024,65.485335,66.996574
Ukraine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,688.375933,651.703297,565.761911,492.753688,410.536423,395.706848,343.828069,325.712182,306.38641,303.076598,295.003299,297.956392,301.001329,331.935303,306.666256,293.932445,301.522506,307.90544,294.788395,249.44227,266.265797,279.455295,273.82889,265.023617,236.535082
Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,114.877312,118.738329,111.158612,112.155974,106.38643,94.544995,95.623949,96.925728,112.72223,113.847501,113.959759,115.449996,119.677359,114.913986,112.035271,107.14135,109.473678,109.900063,109.083753,99.224188,97.057854,105.750813,107.598872,96.289561,97.896319
Former Soviet Union (if no detail),1941.624495,2054.729892,2189.433567,2311.691046,2480.555142,2571.866347,2631.838353,2756.966043,2833.168624,2935.612166,2924.618003,2958.473848,2987.414858,3032.811278,3078.114528,3156.458736,3259.518829,3299.14089,3313.214755,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Former Yugoslavia (if no detail),61.839479,61.014206,66.348867,71.539702,73.502191,74.833497,78.524955,84.685278,87.568868,84.209248,96.352874,102.396815,110.724507,113.965553,119.669815,125.84406,118.512056,124.335375,125.19291,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
