"Date","総額 -Export","食料品 -Export","食料品及び動物 -Export","飲料及びたばこ -Export","原料品 -Export","原材料 -Export","動植物性油脂 -Export","鉱物性燃料 -Export","化学製品 -Export","有機化合物 -Export","医薬品 -Export","プラスチック -Export","原料別製品 -Export","鉄鋼 -Export","非鉄金属 -Export","金属製品 -Export","織物用糸繊維製品.織物用糸及び繊維製品 -Export","非金属鉱物製品 -Export","ゴム製品 -Export","紙類紙製品.紙類及び同製品 -Export","一般機械 -Export","原動機 -Export","電算機類含周辺機器 -Export","電算機類の部分品 -Export","半導体等製造装置 -Export","金属加工機械 -Export","ポンプ遠心分離機.ポンプ及び遠心分離機 -Export","建設用鉱山用機械 -Export","荷役機械 -Export","加熱用冷却用機器 -Export","繊維機械 -Export","ベアリング.ベアリング及び同部分品 -Export","電気機器 -Export","半導体等電子部品 -Export","ＩＣ -Export","音響映像機器 -Export","映像機器 -Export","映像記録再生機器 -Export","テレビ受像機 -Export","音響機器 -Export","音響映像機器の部分品 -Export","重電機器 -Export","通信機 -Export","電気計測機器 -Export","電気回路等の機器 -Export","電池 -Export","輸送用機器 -Export","自動車 -Export","乗用車 -Export","バストラック -Export","自動車の部分品 -Export","二輪自動車.二輪自動車原動機付自転車 -Export","航空機類 -Export","船舶 -Export","その他 -Export","雑製品 -Export","特殊取扱品 -Export","科学光学機器 -Export","写真用映画用材料 -Export"
2008-09-01,73613.01985,343.08534,296.53751,46.54783,971.93387,960.4108,11.52307,1764.95063,6215.37797,1688.77623,302.5525,1957.27538,9612.95726,4784.4417,1309.36416,951.47042,595.54852,828.08068,840.01509,287.82705,13918.19285,2148.0459,659.3496,1485.60063,1182.5224,1169.01491,1074.31775,1252.62967,873.79835,483.11019,166.53975,361.44609,14561.34564,4455.1828,2928.09104,1683.67116,1618.71375,1450.42854,168.28521,64.95741,1043.99047,838.92499,912.57678,987.04417,1653.32761,477.27386,18171.10026,12687.71748,11005.32013,1553.55193,2606.71847,473.39056,359.85643,1717.06694,8054.07603,4153.5442,3900.53183,1873.49368,411.38962
2008-10-01,69148.10591,367.98879,317.46339,50.5254,701.84926,693.44406,8.4052,1572.53856,5900.98582,1471.79364,327.49652,1887.49619,9014.66325,4203.86232,1216.27977,963.07156,650.09805,783.90486,887.8559,290.06127,13505.09643,2217.93645,642.66136,1485.51615,1200.3527,1074.2694,1161.03362,976.04714,770.7841,626.73607,113.01277,367.59403,13775.45583,4053.50456,2629.06504,1638.78878,1572.77896,1427.77721,145.00175,66.00982,979.02557,846.56575,801.736,939.27994,1613.36893,480.73513,16617.55518,11310.01813,9788.21999,1423.09487,2646.25597,454.53228,94.12706,1810.94411,7691.97279,3989.82595,3702.14684,1654.09238,380.64259
2008-11-01,53235.03329,314.76566,268.59026,46.1754,431.48257,423.27684,8.20573,1176.16711,4271.64254,1039.41608,274.00641,1320.97738,7098.22648,3292.72059,910.04228,760.16998,570.58745,593.85932,728.17429,226.5756,10484.12105,1675.93106,512.88796,1114.0772,1011.71142,803.59961,879.02261,802.78677,641.40366,364.14352,97.06769,298.48657,10405.40599,3065.3307,1928.84905,1196.51201,1147.8009,1041.04212,106.75878,48.71111,611.38694,610.29404,625.12019,766.86112,1225.93346,365.3093,13557.10102,9022.34381,7679.60873,1250.41299,2042.05029,466.71406,96.96554,1632.56459,5496.12087,2953.88683,2542.23404,1333.78709,318.0516
2008-12-01,48304.83304,343.15179,300.96251,42.18928,466.60857,457.97426,8.63431,949.26236,3680.07772,929.65115,282.65212,1054.10252,6809.5214,3331.23211,686.3101,737.71709,582.39542,507.01048,738.71255,207.6121,10436.59882,1822.10271,396.44114,1147.31318,942.05153,812.94348,853.45451,768.77649,622.20319,342.1553,110.35724,280.5906,8741.63326,2485.02993,1622.1384,742.11305,705.89903,577.32252,128.57651,36.21402,429.82199,813.36587,592.28969,697.44087,1063.97146,252.95742,11926.44395,7396.46399,6276.41719,1030.0894,1793.87015,491.84584,180.70738,1704.39859,4951.53517,2577.17681,2374.35836,1081.31418,305.98812
2009-01-01,34778.25156,225.32066,193.88733,31.43333,417.20161,411.07511,6.1265,611.25109,3179.3424,1052.20054,313.34702,825.19506,4990.16676,2437.61827,538.77355,528.32915,374.77476,406.67483,547.16742,145.02771,7113.98951,1152.17842,331.60516,915.59756,692.8663,526.34591,604.88736,382.03218,393.77329,268.47346,63.09689,202.86276,6153.49811,1745.26048,1087.97372,469.86021,444.97273,370.98552,73.98721,24.88748,400.76895,485.12548,425.06919,484.53698,718.47635,192.61824,8156.66046,3994.2635,3303.85906,650.32326,1162.03065,434.95748,188.21067,2113.81476,3930.82096,1908.6862,2022.13476,799.08092,240.34766
2009-02-01,35295.75459,245.07947,205.64786,39.43161,554.76912,547.52236,7.24676,573.17653,3425.29851,1072.13989,279.97345,998.55026,4734.74931,2068.41528,630.34015,520.38412,401.72146,416.04879,531.36579,152.04753,7368.87213,1300.17915,323.3604,782.13513,590.05332,561.90205,669.76633,389.84139,411.54208,369.345,80.37465,176.91074,6370.28525,1829.65269,1215.32098,515.06835,492.54542,437.41673,55.12869,22.52293,396.64424,493.93309,460.0573,497.69023,695.65697,213.72045,7507.63186,3599.56491,2949.73304,601.06005,1087.8925,401.30685,184.93718,1863.67515,4515.89241,2105.89735,2409.99506,867.07829,248.48356
2009-03-01,41837.9429,283.47578,237.99112,45.48466,695.65571,686.50974,9.14597,627.82385,4553.70062,1471.53508,343.91004,1326.78179,5780.98599,2751.76311,781.97326,566.95763,443.72156,485.71376,566.20674,171.1062,8245.57325,1454.74637,332.66664,691.60435,693.20519,640.21554,828.32718,526.46408,503.94209,366.12578,83.70894,187.84635,7782.92169,2322.85269,1500.65519,693.11441,669.32582,602.45734,66.86848,23.78859,447.04051,549.77427,535.30792,603.71777,873.29189,244.56219,8390.91134,3953.83904,3255.1626,643.22777,1387.09142,374.28748,230.87488,2187.88506,5476.89467,2460.12817,3016.7665,1063.92061,300.13587
2009-04-01,41947.07904,303.64326,254.17542,49.46784,764.015,754.16625,9.84875,607.39897,4809.19153,1498.43644,362.66147,1479.55795,5338.83252,2061.61397,906.61828,620.77367,454.43438,544.33039,568.62028,168.6724,7688.04946,1578.07226,342.24842,989.12835,530.28156,412.2988,721.09353,417.21263,363.05973,404.28561,73.18239,188.11951,8721.79528,2706.71901,1800.6902,889.6739,856.77744,793.4877,63.28974,32.89646,505.66523,562.35323,651.49848,620.13394,1005.72184,273.37323,8057.41031,3815.95552,3308.83225,471.60421,1767.23789,331.63224,199.97645,1673.91195,5656.74271,2663.51512,2993.22759,1262.00604,284.7769
2009-05-01,40199.51604,281.8818,236.30169,45.58011,778.60132,768.7446,9.85672,568.33963,4766.72501,1422.71849,333.00903,1529.80761,5075.80641,1858.33424,910.8695,599.99413,469.48351,505.66027,540.08498,177.90843,7182.31251,1360.92521,330.93575,1012.83221,428.61822,379.9281,711.13692,360.99366,328.11711,373.35569,89.88934,188.78911,8455.90778,2710.79253,1793.87781,812.50109,783.72852,721.65031,62.07821,28.77257,396.50262,602.89898,594.51877,569.81387,1003.02361,264.50109,7758.04286,4338.65808,3885.59618,426.39917,1657.06001,203.09578,188.05064,1113.51842,5331.89872,2594.03524,2737.86348,1261.81131,290.34088
2009-06-01,45944.09653,299.7093,253.35038,46.35892,729.55049,719.75238,9.79811,898.52508,4999.78888,1481.98953,312.81091,1612.12706,5899.45381,2350.7184,929.90684,657.0342,512.38891,594.1435,640.66166,197.02497,7571.53143,1508.17104,340.30719,918.81077,494.55885,420.60754,787.06556,408.65036,366.53183,301.95713,103.19904,219.46359,9181.37419,3098.92636,2077.17318,823.26224,792.84702,722.97787,69.86915,30.41522,403.12035,561.84876,620.59575,621.8499,1107.81154,303.53366,10414.10639,6137.6955,5469.30375,627.87637,1875.04204,182.67969,207.6024,1721.07038,5950.05696,2765.62384,3184.43312,1347.62996,292.29891
