"Date","IRELAND:EPU Index","IRELAND:EPU Interpolated"
1995-09-01,67.54736,
1995-10-01,23.30096,
1995-11-01,129.61456,
1995-12-01,48.61164,
1996-01-01,77.69922,
1996-02-01,25.11008,
1996-03-01,94.02875,
1996-04-01,58.89176,
1996-05-01,86.50351,
1996-06-01,24.5473,
1996-07-01,23.45011,
1996-08-01,50.32125,
1996-09-01,101.73879,
1996-10-01,69.96426,
1996-11-01,22.27736,
1996-12-01,131.04815,
1997-01-01,73.99239,
1997-02-01,48.53391,
1997-03-01,45.39232,
1997-04-01,66.55298,
1997-05-01,111.80881,
1997-06-01,123.73717,
1997-07-01,69.35528,
1997-08-01,25.03021,
1997-09-01,44.36865,
1997-10-01,83.59652,
1997-11-01,24.4879,
1997-12-01,92.28294,
1998-01-01,112.73422,
1998-02-01,67.58316,
1998-03-01,63.11331,
1998-04-01,84.75527,
1998-05-01,38.77045,
1998-06-01,65.41917,
1998-07-01,63.26992,
1998-08-01,49.05494,
1998-09-01,135.46794,
1998-10-01,41.9261,
1998-11-01,106.43231,
1998-12-01,70.21086,
1999-01-01,46.17657,
1999-02-01,89.81569,
1999-03-01,20.54549,
1999-04-01,58.71276,
1999-05-01,39.22131,
1999-06-01,41.90956,
1999-07-01,81.12302,
1999-08-01,70.17994,
1999-09-01,19.99449,
1999-10-01,97.24552,
1999-11-01,58.25134,
1999-12-01,110.32267,
2000-01-01,69.78045,
2000-02-01,43.40786,
2000-03-01,94.24353,
2000-04-01,60.03432,
2000-05-01,72.71782,
2000-06-01,57.9179,
2000-07-01,41.32675,
2000-08-01,45.70968,
2000-09-01,38.98385,
2000-10-01,60.05694,
2000-11-01,56.50101,
2000-12-01,71.87331,
2001-01-01,42.637,
2001-02-01,66.03589,
2001-03-01,37.86536,
2001-04-01,41.9261,
2001-05-01,53.63888,
2001-06-01,81.3404,
2001-07-01,64.78752,
2001-08-01,43.3857,
2001-09-01,46.92612,
2001-10-01,60.84226,
2001-11-01,102.35138,
2001-12-01,181.67464,
2002-01-01,141.46569,
2002-02-01,69.2799,
2002-03-01,85.19706,
2002-04-01,63.84659,
2002-05-01,122.22115,
2002-06-01,121.26553,
2002-07-01,46.04149,
2002-08-01,113.97997,
2002-09-01,115.60472,
2002-10-01,108.23221,
2002-11-01,109.27868,
2002-12-01,107.44954,
2003-01-01,172.1095,
2003-02-01,164.62316,
2003-03-01,90.52358,
2003-04-01,134.19882,
2003-05-01,102.19386,
2003-06-01,91.72522,
2003-07-01,93.08136,
2003-08-01,72.61841,
2003-09-01,88.54317,
2003-10-01,101.95848,
2003-11-01,90.51394,
2003-12-01,97.78254,
2004-01-01,72.65152,
2004-02-01,49.16276,
2004-03-01,61.66629,
2004-04-01,63.83381,
2004-05-01,41.31068,
2004-06-01,41.90543,
2004-07-01,113.67508,
2004-08-01,82.38909,
2004-09-01,23.98752,
2004-10-01,111.59741,
2004-11-01,115.89477,
2004-12-01,54.69278,
2005-01-01,25.80538,
2005-02-01,127.78534,
2005-03-01,22.966,
2005-04-01,89.20297,
2005-05-01,80.57464,
2005-06-01,71.94632,
2005-07-01,50.78429,
2005-08-01,54.23213,
2005-09-01,118.4929,
2005-10-01,25.25933,
2005-11-01,124.6957,
2005-12-01,81.81805,
2006-01-01,100.28624,
2006-02-01,74.35488,
2006-03-01,65.62121,
2006-04-01,124.88625,
2006-05-01,23.81278,
2006-06-01,68.24887,
2006-07-01,49.88999,
2006-08-01,78.56106,
2006-09-01,50.13129,
2006-10-01,46.69409,
2006-11-01,87.93108,
2006-12-01,129.16807,
2007-01-01,24.06904,
2007-02-01,23.77814,
2007-03-01,82.0471,
2007-04-01,72.12541,
2007-05-01,68.25617,
2007-06-01,91.65598,
2007-07-01,50.46466,
2007-08-01,48.97579,
2007-09-01,90.99849,
2007-10-01,115.70544,
2007-11-01,166.42836,
2007-12-01,145.35605,
2008-01-01,100.73579,
2008-02-01,56.11553,
2008-03-01,141.27757,
2008-04-01,132.30477,
2008-05-01,105.56512,
2008-06-01,70.01037,
2008-07-01,168.33072,
2008-08-01,99.86205,
2008-09-01,165.07994,
2008-10-01,158.06273,
2008-11-01,168.96175,
2008-12-01,164.86342,
2009-01-01,185.61965,
2009-02-01,133.05039,
2009-03-01,114.37571,
2009-04-01,163.46824,
2009-05-01,51.08956,
2009-06-01,177.68131,
2009-07-01,103.77605,
2009-08-01,54.99714,
2009-09-01,158.41064,
2009-10-01,77.03256,
2009-11-01,153.34979,
2009-12-01,152.2728,
2010-01-01,121.41798,
2010-02-01,178.03223,
2010-03-01,161.80845,
2010-04-01,196.06779,
2010-05-01,139.14962,
2010-06-01,141.48453,
2010-07-01,170.59933,
2010-08-01,126.62781,
2010-09-01,120.36905,
2010-10-01,143.58796,
2010-11-01,87.44093,
2010-12-01,196.04626,
2011-01-01,155.64127,
2011-02-01,93.46692,
2011-03-01,175.774,
2011-04-01,181.34976,
2011-05-01,152.4476,
2011-06-01,95.02749,
2011-07-01,62.50374,
2011-08-01,130.1571,
2011-09-01,121.6613,
2011-10-01,210.467,
2011-11-01,124.45832,
2011-12-01,231.89434,
2012-01-01,165.84567,
2012-02-01,126.87354,
2012-03-01,142.70078,
2012-04-01,196.65106,
2012-05-01,179.23363,
2012-06-01,119.91053,
2012-07-01,219.21448,
2012-08-01,127.12023,
2012-09-01,130.05752,
2012-10-01,148.65081,
2012-11-01,130.57703,
2012-12-01,116.57725,
2013-01-01,180.06904,
2013-02-01,174.50843,
2013-03-01,100.49573,
2013-04-01,106.57823,
2013-05-01,167.81035,
2013-06-01,178.04715,
2013-07-01,206.45973,
2013-08-01,133.90986,
2013-09-01,135.23085,
2013-10-01,160.53299,
2013-11-01,120.57396,
2013-12-01,223.19482,
2014-01-01,66.10094,
2014-02-01,132.75943,
2014-03-01,152.88636,
2014-04-01,96.04406,
2014-05-01,118.30817,
2014-06-01,96.34891,
2014-07-01,128.75714,
2014-08-01,141.81977,
2014-09-01,161.97703,
2014-10-01,62.54974,
2014-11-01,132.67653,
2014-12-01,112.94196,
2015-01-01,132.51105,
2015-02-01,34.00792,
2015-03-01,233.20324,
2015-04-01,204.83432,
2015-05-01,100.46405,
2015-06-01,138.89947,
2015-07-01,170.85998,
2015-08-01,112.5829,
2015-09-01,69.66605,
2015-10-01,64.78094,
2015-11-01,140.36761,
2015-12-01,75.83207,
2016-01-01,68.46511,
2016-02-01,182.60697,
2016-03-01,214.01524,
2016-04-01,137.26193,
2016-05-01,216.33952,
2016-06-01,218.60233,
2016-07-01,227.61807,
2016-08-01,235.69769,
2016-09-01,201.45697,
2016-10-01,130.32216,
2016-11-01,230.78594,
2016-12-01,225.94586,
2017-01-01,141.28485,
2017-02-01,172.81125,
2017-03-01,168.84936,
