"Date","Austria","Belgium","Cyprus","Denmark","Finland","France","Germany","Ireland","Italy","Luxembourg","Netherlands","Norway","Portugal","Spain","Sweden","Switzerland","Turkey","United Kingdom","Russia","Kazakhstan","Total Europe","Memo: Euro Area","Memo: European Union","Canada","Argentina","Bolivia","Brazil","Chile","Colombia","Costa Rica","Ecuador","Guatemala","Honduras","Mexico","Panama","Paraguay","Peru","Uruguay","Venezuela","Total Latin America","Barbados","Dominican Republic","Haiti","Jamaica","Trinidad and Tobago","Bahamas","Bermuda","British Virgin Islands","Cayman Islands","Total Caribbean","Bahrain","China, Mainland","Hong Kong","India","Indonesia","Iraq","Israel","Japan","Korea, South","Kuwait","Malaysia","Oman","Philippines","Saudi Arabia","Singapore","Taiwan","Thailand","United Arab Emirates","Total Asia","Algeria","Liberia","Morocco","South Africa","Total Africa","Australia","New Zealand","Total Other","All Countries","International","Total Regional Orgs.","Total IROs","Of which Foreign Official","Grand Total","Greece","Monaco","Czech Republic","Hungary","Poland","Romania","Ukraine","El Salvador","Belize","Aruba","Netherlands Antilles","Pakistan","Kenya","Egypt"
2012-09-01,3834,133165,83,15170,3615,59257,65513,94316,27565,147510,27030,73867,3026,25496,27560,193466,42583,129756,163462,29872,1338619,594489,812879,60639,1958,164,251184,30314,29289,1602,503,3688,836,56489,850,8,11930,9090,4225,403142,7131,639,126,19,4884,5366,98344,19899,138500,277988,737,1153643,137144,59720,27968,48403,25754,1128461,42134,27580,19361,17701,36951,75291,94440,201663,64274,50908,3243907,705,288,633,12974,34737,25708,3550,29484,5388516,32407,15460,87627,3958112,5476143,2918,196,6576,1769,29979,5798,6705,545,6,180,1571,2273,740,5305
2012-10-01,3773,136408,84,14896,3694,58711,63938,95321,27978,144271,30655,75489,3109,25326,29026,187810,51566,125719,171147,28935,1350388,597396,813722,58274,1938,240,254122,30872,29886,1675,125,3706,816,59193,917,33,13369,9482,4235,411639,5936,623,139,17,4926,4896,100382,20711,147653,288707,732,1169854,138528,59574,27476,48255,28851,1131882,42192,27527,19462,17461,36938,76928,97404,197212,58584,45798,3258451,680,358,608,12821,34141,26665,5708,32611,5434211,34032,15539,92532,3984312,5526743,2974,195,6470,1997,30425,5479,6704,565,6,178,1975,2741,715,5054
2012-11-01,3846,138474,84,14746,3671,59037,65328,97352,28306,148050,29925,75583,3263,25834,28541,192656,55642,124859,166218,30340,1366023,607269,822485,59783,1866,152,255896,32093,30211,1408,285,3673,869,60515,894,8,13732,9292,4266,416244,5622,625,100,11,4691,4971,97089,20613,140044,277931,840,1183076,141234,58753,26756,47225,26241,1117662,45005,27911,19509,17913,36801,76779,95678,199096,56949,42936,3255965,680,279,598,12988,32847,29002,6019,35216,5444009,34016,15763,94192,4008998,5538201,2860,196,6410,1641,30777,6084,6104,600,30,152,2818,3292,704,3632
2012-12-01,3686,138800,72,13782,3467,51354,63160,103061,27455,154663,32002,75095,3243,27377,27750,195386,57632,123039,161540,28058,1365895,612367,824035,66190,1899,166,253326,33049,30232,1457,123,3517,868,61081,875,7,14526,8765,4333,415212,5410,616,114,8,4858,5014,98700,19160,142093,280445,839,1220382,141889,59545,26005,49400,24073,1111176,47561,27977,19326,17663,36775,77599,99346,195408,53571,43686,3286577,680,275,1149,13132,31138,27371,4702,32293,5477750,30662,15976,96039,4032835,5573789,2882,198,6649,1681,31512,5215,6145,531,10,163,2412,2713,716,1272
2013-01-01,3327,185558,71,14087,3569,52216,60499,108452,28382,147619,31702,76462,2774,25061,28574,190038,57676,128955,164379,29522,1413693,653098,870782,61692,1865,154,254117,32818,30320,1634,273,3554,838,62566,826,7,15566,8524,4290,418410,5178,588,123,18,4909,4651,101656,18329,146119,286740,797,1214236,142887,58492,25079,49150,23144,1103901,48137,28184,19283,17871,39598,77187,103685,192727,61643,44170,3286009,680,287,1134,13132,31334,28572,6528,35324,5533202,29167,14786,88943,4048855,5622145,2924,151,6311,1490,31760,4745,6114,591,31,160,2950,2174,686,1194
2013-02-01,3432,187292,70,13873,3625,53129,65112,109628,28834,151153,30330,76999,2938,24549,30160,186879,55932,131063,164871,30035,1421818,664025,885512,65516,1845,129,256496,33578,29544,1883,294,3312,847,64255,811,6,15688,8592,4290,422674,5505,590,117,18,4888,4489,103985,18519,152373,296533,771,1251943,144731,56809,24322,45250,23107,1105472,50573,28328,18804,19736,39595,76533,109529,189974,65264,41067,3329048,680,274,1066,13329,31513,28867,7183,36211,5603313,32755,10689,87742,4100438,5691055,2889,149,6474,1729,31216,5221,6097,632,35,141,4070,1855,683,1026
2013-03-01,3587,188353,74,14035,3604,56429,64216,113542,28512,154453,30421,76446,3021,23498,32820,183558,56665,148594,153025,23659,1432096,673567,914362,64413,1817,582,257857,31904,31202,1906,348,3646,846,57069,858,6,15992,8732,4283,418207,5379,591,116,8,4828,4545,101954,19202,156324,299271,848,1270332,146571,54994,24145,45700,23659,1114279,53064,28987,18612,19515,39732,78554,98026,188861,68377,46034,3359013,680,274,1057,13426,31260,29431,6396,35913,5640173,33528,10716,84788,4093764,5724961,2873,138,5675,1589,31174,5135,5929,681,42,144,4030,1937,727,1109
2013-04-01,3527,185504,76,13749,3689,50616,62177,120537,28091,149739,27287,74865,3084,22986,32117,185800,60406,153156,149400,23131,1419600,661082,906139,66232,1785,562,253079,32052,30891,1967,241,3472,850,56961,792,6,15888,8243,4296,412193,5078,596,83,8,4783,4386,103843,15372,156536,297157,801,1290716,141214,55764,24800,49605,24488,1112731,53077,34765,17552,20001,39259,77957,92347,185696,59302,42674,3361910,680,273,997,13605,30568,35832,5408,41401,5629061,33514,9932,80652,4080043,5709713,2675,205,5834,1500,31574,5327,5859,637,44,159,4059,1863,717,1088
2013-05-01,3450,175214,81,13294,3492,60187,61948,120480,27170,143153,30002,73709,2673,22952,32360,182575,60199,149165,143443,24875,1399360,654645,895333,60689,1791,490,255182,31069,32000,1972,429,3376,842,58356,799,6,16079,9040,4255,416793,4734,584,72,6,4896,4434,105200,14784,154135,293246,869,1297345,136400,59852,22724,46948,26555,1103742,52900,30592,17592,20475,39027,79532,85789,188840,54415,40247,3343607,680,263,947,13600,30784,34560,4793,39521,5584000,30147,9985,74096,4075894,5658096,2813,217,5810,1371,31425,5460,5844,686,39,163,1993,1971,761,1264
2013-06-01,3668,176224,73,13498,3721,51805,58895,121154,28539,150470,31363,75673,2917,22052,32689,180338,59090,155029,137966,25104,1400514,654547,902505,64999,1822,469,253672,29565,32708,2421,282,3389,842,61780,799,5,16171,7741,4172,416947,4458,576,68,11,4907,4550,115262,11940,152268,298220,848,1275818,124181,61205,22009,45446,24430,1083294,51208,28545,16844,20948,37121,79778,85440,186149,50190,40194,3268510,680,276,948,13671,31111,35437,4540,40119,5520420,30424,8915,74597,4012207,5595017,2569,166,6125,1541,31358,5919,5822,702,44,214,1520,1835,796,1226
2013-07-01,3400,167673,78,13048,3662,49815,56343,117893,27455,146786,30450,74637,2957,21860,32467,178178,55016,148815,131599,27603,1359824,631917,872558,65626,1864,451,256436,29219,33078,2113,284,3248,845,63258,811,5,15448,7978,4173,420345,4422,669,67,11,5171,4606,117097,15091,147375,298103,878,1279303,119987,58860,22312,44098,21150,1135442,51401,28649,15888,20407,38863,81847,81491,185832,43745,38445,3304724,680,276,848,13804,34644,33130,3977,37244,5520510,28903,9029,72285,3996112,5592795,2495,160,5868,1218,32063,5367,5896,702,54,166,1587,1848,767,4228
2013-08-01,3607,166758,81,13299,3604,51926,58732,120033,28829,143792,30982,71712,3068,22090,33411,181223,58363,148600,135955,27790,1377401,637214,878915,60421,1854,393,252853,28016,32977,2025,271,2897,827,60395,762,5,15048,9005,4178,412663,4756,660,65,17,5063,4818,123565,18243,153191,313424,784,1268085,126487,56996,20879,38695,23122,1149118,49995,27890,13926,19832,38557,80896,79429,183606,40078,36342,3290979,680,269,846,13208,33684,32919,2754,35804,5524376,27320,9410,71439,3974535,5595815,2606,153,5901,1229,32035,5427,5858,702,81,151,1286,1732,779,3998
2013-09-01,3411,172482,93,11643,3425,54475,61901,111323,28845,141059,32171,72215,2938,21487,32595,177224,54349,148441,140547,27022,1368816,637234,875022,62371,1862,424,249195,26711,33385,2030,274,2827,815,63786,765,7,14521,8689,4162,410567,4504,659,60,16,4636,4687,117500,18329,158792,311348,784,1293759,126538,56774,20059,37849,21859,1178099,55546,28022,12390,20075,38091,82300,80308,185857,38877,35064,3347297,680,275,752,13828,34088,34169,3296,37591,5572078,28651,9684,80742,4015355,5652820,2473,143,6347,1229,30777,4935,5761,688,52,153,826,1725,769,4031
2013-10-01,3463,180305,73,11512,3972,57723,60708,110907,29406,133306,30410,78394,2849,22617,32605,174286,51481,148332,149897,28216,1381369,639568,876787,58021,1830,463,246731,26204,32922,2060,250,2832,803,61821,709,6,14128,8975,4166,404958,4071,646,63,17,4422,4601,114474,16911,154385,301335,808,1304491,137291,59888,20189,34051,21641,1174388,50594,28223,11843,19802,39233,83610,86295,184487,44464,34407,3364424,680,265,783,10649,31194,34070,5409,39610,5580911,27369,10281,74186,4052294,5655097,2653,124,5544,1830,31242,4342,5339,660,14,157,864,1271,724,4411
2013-11-01,3424,200613,74,12554,4234,51602,64319,116925,30241,130415,29854,82298,3094,22837,33603,176555,53429,150429,139895,29105,1408097,661457,903970,56980,1840,425,246891,25866,34003,2068,256,3013,810,59545,583,6,14211,9026,4181,403806,3684,643,64,15,4547,4972,112895,16641,154772,299974,828,1316715,141700,63894,20939,33201,20026,1186448,46376,28247,11844,19560,39997,79202,87176,183720,49839,38877,3397191,680,257,890,11692,32334,33697,7318,41186,5639568,27271,9875,77276,4074231,5716844,2745,133,5776,1618,31401,5275,4304,651,89,168,1034,1124,756,4444
2013-12-01,3420,256789,83,14521,4642,53776,67332,179553,30335,134593,36952,87344,3125,22952,33891,176719,52185,152199,138604,29246,1548803,797563,1042062,55893,1874,485,245442,26149,32961,933,280,3613,808,65084,621,7,14819,10729,3835,408671,3637,639,58,10,4570,5072,51745,17965,162481,249186,845,1270127,158784,68535,22542,35199,23677,1182474,53963,28751,11759,19404,40203,78017,86152,182241,51740,39488,3381441,680,169,890,11294,32068,33781,4948,38833,5714895,27208,10374,77721,4054592,5792616,2976,208,5660,1098,30912,4100,3666,559,97,166,2318,944,736,4420
2014-01-01,3575,310300,93,14066,4604,57535,63930,166226,30431,135547,32253,88198,3005,23203,34946,173773,48903,151173,131777,29837,1574861,834928,1079858,55471,1830,441,246038,27107,32928,941,286,3417,810,67195,586,7,13756,9468,3852,409760,3171,653,68,4,4671,5002,51058,21253,162372,250096,867,1275574,160268,68061,23934,36500,24216,1201426,55629,29567,10843,18885,38707,80424,85863,179120,47806,41100,3408083,680,172,760,11452,33328,31038,4625,35781,5767380,25865,9841,73926,4068043,5841306,2781,232,6037,984,31218,4814,3228,580,148,174,1156,970,705,5901
2014-02-01,3593,341160,93,13794,4545,54944,61314,171397,30810,136915,33176,89691,3230,23120,34389,168134,49625,164572,126209,30344,1610853,868566,1126100,59418,1821,409,243879,27921,30502,934,249,3286,803,68859,622,7,13321,9311,3846,406906,3274,654,56,4,4428,5044,51581,23856,159528,250143,828,1272889,160445,66955,22681,33850,26021,1210751,56724,29638,10054,19409,39493,79533,87401,180039,47435,42091,3416375,680,174,677,11407,32603,31740,4900,36734,5813032,24298,9987,77023,4069349,5890055,2816,154,5907,858,30653,5663,2840,574,203,193,1013,882,726,5896
2014-03-01,3496,381365,96,14449,4574,57132,62988,173253,31007,144774,35144,88154,3397,22896,34770,175775,50872,163484,100394,30787,1649499,924269,1181237,60193,1841,484,245270,28489,32883,2139,249,3171,810,68851,633,7,13279,8216,3834,411288,4494,653,54,3,4300,5349,53222,23680,167779,261811,815,1272062,155099,70172,22019,31649,26205,1200182,52698,29734,9503,20208,38550,82693,91296,176424,48090,43558,3405189,680,173,658,14614,36308,31772,4699,36624,5860912,24371,10325,87399,4053768,5948311,2654,205,5963,708,30318,5578,2829,568,210,196,1546,868,696,6845
2014-04-01,3530,366430,101,15311,4504,62325,63003,174264,32037,141150,36204,85559,3305,22285,34986,177558,50500,172038,116395,32687,1666776,913354,1180477,60659,1885,504,245786,26393,32854,2144,204,2910,830,70585,596,7,12978,7358,3843,409967,5938,666,63,14,4409,4844,52793,24019,162253,256872,781,1263203,154499,68710,22234,29600,26103,1209658,55310,39293,9521,20734,33921,84916,93123,175717,46945,43025,3412030,680,173,662,14164,34200,31154,4488,35797,5876301,24222,10359,83115,4067487,5959416,2713,232,6244,986,30470,5390,2842,564,210,169,1114,860,733,6393
2014-05-01,3578,362434,100,16137,4380,65377,62835,170029,31176,141456,30620,85252,3072,21789,35186,174042,53217,166927,111446,34430,1646744,901318,1165113,62766,1845,482,250116,26766,33068,2040,252,2618,849,72817,538,7,12555,7128,3322,415372,5879,663,67,4,4060,5094,48116,25668,167603,259114,868,1270859,155170,70058,22899,27251,26503,1220140,56335,32292,9598,21006,34473,87886,97509,174425,45566,51056,3438873,680,152,693,15390,34860,33762,4238,38168,5895897,25490,10323,78623,4092211,5974520,2874,334,5805,820,29895,7311,2848,577,142,186,1113,767,737,6048
2014-06-01,3674,364139,104,16028,4332,63130,67953,177109,31266,145297,36264,87052,3090,23158,34936,175888,52827,161721,113887,35133,1668082,924121,1181378,66170,1752,453,253724,27185,33529,2033,209,2722,834,72753,547,8,12783,7732,3322,420531,5792,682,67,4,4022,5249,48209,25567,169848,261437,891,1268360,157585,72905,23862,26351,26054,1219264,57458,32296,9576,21230,34612,90881,98050,179360,41256,52697,3449370,680,155,770,14375,32605,35323,4750,40246,5938441,26105,11022,80252,4108219,6018693,2964,273,5769,1066,29468,6396,2215,564,142,207,1143,1222,712,5214
2014-07-01,3812,352596,104,16030,4319,54840,64974,174709,30819,145603,39530,84750,3033,22328,35044,184146,54897,161511,114547,35819,1654693,901020,1158242,66341,1741,458,258586,26676,33072,2043,224,2825,829,73495,522,7,11777,7418,3127,423756,5879,811,56,150,4048,5135,48816,24763,169356,260826,881,1264901,158670,79676,23464,25145,25919,1218985,56078,31464,9611,21884,34095,92491,101036,175420,45102,52824,3453040,680,159,894,11888,29961,34927,3540,38637,5927254,28688,11867,75377,4117632,6002631,2751,320,5702,949,29647,6636,2210,533,178,208,1000,1203,690,5076
2014-08-01,4725,359866,102,16249,4251,59021,69421,176072,30770,150538,33620,86982,3283,21844,36330,189092,73399,162402,118130,36140,1703256,917984,1177898,64859,766,464,261715,26990,34838,2091,273,2725,822,75244,472,7,11360,7612,2991,429259,6129,852,56,142,4147,5745,50030,24908,165199,259111,886,1269714,160465,80352,23218,25555,26378,1230104,56923,31943,9599,19826,34638,92910,106348,172905,40810,59721,3478939,680,158,843,10331,28140,33904,3809,37917,6001481,23858,11035,67714,4163576,6069195,2923,320,5889,800,29388,7140,2395,583,65,211,947,1702,695,4867
2014-09-01,4533,353853,102,16186,4101,72280,74968,178815,29536,156117,35615,81804,3548,21730,35988,186213,74699,157692,117747,35031,1708729,939724,1191945,64638,783,526,262302,26360,33808,2053,258,2673,825,76468,500,9,11173,7698,2992,429453,5222,813,69,134,4428,5363,51263,21989,169310,261276,874,1266273,159016,79960,25121,24645,26539,1221781,54458,31811,9510,19548,35213,93427,108514,173411,33502,72063,3470638,680,157,840,10879,28918,35380,3258,38846,6002498,25551,11406,66653,4148038,6069151,3070,366,5626,580,28539,5866,2402,622,144,188,1748,1688,675,5267
2014-10-01,5350,348071,109,16313,4142,59653,72459,188503,30614,162484,36307,77166,3597,21075,38868,184290,75650,159962,108939,35433,1697773,937284,1193671,62470,748,521,261651,24740,35190,2014,307,2398,805,78467,791,9,10390,7907,274,427135,1772,832,74,135,4687,6007,54005,26676,175260,271434,913,1252729,161036,77523,22751,25713,26735,1222376,57288,37387,9515,19230,39742,93855,108025,172850,36360,72453,3470777,680,160,833,10281,28237,33429,4492,38091,5995917,25085,11215,66034,4132929,6061951,2859,336,5886,727,27978,4904,2398,617,45,175,1022,1649,638,5330
2014-11-01,5288,335714,124,15980,4240,67324,73020,193905,31566,166570,36160,74531,3623,25230,38979,183845,80505,163027,108138,35099,1710714,948162,1206826,64128,699,537,264247,24129,35873,2049,265,2112,814,80724,721,9,10443,8596,275,432496,1831,886,71,137,4454,5814,52018,26773,182570,276561,866,1250355,165584,80545,21097,26223,26120,1241482,55405,32127,9375,20333,40456,93545,110082,170560,36052,74944,3490137,680,155,906,10367,28461,34270,4954,39395,6041892,23595,13544,72643,4142581,6114535,3423,338,5775,775,27645,4733,2371,644,98,139,1048,1650,652,5331
2014-12-01,5546,335418,137,16680,4520,79238,72743,202025,31933,171815,36216,81579,4462,27707,39568,190139,77016,179391,86028,31561,1740786,977726,1253249,69011,716,514,255800,25458,34749,2407,325,2332,788,84818,802,8,10911,10486,279,431348,1520,985,50,137,4445,5848,49153,26958,187869,279896,876,1244300,172588,82990,24260,26400,25185,1230893,68292,32107,8293,21389,40561,97922,110044,174369,33172,75260,3503748,680,155,1028,9334,26371,34521,4352,38998,6090158,22070,14996,67496,4122566,6157654,3791,332,5701,1061,27661,3693,2373,599,99,148,1772,1692,630,4940
2015-01-01,5749,354600,134,16984,5197,75466,69616,203704,32473,175987,36854,73634,5297,27066,38318,205459,82431,197812,82208,31308,1788863,998420,1293223,69659,689,508,256516,25185,35899,2288,327,2307,848,85802,625,9,10283,9013,283,431477,1570,1081,53,136,4532,4989,47479,27472,191217,280929,883,1239052,170756,91214,23473,24933,24603,1238599,65589,31831,7728,22191,40820,100842,109701,170593,33334,77870,3510136,680,155,1041,9459,25866,32999,5481,38626,6145556,25305,13330,73101,4134665,6218657,,,,,,,,,,,,,,
2015-02-01,5788,345334,135,16585,6187,70235,68574,206492,31729,179180,36553,73167,5870,29402,38703,201729,79526,183198,69647,31972,1745488,992028,1271405,70452,636,458,259938,25658,35856,2038,320,2324,857,82165,551,9,10838,8378,272,431287,1739,1139,50,128,4447,7062,50940,26730,194835,289580,926,1223714,175363,101689,23307,25936,23464,1224422,63803,31576,7659,22542,39835,101400,109736,165870,34012,82090,3493775,680,159,1042,9222,26151,34770,5722,40636,6097369,23331,13257,66009,4097127,6163378,,,,,,,,,,,,,,
2015-03-01,5571,252786,144,16555,6249,80416,72169,214273,32522,176738,38711,71597,6069,32364,38606,211804,76210,190205,69943,29712,1687571,924805,1209322,73134,637,650,261532,28590,35249,2019,322,2038,884,85039,672,11,11243,7966,264,438045,1763,1184,51,132,4357,6301,51987,30350,201826,300525,1008,1260999,180664,107680,23693,27173,21975,1224677,67229,32092,7583,22415,39078,102816,110627,168173,30979,79467,3543901,680,159,1056,8751,25535,36326,5032,41505,6110216,25147,11829,62415,4138470,6172631,,,,,,,,,,,,,,
2015-04-01,5513,228867,143,16431,7703,74948,76349,215704,32657,171040,37650,66589,5874,31362,38876,215767,77801,185831,66530,27136,1647575,894515,1174136,71979,616,745,262748,28346,35443,2046,226,1863,881,87357,527,11,10752,7861,265,440587,1852,1187,51,137,4181,6144,53251,30864,203288,303486,896,1263393,183145,110328,21128,27574,20938,1215916,71775,32397,7499,23987,39406,105132,109658,170318,28988,72831,3541042,680,160,1067,10262,27454,33755,3807,37718,6069841,26719,11459,68012,4144871,6137853,,,,,,,,,,,,,,
2015-05-01,5957,202811,144,17306,7616,51060,76018,208997,32906,176978,37078,64759,3591,31217,39121,222652,78470,190188,70614,28465,1611581,840939,1126845,70862,648,793,258486,28519,36684,2047,225,1884,831,86445,500,11,10919,6974,267,436190,1713,1189,50,135,4232,6809,53805,32787,216086,319328,942,1270254,186275,114001,21390,29272,19946,1214925,74262,30866,7923,23282,39003,107218,110274,174187,30960,72528,3565788,680,160,1615,8844,27290,32076,5483,37724,6068763,24467,11426,66046,4173314,6134809,,,,,,,,,,,,,,
2015-06-01,5897,207668,151,17066,8259,55909,74665,217691,32944,183422,36720,67220,2369,31548,39957,217024,75845,205275,72013,28391,1645842,863537,1164597,68064,668,894,256307,28972,37648,1632,252,2014,823,86235,534,11,11640,7031,265,435907,1408,1164,52,140,3843,6679,53702,35352,221087,325684,909,1271156,181319,116951,20809,30120,19981,1197135,76717,31047,7102,22556,39892,109492,113614,175623,31429,71375,3554803,680,159,1616,9430,27789,34003,5002,39180,6097269,22394,11859,65872,4178877,6163141,,,,,,,,,,,,,,
2015-07-01,5921,155465,157,18344,8142,51419,79952,216119,31990,185171,39173,66546,2523,31660,40698,218449,75355,203426,82126,24394,1603106,814293,1115213,69202,668,845,257937,29216,36760,1527,274,2000,820,85905,508,11,11269,7279,264,436118,1467,1071,53,138,4107,7444,53832,36507,224493,331424,948,1268751,182760,116391,20346,29021,16279,1200815,74350,31205,6309,23234,40782,110087,112652,172423,32694,72838,3549600,680,159,1669,9433,27718,30918,3713,34820,6051988,25470,11438,67541,4173696,6119529,,,,,,,,,,,,,,
