Date,総数,0~4歳,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100歳以上,0~14歳,15~64,65歳以上,うち75歳以上,うち85歳以上,種別,85歳以上,75歳以上
2001-05-01,12699,594,595,644,743,841,989,901,805,773,863,1094,833,774,720,599,NA,NA,NA,NA,NA,NA,1833,8617,2249,NA,NA,NA,NA,930
2001-06-01,12711,591,601,644,741,829,975,908,806,776,862,1099,834,780,724,601,NA,NA,NA,NA,NA,NA,1836,8611,2264,NA,NA,NA,NA,940
2001-07-01,12713,590,601,643,741,827,973,913,804,776,860,1101,833,782,724,602,NA,NA,NA,NA,NA,NA,1834,8611,2268,NA,NA,NA,NA,942
2001-08-01,12705,589,599,638,735,823,973,920,802,774,856,1103,832,786,726,604,NA,NA,NA,NA,NA,NA,1826,8603,2275,NA,NA,NA,NA,946
2001-09-01,12711,590,599,639,736,818,971,926,801,774,853,1103,831,789,727,605,NA,NA,NA,NA,NA,NA,1828,8602,2281,NA,NA,NA,NA,949
2001-10-01,12729,590,600,638,735,820,970,933,801,776,853,1102,833,792,728,606,NA,NA,NA,NA,NA,NA,1828,8614,2287,NA,NA,NA,NA,953
2001-11-01,12737,590,600,637,734,820,970,939,800,775,851,1100,834,795,729,607,445,274,NA,NA,NA,NA,1827,8617,2293,NA,NA,NA,239,NA
2001-12-01,12737,590,600,636,733,818,968,943,800,774,848,1098,834,798,729,607,447,275,NA,NA,NA,NA,1826,8613,2298,NA,NA,NA,240,NA
2002-01-01,12723,589,599,634,733,817,964,943,798,774,843,1097,833,800,729,607,448,276,NA,NA,NA,NA,1822,8601,2300,NA,NA,NA,240,NA
2002-02-01,12731,589,599,633,731,815,962,944,802,774,839,1093,835,802,732,608,452,278,NA,NA,NA,NA,1822,8596,2313,NA,NA,NA,243,NA
2002-03-01,12724,589,599,633,729,808,958,943,805,774,834,1091,836,804,733,610,454,279,NA,NA,NA,NA,1821,8582,2321,NA,NA,NA,244,NA
2002-04-01,12733,590,598,630,728,812,957,942,809,775,830,1088,839,804,733,612,457,281,NA,NA,NA,NA,1818,8584,2331,NA,NA,NA,247,NA
2002-05-01,12731,589,599,630,729,811,953,940,810,775,827,1084,841,805,734,614,459,282,NA,NA,NA,NA,1818,8576,2337,NA,NA,NA,248,NA
2002-06-01,12738,589,599,629,727,810,953,942,815,776,826,1081,845,805,734,615,461,283,NA,NA,NA,NA,1817,8580,2341,NA,NA,NA,248,NA
2002-07-01,12740,588,599,628,726,808,951,944,818,777,824,1078,850,806,735,617,462,283,NA,NA,NA,NA,1815,8580,2345,NA,NA,NA,248,NA
2002-08-01,12732,587,598,624,721,805,949,945,820,776,820,1072,855,809,736,618,464,284,NA,NA,NA,NA,1809,8572,2351,NA,NA,NA,249,NA
2002-09-01,12736,587,598,624,721,800,946,947,823,777,818,1066,861,810,737,620,465,285,NA,NA,NA,NA,1810,8569,2357,NA,NA,NA,250,NA
2002-10-01,12744,587,598,624,719,801,943,949,826,780,815,1061,866,810,737,621,467,286,NA,NA,NA,NA,1810,8571,2363,NA,NA,NA,251,NA
2002-11-01,12747,587,598,623,718,801,942,951,828,781,812,1055,871,810,739,624,469,287,NA,NA,NA,NA,1809,8568,2371,NA,NA,NA,252,NA
2002-12-01,12751,587,598,622,716,800,940,953,830,781,810,1050,875,810,740,626,471,288,NA,NA,NA,NA,14.2,67.2,18.7,NA,NA,NA,253,7.9
2003-01-01,12735,586,597,620,715,798,934,952,830,780,807,1046,878,810,741,627,472,289,NA,NA,NA,NA,14.2,67.1,18.7,NA,NA,NA,253,8
2003-02-01,12751,586,598,621,714,796,933,957,832,782,805,1040,886,810,742,630,474,291,NA,NA,NA,NA,14.1,67.1,18.8,NA,NA,NA,255,8
2003-03-01,12741,585,598,620,712,789,929,958,832,782,802,1033,890,811,743,632,477,293,NA,NA,NA,NA,14.1,67,18.8,NA,NA,NA,257,8.1
2003-04-01,12756,585,598,618,709,794,928,961,834,783,801,1028,895,813,743,633,479,296,NA,NA,NA,NA,14.1,67,18.9,NA,NA,NA,259,8.1
2003-05-01,12761,585,598,618,709,795,924,961,835,783,800,1023,900,815,744,634,481,297,NA,NA,NA,NA,14.1,67,18.9,NA,NA,NA,259,8.1
2003-06-01,12767,584,598,617,707,793,923,964,838,785,799,1019,905,817,744,635,482,298,NA,NA,NA,NA,14.1,67,18.9,NA,NA,NA,260,8.1
2003-07-01,12765,583,599,616,706,792,920,965,840,785,797,1015,908,819,743,635,484,299,NA,NA,NA,NA,14.1,67,19,NA,NA,NA,260,8.2
2003-08-01,12757,582,598,614,702,789,917,967,842,784,795,1011,912,822,742,635,486,300,NA,NA,NA,NA,14.1,66.9,19,NA,NA,NA,261,8.2
2003-09-01,12757,581,598,613,701,785,914,968,844,785,794,1006,915,826,742,636,488,301,NA,NA,NA,NA,14,66.9,19,NA,NA,NA,262,8.2
2003-10-01,12762,580,599,612,700,786,911,970,847,786,793,1001,917,830,740,636,490,302,NA,NA,NA,NA,14,66.9,19,NA,NA,NA,263,8.3
2003-11-01,12763,580,599,610,699,785,908,972,848,785,793,994,920,835,739,637,491,304,NA,NA,NA,NA,14,66.9,19.1,NA,NA,NA,264,8.3
2003-12-01,12767,579,599,609,697,785,906,973,851,785,793,988,923,838,739,637,493,307,NA,NA,NA,NA,14,66.9,19.1,NA,NA,NA,265,8.3
2004-01-01,12752,578,598,607,696,783,901,972,851,784,791,985,925,841,737,638,494,308,NA,NA,NA,NA,14,66.9,19.2,NA,NA,NA,264,8.4
2004-02-01,12766,578,598,607,694,781,900,974,854,784,791,976,932,843,738,640,497,311,NA,NA,NA,NA,14,66.8,19.2,NA,NA,NA,267,8.4
2004-03-01,12759,578,598,607,691,775,896,975,855,784,789,970,934,848,738,641,499,314,NA,NA,NA,NA,14,66.8,19.3,NA,NA,NA,268,8.5
2004-04-01,12765,578,597,606,688,780,894,976,857,783,788,964,938,851,737,641,501,317,NA,NA,NA,NA,13.9,66.7,19.3,NA,NA,NA,270,8.5
2004-05-01,12756,577,597,606,688,779,889,973,857,783,788,957,940,855,736,642,503,318,NA,NA,NA,NA,14,66.7,19.4,NA,NA,NA,271,8.6
2004-06-01,12768,576,597,606,686,779,888,976,860,785,789,952,944,858,734,643,505,318,NA,NA,NA,NA,13.9,66.7,19.4,NA,NA,NA,271,8.6
2004-07-01,12767,575,596,606,684,778,886,977,862,786,789,947,948,860,734,643,506,319,NA,NA,NA,NA,13.9,66.7,19.4,NA,NA,NA,271,8.6
2004-08-01,12761,574,594,604,679,775,882,978,863,787,787,941,954,863,734,645,507,320,NA,NA,NA,NA,13.9,66.7,19.4,NA,NA,NA,272,8.6
2004-09-01,12763,574,594,606,678,771,879,980,865,789,786,936,959,865,734,646,509,322,NA,NA,NA,NA,13.9,66.7,19.5,NA,NA,NA,272,8.6
2004-10-01,127687,5736,5938,6060,6761,7725,8755,9819,8661,7909,7854,9300,9640,8652,7344,6465,5098,3235,NA,NA,NA,NA,13.9,66.6,19.5,NA,NA,NA,2734,8.7
2004-11-01,127716,5734,5926,6059,6742,7717,8739,9840,8672,7922,7842,9238,9689,8663,7353,6474,5108,3253,NA,NA,NA,NA,13.9,66.6,19.5,NA,NA,NA,2748,8.7
2004-12-01,127734,5731,5920,6057,6722,7705,8721,9853,8682,7934,7829,9184,9745,8653,7365,6480,5120,3269,NA,NA,NA,NA,13.9,66.6,19.6,NA,NA,NA,2764,8.7
2005-01-01,127636,5721,5903,6044,6713,7695,8684,9834,8678,7942,7814,9128,9807,8652,7368,6481,5128,3275,NA,NA,NA,NA,13.8,66.6,19.6,NA,NA,NA,2769,8.8
2005-02-01,127686,5716,5906,6051,6699,7663,8671,9841,8697,7954,7790,9091,9893,8581,7375,6510,5143,3301,NA,NA,NA,NA,13.8,66.5,19.7,NA,NA,NA,2802,8.8
2005-03-01,127604,5705,5909,6046,6678,7597,8638,9836,8700,7962,7778,9043,9932,8575,7376,6533,5158,3315,NA,NA,NA,NA,13.8,66.4,19.8,NA,NA,NA,2825,8.9
2005-04-01,127678,5697,5904,6031,6656,7640,8631,9839,8710,7973,7775,9005,9975,8561,7371,6546,5174,3334,NA,NA,NA,NA,13.8,66.4,19.8,NA,NA,NA,2858,8.9
2005-05-01,127532,5684,5901,6033,6656,7632,8574,9796,8698,7972,7764,8962,9988,8549,7377,6558,5185,3343,NA,NA,NA,NA,13.8,66.3,19.9,NA,NA,NA,2862,8.9
2005-06-01,127664,5677,5905,6030,6642,7627,8574,9820,8739,8001,7771,8945,10030,8548,7376,6568,5190,3351,NA,NA,NA,NA,13.8,66.3,19.9,NA,NA,NA,2869,8.9
2005-07-01,127655,5668,5901,6030,6628,7615,8551,9813,8753,8019,7768,8911,10074,8525,7389,6574,5199,3360,NA,NA,NA,NA,13.8,66.3,19.9,NA,NA,NA,2877,9
2005-08-01,127608,5654,5880,6004,6580,7594,8530,9811,8768,8038,7760,8871,10133,8517,7410,6587,5213,3370,NA,NA,NA,NA,13.7,66.3,20,NA,NA,NA,2888,9
2005-09-01,127611,5645,5884,6018,6578,7546,8502,9805,8774,8068,7752,8834,10178,8502,7414,6600,5227,3381,NA,NA,NA,NA,13.8,66.2,20,9,NA,NA,2901,NA
2005-10-01,127757,5643,5895,6024,6570,7561,8487,9811,8784,8111,7756,8802,10232,8480,7414,6618,5241,3404,NA,NA,NA,NA,13.7,66.2,20,9.1,NA,NA,2922,NA
2005-11-01,127811,5632,5899,6016,6551,7561,8478,9818,8780,8146,7749,8765,10287,8455,7419,6641,5253,3426,NA,NA,NA,NA,13.7,66.2,20.1,9.1,NA,NA,2934,NA
2005-12-01,127790,5620,5903,6013,6535,7552,8460,9811,8782,8163,7739,8722,10350,8403,7414,6664,5271,3443,NA,NA,NA,NA,13.7,66.1,20.1,9.1,NA,NA,2946,NA
2006-01-01,127685,5604,5895,5997,6527,7548,8417,9782,8787,8168,7729,8679,10414,8369,7422,6675,5267,3460,NA,NA,NA,NA,13.7,66.1,20.2,9.1,NA,NA,2945,NA
2006-02-01,127789,5596,5904,6007,6515,7521,8403,9787,8857,8151,7729,8625,10531,8274,7429,6701,5298,3487,NA,NA,NA,NA,13.7,66,20.3,9.2,NA,NA,2973,NA
2006-03-01,127655,5592,5899,6006,6495,7454,8370,9769,8895,8117,7711,8574,10589,8215,7438,6718,5311,3509,NA,NA,NA,NA,13.7,65.9,20.3,9.3,NA,NA,2995,NA
2006-04-01,127720,5590,5892,5987,6471,7511,8361,9764,8948,8082,7700,8541,10658,8154,7447,6720,5326,3540,NA,NA,NA,NA,13.7,65.9,20.4,9.3,NA,NA,3030,NA
2006-05-01,127686,5581,5890,5999,6478,7507,8319,9728,8991,8049,7702,8513,10703,8111,7460,6732,5334,3556,NA,NA,NA,NA,13.7,65.9,20.5,9.3,NA,NA,3032,NA
2006-06-01,127753,5578,5890,6001,6467,7501,8313,9735,9063,8034,7703,8494,10745,8081,7466,6737,5333,3576,NA,NA,NA,NA,13.7,65.9,20.5,9.4,NA,NA,3036,NA
2006-07-01,127744,5572,5886,6000,6456,7492,8291,9719,9117,8019,7697,8474,10762,8064,7484,6742,5339,3590,NA,NA,NA,NA,13.7,65.8,20.5,9.4,NA,NA,3041,NA
2006-08-01,127767,5523,5934,6015,6457,7342,8056,9677,9158,8011,7697,8464,10842,8141,7569,6796,5390,3627,NA,NA,NA,NA,13.7,65.6,20.7,9.5,NA,NA,3069,NA
2006-08-01,127716,5561,5864,5978,6415,7472,8270,9710,9174,7998,7694,8445,10786,8064,7520,6756,5354,3603,NA,NA,NA,NA,13.6,65.8,20.6,9.4,NA,NA,3050,NA
2006-09-01,127743,5513,5924,6008,6438,7318,8031,9660,9216,7995,7696,8437,10845,8134,7598,6806,5402,3642,NA,NA,NA,NA,13.7,65.6,20.8,9.5,NA,NA,3081,NA
2006-10-01,127770,5504,5923,6007,6424,7313,8014,9643,9273,7982,7694,8419,10825,8143,7624,6814,5413,3658,NA,NA,NA,NA,13.6,65.5,20.8,9.5,NA,NA,3095,NA
2006-11-01,127784,5494,5920,6005,6412,7314,8002,9626,9324,7970,7687,8398,10802,8150,7653,6820,5419,3675,NA,NA,NA,NA,13.6,65.5,20.9,9.6,NA,NA,3113,NA
2006-12-01,127783,5489,5917,6003,6402,7312,7984,9607,9362,7965,7682,8369,10782,8153,7683,6828,5421,3694,NA,NA,NA,NA,13.6,65.4,20.9,9.6,NA,NA,3130,NA
2007-01-01,127765,5488,5913,6001,6397,7310,7953,9579,9389,7963,7689,8338,10791,8149,7713,6833,5423,3704,NA,NA,NA,NA,13.6,65.4,21,9.6,NA,NA,3133,NA
2007-02-01,127764,5481,5909,6000,6380,7304,7948,9553,9374,7991,7682,8292,10744,8166,7739,6862,5438,3735,NA,NA,NA,NA,13.6,65.3,21.1,9.7,NA,NA,3167,NA
2007-03-01,127724,5474,5909,5995,6368,7281,7923,9518,9365,8017,7687,8247,10725,8181,7756,6874,5453,3758,NA,NA,NA,NA,13.6,65.2,21.2,9.7,NA,NA,3192,NA
2007-04-01,127747,5471,5909,5995,6353,7292,7910,9493,9351,8053,7695,8207,10695,8203,7756,6876,5476,3784,NA,NA,NA,NA,13.6,65.2,21.2,9.8,NA,NA,3226,NA
2007-05-01,127718,5463,5904,5992,6345,7293,7878,9466,9346,8075,7698,8178,10668,8236,7770,6885,5492,3797,NA,NA,NA,NA,13.6,65.1,21.3,9.8,NA,NA,3231,NA
2007-06-01,127754,5459,5898,5994,6332,7295,7865,9455,9357,8110,7704,8157,10635,8273,7778,6889,5507,3810,NA,NA,NA,NA,13.6,65.1,21.3,9.8,NA,NA,3236,NA
2007-07-01,127772,5455,5892,5995,6323,7290,7847,9436,9374,8141,7705,8135,10596,8314,7792,6893,5520,3821,NA,NA,NA,NA,13.6,65.1,21.3,9.8,NA,NA,3241,NA
2007-08-01,127785,5448,5888,5994,6309,7280,7827,9413,9388,8171,7711,8109,10547,8368,7814,6899,5536,3834,NA,NA,NA,NA,13.6,65,21.4,9.9,NA,NA,3249,NA
2007-09-01,127746,5441,5876,5986,6290,7248,7809,9387,9406,8197,7717,8081,10489,8422,7830,6910,5549,3849,NA,NA,NA,NA,13.5,65,21.4,9.9,NA,NA,3259,NA
2007-10-01,127771,5434,5875,5983,6282,7238,7795,9363,9426,8220,7733,8051,10433,8473,7838,6922,5565,3866,NA,NA,NA,NA,13.5,65,21.5,9.9,NA,NA,3273,NA
2007-11-01,127775,5433,5871,5980,6272,7232,7783,9339,9444,8236,7743,8018,10376,8524,7837,6931,5586,3880,NA,NA,NA,NA,13.5,64.9,21.5,10,NA,NA,3289,NA
2007-12-01,127768,5432,5866,5980,6261,7224,7771,9313,9459,8254,7748,7995,10328,8562,7829,6940,5609,3896,NA,NA,NA,NA,13.5,64.9,21.6,10,NA,NA,3302,NA
2008-01-01,127735,5429,5861,5981,6255,7212,7744,9276,9472,8269,7755,7977,10301,8594,7833,6953,5617,3902,NA,NA,NA,NA,13.5,64.9,21.6,10,NA,NA,3303,NA
2008-02-01,127716,5424,5856,5980,6244,7198,7740,9241,9486,8266,7746,7947,10217,8658,7835,6963,5649,3927,NA,NA,NA,NA,13.5,64.8,21.7,10.1,NA,NA,3338,NA
2008-03-01,127678,5425,5850,5979,6232,7176,7723,9206,9499,8269,7751,7923,10154,8706,7848,6971,5662,3946,NA,NA,NA,NA,13.5,64.7,21.8,10.2,NA,NA,3360,NA
2008-04-01,127687,5423,5845,5980,6223,7172,7715,9172,9513,8279,7753,7900,10097,8744,7860,6968,5672,3970,NA,NA,NA,NA,13.5,64.7,21.8,10.2,NA,NA,3401,NA
2008-05-01,127662,5420,5836,5980,6220,7164,7696,9132,9517,8290,7758,7887,10049,8785,7880,6977,5682,3981,NA,NA,NA,NA,13.5,64.6,21.9,10.2,NA,NA,3406,NA
2008-06-01,127684,5417,5829,5980,6211,7156,7685,9112,9539,8313,7765,7875,10008,8830,7894,6976,5688,3993,NA,NA,NA,NA,13.5,64.6,21.9,10.3,NA,NA,3412,NA
2008-07-01,127704,5413,5822,5983,6204,7151,7671,9087,9560,8337,7768,7865,9971,8870,7917,6972,5691,4006,NA,NA,NA,NA,13.5,64.6,21.9,10.3,NA,NA,3418,NA
2008-08-01,127705,5410,5814,5987,6192,7135,7653,9055,9574,8363,7771,7848,9933,8906,7950,6968,5694,4023,NA,NA,NA,NA,13.5,64.5,22,10.3,NA,NA,3427,NA
2008-09-01,127663,5404,5796,5980,6170,7108,7638,9024,9591,8386,7777,7831,9888,8933,7994,6964,5700,4040,NA,NA,NA,NA,13.5,64.5,22,10.3,NA,NA,3439,NA
2008-10-01,127692,5405,5787,5984,6155,7105,7630,8996,9609,8406,7781,7822,9838,8958,8041,6957,5705,4059,NA,NA,NA,NA,13.5,64.5,22.1,10.4,NA,NA,3454,NA
2008-11-01,127696,5405,5779,5988,6137,7107,7621,8965,9625,8422,7777,7822,9773,8985,8080,6947,5712,4075,NA,NA,NA,NA,13.4,64.4,22.2,10.4,NA,NA,3475,NA
2008-12-01,127686,5404,5770,5988,6124,7100,7611,8936,9637,8443,7772,7822,9711,9018,8109,6938,5718,4091,NA,NA,NA,NA,13.4,64.4,22.2,10.4,NA,NA,3494,NA
2009-01-01,127648,5405,5765,5991,6118,7081,7584,8896,9643,8462,7774,7815,9682,9043,8141,6926,5727,4097,NA,NA,NA,NA,13.4,64.3,22.2,10.4,NA,NA,3499,NA
2009-02-01,127614,5401,5757,5989,6107,7064,7578,8862,9641,8473,7759,7795,9587,9100,8164,6937,5741,4121,NA,NA,NA,NA,13.4,64.2,22.3,10.5,NA,NA,3538,NA
2009-03-01,127567,5396,5750,5986,6098,7032,7571,8828,9643,8480,7757,7778,9531,9120,8206,6936,5750,4139,NA,NA,NA,NA,13.4,64.2,22.4,10.5,NA,NA,3568,NA
2009-04-01,127566,5393,5746,5984,6094,7020,7566,8793,9645,8493,7756,7770,9466,9152,8236,6921,5759,4163,NA,NA,NA,NA,13.4,64.1,22.5,10.6,NA,NA,3608,NA
2009-05-01,127529,5388,5734,5981,6096,7015,7549,8748,9639,8506,7756,7773,9407,9181,8279,6916,5769,4177,NA,NA,NA,NA,13.4,64,22.5,10.6,NA,NA,3613,NA
2009-06-01,127547,5386,5723,5973,6091,7005,7547,8727,9651,8526,7767,7779,9349,9218,8311,6908,5777,4190,NA,NA,NA,NA,13.4,64,22.6,10.7,NA,NA,3617,NA
2009-07-01,127558,5386,5717,5971,6093,6994,7534,8700,9662,8544,7779,7774,9299,9260,8334,6905,5783,4202,NA,NA,NA,NA,13.4,64,22.6,10.7,NA,NA,3622,NA
2009-08-01,127540,5384,5709,5966,6090,6967,7520,8657,9677,8559,7796,7763,9245,9311,8354,6904,5792,4214,NA,NA,NA,NA,13.4,64,22.7,10.7,NA,NA,3632,NA
2009-09-01,127491,5379,5691,5954,6079,6923,7510,8624,9697,8570,7809,7749,9192,9362,8373,6905,5802,4225,NA,NA,NA,NA,13.4,63.9,22.7,10.7,NA,NA,3646,NA
2009-10-01,127510,5376,5685,5949,6079,6913,7502,8591,9715,8581,7826,7740,9133,9413,8385,6911,5813,4236,NA,NA,NA,NA,13.3,63.9,22.7,10.8,NA,NA,3661,NA
2009-11-01,127522,5379,5679,5939,6080,6902,7496,8564,9732,8590,7840,7728,9073,9461,8395,6918,5820,4244,NA,NA,NA,NA,13.3,63.9,22.8,10.8,NA,NA,3684,NA
2009-12-01,127515,5375,5673,5932,6077,6887,7491,8539,9743,8598,7852,7715,9019,9514,8382,6930,5826,4254,NA,NA,NA,NA,13.3,63.9,22.8,10.8,NA,NA,3706,NA
2010-01-01,127480,5378,5667,5929,6076,6868,7471,8507,9739,8606,7872,7707,8969,9580,8381,6932,5827,4260,NA,NA,NA,NA,13.3,63.8,22.8,10.8,NA,NA,3712,NA
2010-02-01,127486,5375,5655,5926,6070,6858,7472,8481,9734,8616,7876,7679,8931,9662,8315,6945,5858,4276,NA,NA,NA,NA,13.3,63.8,22.9,10.9,NA,NA,3756,NA
2010-03-01,127427,5377,5640,5929,6063,6822,7453,8450,9728,8617,7884,7668,8884,9699,8308,6947,5881,4290,NA,NA,NA,NA,13.3,63.8,22.9,11,NA,NA,3786,NA
2010-04-01,127445,5382,5632,5933,6062,6822,7447,8421,9723,8622,7895,7663,8841,9734,8291,6942,5897,4308,NA,NA,NA,NA,13.3,63.7,23,11,NA,NA,3830,NA
2010-05-01,127413,5385,5618,5930,6061,6817,7433,8383,9711,8629,7903,7660,8812,9766,8289,6952,5910,4317,NA,NA,NA,NA,13.3,63.7,23,11,NA,NA,3838,NA
2010-06-01,127433,5387,5604,5930,6055,6808,7432,8363,9713,8651,7919,7658,8785,9796,8288,6956,5921,4321,NA,NA,NA,NA,13.3,63.7,23,11.1,NA,NA,3846,NA
2010-07-01,127450,5393,5599,5929,6056,6795,7425,8338,9712,8669,7941,7657,8753,9839,8267,6969,5927,4328,NA,NA,NA,NA,13.3,63.7,23,11.1,NA,NA,3853,NA
2010-08-01,127439,5399,5587,5928,6052,6768,7417,8306,9707,8686,7966,7653,8714,9892,8248,6980,5935,4338,NA,NA,NA,NA,13.3,63.7,23,11.1,NA,NA,3864,NA
2010-09-01,127387,5398,5565,5921,6044,6733,7407,8280,9704,8690,7992,7643,8678,9937,8235,6986,5947,4349,NA,NA,NA,NA,13.3,63.7,23.1,11.1,NA,NA,3877,NA
2010-10-01,128056,5428,5580,5953,6073,6760,7438,8300,9754,8733,8063,7676,8684,10036,8257,7024,5995,4382,NA,NA,NA,NA,13.2,63.7,23.1,11.2,NA,NA,3920,NA
2010-11-01,128062,5430,5570,5957,6067,6747,7436,8279,9754,8725,8097,7668,8645,10086,8227,7026,6015,4391,NA,NA,NA,NA,13.2,63.6,23.1,11.2,NA,NA,3942,NA
2010-12-01,128051,5435,5558,5960,6063,6732,7434,8258,9747,8729,8118,7661,8604,10149,8176,7024,6037,4406,NA,NA,NA,NA,13.2,63.6,23.1,11.2,NA,NA,3960,NA
2011-01-01,128019,5440,5550,5965,6062,6712,7417,8223,9732,8748,8136,7658,8566,10214,8142,7031,6048,4402,NA,NA,NA,NA,13.2,63.6,23.1,11.3,NA,NA,3972,NA
2011-02-01,127981,5437,5540,5964,6057,6697,7415,8193,9716,8796,8100,7643,8502,10317,8046,7042,6074,4430,NA,NA,NA,NA,13.2,63.6,23.1,11.3,NA,NA,4012,NA
2011-03-01,127928,5433,5534,5958,6055,6668,7407,8167,9702,8838,8073,7633,8459,10380,7991,7053,6093,4442,NA,NA,NA,NA,13.2,63.6,23.2,11.4,NA,NA,4043,NA
2011-04-01,127706,5416,5522,5952,6043,6616,7360,8107,9668,8876,8033,7619,8422,10442,7928,7061,6095,4456,NA,NA,NA,NA,13.2,63.6,23.2,11.5,NA,NA,4089,NA
2011-05-01,127742,5414,5517,5948,6049,6631,7360,8082,9655,8933,8005,7622,8398,10495,7889,7075,6106,4462,NA,NA,NA,NA,13.2,63.6,23.2,11.5,NA,NA,4099,NA
2011-06-01,127797,5414,5513,5944,6050,6630,7366,8071,9654,8997,7987,7622,8378,10532,7863,7087,6114,4462,NA,NA,NA,NA,13.2,63.6,23.2,11.5,NA,NA,4113,NA
2011-07-01,127817,5300,5520,5924,6081,6410,7264,8164,9758,9140,8008,7641,8396,10633,7867,7103,6117,4463,NA,NA,NA,NA,13.1,63.8,23.1,11.4,NA,NA,4028,NA
2011-08-01,127816,5301,5514,5920,6082,6396,7250,8135,9744,9200,7994,7641,8364,10649,7856,7129,6125,4474,NA,NA,NA,NA,13.1,63.7,23.2,11.5,NA,NA,4040,NA
2011-09-01,127769,5299,5500,5914,6075,6368,7230,8110,9726,9257,7979,7641,8338,10651,7850,7157,6135,4484,NA,NA,NA,NA,13.1,63.7,23.2,11.5,NA,NA,4054,NA
2011-10-01,127799,5303,5490,5912,6075,6370,7219,8093,9712,9315,7966,7639,8320,10632,7861,7184,6143,4494,NA,NA,NA,NA,13.1,63.6,23.3,11.5,NA,NA,4071,NA
2011-11-01,127800,5301,5480,5910,6075,6366,7210,8076,9694,9367,7955,7633,8299,10610,7870,7212,6150,4500,NA,NA,NA,NA,13.1,63.6,23.3,11.5,NA,NA,4093,NA
