min,66.14629463,,,map,japan,,,,,,,,,,,,,,,,,,,
max,125.6435883,,,title,1995年_全部位,1996年_全部位,1997年_全部位,1998年_全部位,1999年_全部位,2000年_全部位,2001年_全部位,2002年_全部位,2003年_全部位,2004年_全部位,2005年_全部位,2006年_全部位,2007年_全部位,2008年_全部位,2009年_全部位,2010年_全部位,2011年_全部位,2012年_全部位,2013年_全部位,2014年_全部位
2100,全部位,10,男女計,群馬県,99.59239537,93.60701057,96.88630514,97.03634617,95.06127674,94.66477888,94.09517745,90.33515208,92.84952907,88.01356759,88.98397765,85.46029338,84.53227154,83.54461602,80.65960648,83.22029995,81.38302353,78.66678582,77.7646737,78.32880202
2100,全部位,11,男女計,埼玉県,107.3347588,108.6703339,105.0427195,104.5793162,103.1449664,104.6740521,99.9029436,97.78005334,94.82167282,93.63120911,93.52153231,90.53553748,90.1356614,88.86503969,84.89293589,84.89569246,82.87042787,82.18492121,78.83309445,79.05257446
2100,全部位,12,男女計,千葉県,108.820599,111.1845663,105.4228297,105.9426262,103.7611461,100.6626616,99.36238083,97.5300747,92.53099954,95.76987588,90.91665208,89.32654284,86.84576612,85.40140268,83.57786839,81.77693919,79.63688356,77.26080652,78.39218678,76.60465028
2100,全部位,13,男女計,東京都,111.4256348,111.1486634,110.4560098,108.1626856,108.5144762,105.1570625,103.0810566,99.99410886,97.07965104,97.76083795,93.87755998,91.18417134,88.94240964,88.98208651,85.41069519,85.42635036,82.42701715,81.36229015,80.64180524,78.39862653
2100,全部位,14,男女計,神奈川県,110.9617209,108.8680534,106.5316674,105.2644958,104.6513632,100.7144167,99.59267959,97.32968556,95.26763232,94.29235444,90.22388538,88.11650892,89.36684208,86.3313309,82.21861639,82.52302263,84.50009531,80.62723959,78.79199428,78.14021135
2100,全部位,15,男女計,新潟県,104.7604842,104.1782629,102.4112942,103.0729398,102.2090655,100.5823483,96.39566632,92.64041494,93.40163094,94.8616003,92.05471972,89.59931839,91.67596597,87.51229816,82.94555796,81.6109245,78.78703535,81.44222151,81.62447874,78.46723662
2100,全部位,16,男女計,富山県,101.5633664,101.0498173,96.81415401,103.0272958,101.8267778,94.07232395,93.06599808,90.36931763,89.77978343,89.37287503,85.18626998,84.95467244,81.08184075,89.70252436,79.11918449,79.66617321,81.4552927,78.79061858,75.3078511,74.12492373
2100,全部位,17,男女計,石川県,102.2685368,102.2899461,99.33766319,100.8588804,101.8964651,98.86314335,96.01886582,94.00560281,91.45570688,90.35345423,85.77352633,88.86707287,83.94114356,82.38529348,82.6733218,81.56859737,79.71468062,76.12945521,74.60738477,75.78765568
2100,全部位,18,男女計,福井県,96.15022045,94.58078863,96.22355954,91.64893059,93.30454604,89.54814073,87.61271849,87.07740923,81.86787095,85.52104579,84.15915364,78.78372842,79.41516126,78.43034459,74.88685247,76.95467207,74.30092868,69.60914453,71.00697602,72.12960395
2100,全部位,19,男女計,山梨県,102.9101421,103.919503,94.63895157,92.86622424,94.91794927,93.82711071,90.87076498,89.92617465,89.32662106,85.5213117,86.29347765,88.01642169,82.64245665,82.17378474,73.47509382,78.21810418,78.74670235,73.75310476,72.28851378,74.44146411
2100,全部位,20,男女計,長野県,88.00176626,86.76175382,85.3312495,84.15075446,85.63981533,83.61679618,79.75585423,80.47845264,75.54624587,79.16365878,75.68108729,73.67581281,72.72634808,72.35089379,71.080932,67.3235533,69.39471124,68.6337031,66.14629463,68.29859758
2100,全部位,21,男女計,岐阜県,103.0657469,101.7419833,101.2828329,98.97018686,100.5941627,102.3772011,95.17350914,92.09219503,86.78942905,88.86823062,85.90017196,87.80176751,85.03296493,80.99732545,85.34727653,79.7557946,78.23568784,76.92106436,76.04943398,75.59183149
2100,全部位,22,男女計,静岡県,100.4049761,101.0171284,97.24318508,100.6543271,97.44479087,97.50545478,93.76033073,92.22241277,88.3132123,88.15612727,86.20782442,84.93724236,82.11563762,83.26591134,78.83291479,80.97444195,79.57305591,77.89406589,76.53968088,76.46728457
2100,全部位,23,男女計,愛知県,106.5174799,108.4336614,105.4295584,105.549771,101.8348409,100.9159642,100.812589,94.87580022,93.98571694,95.29861716,91.90998171,87.59848871,87.43717386,85.86867877,81.84814223,83.63252913,81.39285533,80.90129481,78.88604694,76.9485258
2100,全部位,24,男女計,三重県,98.72001888,97.91589209,96.92750279,97.46200797,97.01468946,98.93682507,88.24348951,91.40585108,86.13399682,87.34819992,84.2636861,82.00360045,80.12083576,79.25022938,74.91975054,77.35716804,78.46345186,73.46874631,75.16096741,70.7632802
2100,全部位,25,男女計,滋賀県,103.7205573,99.68763823,94.58020702,98.17580376,94.11049072,99.45407638,96.55956336,87.74500667,88.33811608,85.29651564,86.55133066,79.60262288,79.87711387,78.30474617,79.38666625,75.02463156,74.67688542,69.22885658,70.59427965,71.86048764
2100,全部位,26,男女計,京都府,104.8270952,107.222692,105.4460028,109.1729108,104.1645836,106.1870775,97.9578621,100.2051431,92.37571802,94.29234894,89.77938934,90.29258155,86.10808282,85.75932596,84.4191678,84.75590122,81.79422175,81.76796431,78.81610612,78.89427009
2100,全部位,27,男女計,大阪府,125.6435883,124.3869859,121.9185129,121.6093227,118.9774097,115.3671595,113.7291543,110.2494209,107.0008487,105.2644021,101.7987045,98.92019581,97.31257884,95.90156707,93.75779425,90.28291755,91.04165545,87.24743941,86.2635021,83.84788071
2100,全部位,28,男女計,兵庫県,117.1502474,116.064368,115.6521515,111.8414126,110.8820054,109.4877552,106.2131187,99.89028138,99.80092998,98.80025649,97.16584133,92.65093158,90.48314605,89.09381104,86.85857655,86.48501552,84.04263092,82.67726991,82.00651497,79.04119861
2100,全部位,29,男女計,奈良県,110.2868537,107.5437573,109.7066898,109.0381114,103.1112754,102.1327453,100.0204282,97.10921009,95.09450752,94.66094541,94.25319762,89.41855259,87.53900479,82.55195857,79.68263065,83.26769522,80.04991858,75.75531266,78.24679,75.82624095
2100,全部位,30,男女計,和歌山県,112.5360399,115.5053925,111.1167628,111.2137867,110.8060548,105.8460796,108.7161397,102.1907064,99.091437,103.8787751,98.53529074,98.93900924,97.37624503,90.25022838,88.75607992,91.84531529,93.97678636,87.66954661,81.8197082,82.20259543
2100,全部位,31,男女計,鳥取県,115.8262262,112.4478003,114.1149852,107.151408,111.3271168,103.839825,103.9907434,95.61227126,103.5382471,100.792632,98.40625668,94.66381348,96.16878977,96.58906506,85.77242205,96.15414795,91.6717294,84.69899889,88.41366576,87.53129647
2100,全部位,32,男女計,島根県,109.0024208,109.3985074,99.74760415,99.79613305,99.58965842,98.68668993,96.76885459,90.64749133,94.12602216,95.11699553,93.76573841,88.33314996,89.09533382,89.10176405,79.65570111,80.09657073,78.57170199,82.92379627,79.61243105,81.11294587
2100,全部位,33,男女計,岡山県,102.4306634,100.4630351,94.15069353,98.28758262,96.10592492,95.87224595,91.66847809,89.79351978,89.80845211,84.48121072,81.64255897,83.06424621,78.55837341,78.44209782,75.65267249,79.38458039,73.45832091,76.86232686,74.7751846,76.56757391
2100,全部位,34,男女計,広島県,111.5956905,111.7506323,109.3877097,107.5937396,106.2983085,100.8304702,102.076583,97.38705258,92.79343761,93.97363943,91.591941,86.95318495,85.51149715,86.15269326,78.13287629,79.9190618,80.47242795,78.02922654,75.31557962,74.3931588
2100,全部位,35,男女計,山口県,109.8231015,105.3483672,107.7327927,107.8902663,104.3392874,105.5498914,100.5335666,99.67425755,95.59076922,97.94323348,96.55847276,93.09024269,91.39434441,84.39589326,89.03144853,87.36161412,86.51166339,83.14403937,80.65417939,77.43780041
2100,全部位,36,男女計,徳島県,107.017385,102.4331197,104.1216892,104.4457898,98.37601508,100.5199957,97.89391003,94.10667059,91.85536842,93.794531,88.26418805,91.79722567,82.33447756,82.14456429,78.52845475,82.68233236,79.76089357,73.27008885,76.56343136,76.47246471
2100,全部位,37,男女計,香川県,98.15149394,101.4774395,104.9527756,97.4706428,93.08342903,98.77935216,93.55044589,90.74171215,87.86449439,89.20303384,83.21611445,81.3241191,82.34584159,81.31068139,75.41838063,79.4522356,73.52141874,74.22122991,76.48614119,75.00444415
2100,全部位,38,男女計,愛媛県,102.5659336,101.3856409,102.9133633,104.6016797,101.1693844,103.0447524,100.0333464,92.77972314,92.85177551,88.94821189,89.72988369,87.32693145,87.40527317,81.47705507,83.34487551,86.09300981,80.66564834,84.1732049,77.65515188,78.62227744
2100,全部位,39,男女計,高知県,101.2030834,107.4170959,92.14492583,96.0519557,101.7824302,95.0587695,97.98651169,93.24028051,88.39293212,89.15049537,96.53354433,88.65572555,83.29264368,84.09903698,93.24158175,88.35795662,86.48578452,78.34797109,85.10519545,78.361549
2100,全部位,40,男女計,福岡県,120.7022624,117.9814257,119.7665646,119.0663042,117.2658838,109.9798073,106.1307554,104.814487,102.7304198,102.1254801,100.783992,97.15893896,94.33040824,93.45296555,88.96152478,87.64616136,88.92027741,86.00401347,84.59250202,83.86615041
2100,全部位,41,男女計,佐賀県,120.357787,113.371088,116.527656,115.4065966,113.0554177,110.2796182,102.9246278,101.6554404,100.9089855,101.1789411,102.6022699,95.14898047,100.6157272,94.62655606,92.1721643,87.86026958,92.04934752,86.86076577,85.91782627,85.9072275
2100,全部位,42,男女計,長崎県,119.2568564,117.5075113,110.4859632,106.8279448,106.449194,109.8657845,102.3413015,102.0005365,101.0067024,96.8627515,97.99388388,93.27063558,94.16854789,97.49745054,90.77468879,88.2984823,87.8220048,85.24870418,87.95613287,85.29714063
2100,全部位,43,男女計,熊本県,96.2342257,98.4739787,92.65743926,93.82746056,90.60855984,90.61007976,90.67955435,87.5256486,85.55877123,86.57396223,82.3472817,82.05790116,79.00916821,78.06867532,75.55081582,79.25112939,74.83305509,74.5878885,71.46760188,73.57801196
2100,全部位,44,男女計,大分県,99.55532396,101.1591167,102.4962044,98.79340416,97.83100862,94.05445352,90.56522686,90.37485257,88.25856899,94.47100574,82.5863584,82.34464319,78.4895182,83.22507735,76.11067217,77.36506512,77.16519875,79.15717677,72.44960812,75.30189974
2100,全部位,45,男女計,宮崎県,100.0920561,97.09074384,96.51070289,101.6769837,95.4392656,97.09586453,99.54879755,89.61811948,89.19581817,86.68373131,85.49425382,83.63916222,80.53642037,88.69281445,83.53900373,82.01509265,79.40728999,80.13466215,78.42092027,73.07602671
2100,全部位,46,男女計,鹿児島県,99.08525211,103.8975211,97.17723773,99.11656991,98.43820109,100.4111546,96.35924491,93.15562732,90.58697442,90.23542732,90.63096972,85.59095472,85.37439852,83.0198698,83.80031857,83.71799681,83.6182879,82.39748912,81.10576921,78.95894189
2100,全部位,47,男女計,沖縄県,96.83239504,95.42805109,91.01246705,89.96658294,88.82352392,90.30382671,89.70573101,87.86725233,82.84877041,87.96767975,84.95327994,80.54817265,79.04258275,81.77269113,77.94111087,77.28502133,78.67825156,78.33153523,77.97571769,76.5228079
