Date,出生率(人口千対),死亡率(人口千対),乳児死亡率(出生千対),新生児死亡率(出生千対),自然増減率(人口千対),死産率(出産千対),自然死産率(出産千対),人工死産率(出産千対),周産期死亡率(出産千対),婚姻率(人口千対),離婚率(人口千対),合計特殊出生率,年齢調整死亡率(人口千対):男,年齢調整死亡率(人口千対):女,周産期死亡率(妊娠満28週以後、出生千対)
1984/1/1,12.5,6.2,6,3.7,6.3,46.3,24.3,22,16.6,6.2,1.5,1.81,8.3,5,8.7
1985/1/1,11.9,6.3,5.5,3.4,5.6,46,22.1,23.9,15.4,6.1,1.39,1.76,8.1,4.8,8
1986/1/1,11.4,6.2,5.2,3.1,5.2,45.3,21.4,23.9,14.6,5.9,1.37,1.72,7.8,4.6,7.3
1987/1/1,11.1,6.2,5,2.9,4.9,45.3,21.2,24,13.7,5.7,1.3,1.69,7.6,4.4,6.9
1988/1/1,10.8,6.5,4.8,2.7,4.3,43.4,19.5,23.9,12.7,5.8,1.26,1.66,7.7,4.5,6.5
1989/1/1,10.2,6.4,4.6,2.6,3.7,42.4,18.9,23.5,12.1,5.8,1.29,1.57,7.4,4.2,6
1990/1/1,10,6.7,4.6,2.6,3.3,42.3,18.3,23.9,11.1,5.9,1.28,1.54,7.5,4.2,5.7
1991/1/1,9.9,6.7,4.4,2.4,3.2,39.7,17.5,22.1,8.5,6,1.37,1.53,7.4,4.1,5.3
1992/1/1,9.8,6.9,4.5,2.4,2.9,38.9,17.2,21.6,8.1,6.1,1.45,1.5,7.4,4,5.2
1993/1/1,9.6,7.1,4.3,2.3,2.5,36.6,16.4,20.2,7.7,6.4,1.52,1.46,7.3,4,5
1994/1/1,10,7.1,4.2,2.3,2.9,33.5,15.4,18.1,7.5,6.3,1.57,1.5,7.1,3.8,5
1995/1/1,9.6,7.4,4.3,2.2,2.1,32.1,14.9,17.2,7,6.4,1.6,1.42,7.2,3.8,4.7
1996/1/1,9.7,7.2,3.8,2,2.5,31.7,14.7,17,6.7,6.4,1.66,1.43,6.8,3.6,4.4
1997/1/1,9.5,7.3,3.7,1.9,2.2,32.1,14.2,17.9,6.4,6.2,1.78,1.39,6.7,3.5,4.2
1998/1/1,9.6,7.5,3.6,2,2.1,31.4,13.6,17.8,6.2,6.3,1.94,1.38,6.6,3.4,4.1
1999/1/1,9.4,7.8,3.4,1.8,1.6,31.6,13.7,17.9,6,6.1,2,1.34,6.7,3.4,4
2000/1/1,9.5,7.7,3.2,1.8,1.8,31.2,13.2,18.1,5.8,6.4,2.1,1.36,6.3,3.2,3.8
2001/1/1,9.3,7.7,3.1,1.6,1.6,31,13,18,5.5,6.4,2.27,1.33,6.2,3.1,3.6
2002/1/1,9.2,7.8,3,1.7,1.4,31.1,12.7,18.3,5.5,6,2.3,1.32,6,3,3.7
2003/1/1,8.9,8,3,1.7,0.9,30.5,12.6,17.8,5.3,5.9,2.25,1.29,6,3,3.6
2004/1/1,8.8,8.2,2.8,1.5,0.7,30,12.5,17.5,5,5.7,2.15,1.29,5.9,3,3.3
2005/1/1,8.4,8.6,2.8,1.4,-0.2,29.1,12.3,16.7,4.8,5.7,2.08,1.26,5.9,3,3.3
2006/1/1,8.7,8.6,2.6,1.3,0.1,27.5,11.9,15.6,4.7,5.8,2.04,1.32,5.7,2.9,3.1
2007/1/1,8.6,8.8,2.6,1.3,-0.1,26.2,11.7,14.5,4.5,5.7,2.02,1.34,5.6,2.8,3
2008/1/1,8.7,9.1,2.6,1.2,-0.4,25.2,11.3,13.9,4.3,5.8,1.99,1.37,5.6,2.8,2.9
2009/1/1,8.5,9.1,2.4,1.2,-0.6,24.6,11.1,13.5,4.2,5.6,2.01,1.37,5.4,2.7,2.9
2010/1/1,8.5,9.5,2.3,1.1,-1,24.2,11.2,13,4.2,5.5,1.99,1.39,5.4,2.7,2.9
2011/1/1,8.3,9.9,2.3,1.1,-1.6,23.9,11.1,12.8,4.1,5.2,1.87,1.39,5.5,2.9,2.8
2012/1/1,8.2,10,2.2,1,-1.7,23.4,10.8,12.6,4,5.3,1.87,1.41,5.2,2.7,2.7
2013/1/1,8.2,10.1,2.1,1,-1.9,22.9,10.4,12.5,3.7,5.3,1.84,1.43,5.1,2.7,2.6
2014/1/1,8,10.1,2.1,0.9,-2.1,22.9,10.6,12.3,3.7,5.1,1.77,1.42,5,2.6,2.5
2015/1/1,8,10.3,1.9,0.9,-2.3,22,10.6,11.4,3.7,5.1,1.81,1.45,4.9,2.5,2.5
