都道府県名,市区名,住宅地:平成28年変動率(%),住宅地:平成29年変動率(%),住宅地:平成29年地点数,商業地:平成28年変動率(%),商業地:平成29年変動率(%),商業地:平成29年地点数
大阪府,交野市,-0.6,-0.8,16,-0.3,-0.3,2
大阪府,大阪狭山市,0.3,0.1,12,2.9,4.5,1
大阪府,阪南市,-0.5,-0.6,18,-0.1,-0.1,1
兵庫県,神戸市,0.3,0.2,276,2.2,3.4,57
兵庫県,東灘区,1.6,1.6,31,2.5,2.3,6
兵庫県,灘区,3.4,2.8,20,3.7,3.8,4
兵庫県,兵庫区,0.7,0.7,15,1.5,1.2,5
兵庫県,長田区,-0.1,0.2,17,-0.1,0.3,5
兵庫県,須磨区,0.1,-0.2,39,0.1,0.4,8
兵庫県,垂水区,0.1,-0.1,59,0,0,2
兵庫県,北区,-0.9,-1.3,47,0,0,3
兵庫県,中央区,1.9,2,13,3.9,7,22
兵庫県,西区,-0.5,-0.7,35,0,0,2
兵庫県,尼崎市,0.2,0,48,0.8,1.1,13
兵庫県,西宮市,1.8,1.1,91,2.7,2.9,14
兵庫県,芦屋市,2.2,1.8,19,4.8,5,4
兵庫県,伊丹市,0.8,0.8,36,1.7,1.9,9
兵庫県,宝塚市,0,0.1,48,0.6,0.7,8
兵庫県,川西市,-1.8,-1.8,34,0,0.7,5
兵庫県,三田市,-0.8,-0.8,16,-0.3,-0.3,3
奈良県,奈良市,0.9,0.5,63,2,2.1,15
奈良県,大和高田市,-0.7,-0.6,10,-1,-0.7,4
奈良県,大和郡山市,-0.3,-0.3,13,0.1,0,7
奈良県,天理市,-0.4,-0.4,17,-1,-0.6,4
奈良県,橿原市,0.2,0.2,20,0,0.2,10
奈良県,桜井市,-0.5,-0.5,13,-0.5,-0.8,5
奈良県,五條市,-1.9,-1.9,9,-2.4,-2.3,3
奈良県,御所市,-1.5,-1.3,8,-2,-1.6,2
奈良県,生駒市,0.9,0.5,29,0.9,0.7,4
奈良県,香芝市,0.1,0.1,18,1.6,1.5,2
奈良県,葛城市,-0.7,-0.7,7,-1.1,-0.8,1
奈良県,宇陀市,-0.7,-0.8,13,-1.9,   -- ,   --
