都道府県名,市区名,標準地数,平均価格(円/平米),上位の価格(円/平米),下位の価格(円/平米)
千葉県　,美浜区　　　,9,158700,168000,141000
千葉県　,市川市　　　,63,205100,333000,50800
千葉県　,船橋市　　　,85,143200,294000,28000
千葉県　,木更津市　　,38,31400,54100,5100
千葉県　,松戸市　　　,71,132800,237000,86000
千葉県　,野田市　　　,31,57500,81000,19400
千葉県　,成田市　　　,28,50100,109000,7800
千葉県　,佐倉市　　　,37,62400,106000,13200
千葉県　,習志野市　　,22,147900,277000,98500
千葉県　,柏市　　　　,79,109700,303000,21600
千葉県　,市原市　　　,55,44400,90800,9900
千葉県　,流山市　　　,25,122700,213000,51900
千葉県　,八千代市　　,31,100900,158000,16000
千葉県　,我孫子市　　,32,79600,183000,18900
千葉県　,鎌ケ谷市　　,17,87000,125000,39000
千葉県　,君津市　　　,21,33300,44900,10300
千葉県　,富津市　　　,10,17400,24800,9600
千葉県　,浦安市　　　,20,264200,313000,214000
千葉県　,四街道市　　,17,61400,96500,37500
千葉県　,袖ケ浦市　　,13,39200,60800,12100
千葉県　,印西市　　　,16,39000,71900,10700
千葉県　,白井市　　　,9,68500,91500,16000
千葉県　,富里市　　　,6,38000,63300,19700
東京都　,都区部平均　,897,549100,3750000,170000
東京都　,千代田区　　,7,2537100,3750000,1360000
東京都　,中央区　　　,10,1159100,1840000,641000
東京都　,港区　　　　,29,1682700,3680000,908000
東京都　,新宿区　　　,29,681300,985000,490000
東京都　,文京区　　　,24,821600,1470000,578000
東京都　,台東区　　　,6,768200,1450000,476000
東京都　,墨田区　　　,11,378100,499000,289000
東京都　,江東区　　　,27,413500,600000,308000
東京都　,品川区　　　,31,720400,1820000,494000
東京都　,目黒区　　　,32,844100,1860000,573000
東京都　,大田区　　　,57,488600,1140000,335000
東京都　,世田谷区　　,111,566000,935000,259000
東京都　,渋谷区　　　,26,1092100,1860000,625000
東京都　,中野区　　　,29,524300,789000,355000
東京都　,杉並区　　　,64,483700,643000,380000
東京都　,豊島区　　　,23,519500,728000,419000
東京都　,北区　　　　,32,433700,950000,316000
東京都　,荒川区　　　,17,404600,752000,330000
東京都　,板橋区　　　,48,376300,526000,291000
東京都　,練馬区　　　,93,358600,513000,219000
東京都　,足立区　　　,74,271600,681000,170000
東京都　,葛飾区　　　,46,293200,411000,182000
東京都　,江戸川区　　,71,319700,425000,245000
東京都　,八王子市　　,127,115500,275000,37000
東京都　,立川市　　　,31,235800,376000,133000
東京都　,武蔵野市　　,20,516200,860000,343000
東京都　,三鷹市　　　,31,383500,609000,245000
東京都　,青梅市　　　,28,96800,177000,31600
東京都　,府中市　　　,45,282200,456000,197000
東京都　,昭島市　　　,19,179900,248000,130000
東京都　,調布市　　　,40,322200,492000,236000
東京都　,町田市　　　,80,155800,304000,56900
東京都　,小金井市　　,19,313400,404000,250000
東京都　,小平市　　　,35,222500,304000,178000
東京都　,日野市　　　,37,185300,250000,107000
東京都　,東村山市　　,22,182500,254000,156000
東京都　,国分寺市　　,16,276700,348000,192000
東京都　,国立市　　　,11,320600,445000,188000
東京都　,福生市　　　,11,160200,220000,131000
東京都　,狛江市　　　,12,296200,349000,249000
東京都　,東大和市　　,22,166300,222000,126000
東京都　,清瀬市　　　,15,181100,273000,124000
東京都　,東久留米市　,22,209000,330000,154000
東京都　,武蔵村山市　,16,121300,155000,94000
東京都　,多摩市　　　,32,183700,261000,127000
東京都　,稲城市　　　,26,208800,264000,144000
東京都　,羽村市　　　,9,139400,189000,92000
東京都　,あきる野市　,22,98600,164000,37300
東京都　,西東京市　　,31,274000,363000,213000
神奈川県,横浜市　　　,495,221500,585000,102000
神奈川県,鶴見区　　　,28,252800,340000,191000
神奈川県,神奈川区　　,24,249700,327000,170000
神奈川県,西区　　　　,8,264800,320000,213000
神奈川県,中区　　　　,15,319600,585000,244000
神奈川県,南区　　　　,19,209400,265000,159000
神奈川県,保土ケ谷区　,27,186100,256000,146000
神奈川県,磯子区　　　,19,184400,233000,158000
神奈川県,金沢区　　　,32,180300,263000,125000
神奈川県,港北区　　　,45,284600,522000,179000
神奈川県,戸塚区　　　,41,190200,408000,102000
神奈川県,港南区　　　,34,197900,295000,155000
神奈川県,旭区　　　　,31,182200,250000,147000
神奈川県,緑区　　　　,25,211400,308000,141000
神奈川県,瀬谷区　　　,24,171500,217000,118000
神奈川県,栄区　　　　,23,167700,273000,103000
神奈川県,泉区　　　　,26,193500,277000,116000
神奈川県,青葉区　　　,49,279500,471000,155000
神奈川県,都筑区　　　,25,257400,343000,150000
神奈川県,川崎市　　　,185,257200,583000,117000
神奈川県,川崎区　　　,17,268500,316000,242000
神奈川県,幸区　　　　,12,295900,381000,253000
神奈川県,中原区　　　,23,362400,583000,268000
神奈川県,高津区　　　,27,281100,436000,194000
神奈川県,多摩区　　　,35,220100,327000,152000
神奈川県,宮前区　　　,36,241700,388000,166000
神奈川県,麻生区　　　,35,203900,362000,117000
神奈川県,相模原市　　,100,153200,257000,30500
神奈川県,緑区　　　　,27,117800,239000,30500
神奈川県,中央区　　　,36,147800,204000,74700
神奈川県,南区　　　　,37,184200,257000,96200
神奈川県,横須賀市　　,72,115200,176000,56000
神奈川県,平塚市　　　,42,140700,259000,48500
神奈川県,鎌倉市　　　,43,201000,381000,88600
神奈川県,藤沢市　　　,61,188400,302000,85200
神奈川県,小田原市　　,37,107100,184000,37600
神奈川県,茅ケ崎市　　,33,190000,280000,57500
神奈川県,逗子市　　　,16,182200,275000,132000
神奈川県,三浦市　　　,14,72400,112000,34500
神奈川県,秦野市　　　,35,90200,117000,43700
神奈川県,厚木市　　　,35,114600,220000,41000
神奈川県,大和市　　　,27,183100,265000,137000
神奈川県,伊勢原市　　,18,108800,141000,48000
神奈川県,海老名市　　,18,149800,218000,61500
神奈川県,座間市　　　,14,152200,189000,111000
神奈川県,南足柄市　　,10,69100,87800,29000
神奈川県,綾瀬市　　　,13,126300,160000,55000
